name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,8,0,0,1,1,100,0.0765436,0.000216223,153237,164.389,75.7734,9.56795,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,32,0,0,1,1,100,0.259689,0.000240249,153237,193.815,89.3372,8.11527,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,1,1,100,0.99176,0.00157142,153237,202.999,93.5705,7.74813,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,1,96,4.1777,0.00943685,153237,192.763,88.8523,8.15957,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,8,0,0,1,1,100,0.140258,0.000273775,317856,186.901,65.6493,17.5323,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,32,0,0,1,1,100,0.479742,0.00129585,317856,218.571,76.7732,14.992,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,1,1,100,2.2629,0.00790386,317856,185.351,65.1046,17.6789,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,1,43,9.38228,0.0185067,317856,178.818,62.8101,18.3248,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,8,0,0,1,1,100,0.264937,0.00313358,634994,197.891,59.4912,33.1172,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,32,0,0,1,1,100,0.924469,0.00151779,634994,226.849,68.1967,28.8897,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,1,1,48,8.3403,0.0101099,634994,100.579,30.2367,65.1586,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,1,1,20,32.6361,0.16028,634994,102.814,30.9085,63.7423,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,8,0,0,1,1,100,0.125736,0.00159825,306276,200.149,92.2562,15.717,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,32,0,0,1,1,100,0.462449,0.000459737,306276,217.674,100.335,14.4515,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,1,1,100,2.0736,0.00612171,306276,194.18,89.5053,16.2,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,512,0,0,1,1,49,8.2726,0.0132556,306276,194.693,89.7413,16.1574,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,8,0,0,1,1,100,0.24689,0.000308743,637282,212.357,74.5904,30.8613,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,32,0,0,1,1,100,0.920028,0.000357407,637282,227.944,80.0656,28.7509,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,1,1,82,4.93476,0.0424334,637282,169.99,59.7091,38.5528,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,512,0,0,1,1,22,18.6235,0.0262999,637282,180.172,63.2857,36.374,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,8,0,0,1,1,100,0.48005,0.00128194,1.27479e+06,218.431,65.6658,60.0062,32768,16
