2760 MHz, 59
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      8       0       0       1       1       100         0.073945    3.4370e-05  1.5324e+05  170.17      42.985      9.2431      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      32      0       0       1       1       100         0.26618     0.0021085   1.5324e+05  189.09      47.766      8.3180      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      128     0       0       1       1       100         0.96281     0.0031445   1.5324e+05  209.10      52.821      7.5219      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     0       0       1       1       100         3.9793      0.0085520   1.5324e+05  202.37      51.121      7.7721      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      8       0       0       1       1       100         0.13695     0.00017496  3.1786e+05  191.42      35.652      17.118      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      32      0       0       1       1       100         0.47895     0.00026168  3.1786e+05  218.93      40.776      14.967      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      128     0       0       1       1       100         1.8781      0.0016873   3.1786e+05  223.32      41.594      14.673      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      512     0       0       1       1       53          7.6517      0.011616    3.1786e+05  219.26      40.838      14.945      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      8       0       0       1       1       100         0.23803     0.00029661  6.3499e+05  220.26      34.278      29.754      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      32      0       0       1       1       100         0.87660     0.00093035  6.3499e+05  239.24      37.232      27.394      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      128     0       0       1       1       100         3.6914      0.0074603   6.3499e+05  227.25      35.365      28.839      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      512     0       0       1       1       25          16.085      0.013423    6.3499e+05  208.61      32.465      31.416      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      8       0       0       1       1       100         0.13096     0.00010674  3.0628e+05  192.16      48.541      16.370      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      32      0       0       1       1       100         0.49923     0.00025483  3.0628e+05  201.64      50.935      15.601      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      128     0       0       1       1       100         1.8917      0.017178    3.0628e+05  212.86      53.769      14.779      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      512     0       0       1       1       54          7.4150      0.012094    3.0628e+05  217.21      54.869      14.482      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      8       0       0       1       1       100         0.23232     0.00021095  6.3728e+05  225.68      42.033      29.040      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      32      0       0       1       1       100         0.93064     0.00031201  6.3728e+05  225.35      41.971      29.082      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      128     0       0       1       1       100         3.7029      0.0060007   6.3728e+05  226.54      42.194      28.929      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      512     0       0       1       1       28          14.786      0.038968    6.3728e+05  226.93      42.265      28.880      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      50      8       0       0       1       1       100         0.43642     0.0017961   1.2748e+06  240.26      37.391      54.553      32768       16          
