2760 MHz, 59
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      8       0       0       1       1       100         0.039819    2.9292e-05  53883.      79.001      46.908      4.9773      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      32      0       0       1       1       100         0.13179     0.00014663  53883.      95.473      56.688      4.1186      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      128     0       0       1       1       100         0.51046     0.00042396  53883.      98.600      58.545      3.9880      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     0       0       1       1       100         1.9375      0.0072591   53883.      103.91      61.697      3.7842      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      8       0       0       1       1       100         0.083569    5.8256e-05  1.1127e+05  78.421      32.545      10.446      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      32      0       0       1       1       100         0.26014     0.00010561  1.1127e+05  100.77      41.821      8.1293      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      128     0       0       1       1       100         0.99675     0.00048885  1.1127e+05  105.20      43.658      7.7871      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     0       0       1       1       100         4.0070      0.011996    1.1127e+05  104.68      43.441      7.8261      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      8       0       0       1       1       100         0.13922     0.00020272  2.2244e+05  94.146      31.304      17.403      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      32      0       0       1       1       100         0.47035     0.0023755   2.2244e+05  111.47      37.063      14.698      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      128     0       0       1       1       100         1.9348      0.0013379   2.2244e+05  108.39      36.041      15.115      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      512     0       0       1       1       52          7.8233      0.015594    2.2244e+05  107.23      35.653      15.280      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      8       0       0       1       1       100         0.072645    7.1027e-05  1.0758e+05  86.605      51.422      9.0807      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      32      0       0       1       1       100         0.26391     0.00015771  1.0758e+05  95.358      56.619      8.2471      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      128     0       0       1       1       100         1.0708      0.0066490   1.0758e+05  94.005      55.816      8.3659      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      512     0       0       1       1       99          4.0638      0.0080987   1.0758e+05  99.082      58.830      7.9372      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      8       0       0       1       1       100         0.13871     0.00013341  2.2318e+05  94.491      39.214      17.339      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      32      0       0       1       1       100         0.47846     0.00019000  2.2318e+05  109.58      45.475      14.952      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      128     0       0       1       1       100         2.0030      0.014457    2.2318e+05  104.70      43.451      15.648      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      512     0       0       1       1       52          7.8343      0.015151    2.2318e+05  107.08      44.436      15.301      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      8       0       0       1       1       100         0.24155     0.00017397  4.4688e+05  108.52      36.085      30.194      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      32      0       0       1       1       100         0.90528     0.00030828  4.4688e+05  115.83      38.513      28.290      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      128     0       0       1       1       100         3.9190      0.014492    4.4688e+05  107.03      35.586      30.617      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      512     0       0       1       1       27          15.335      0.030529    4.4688e+05  109.41      36.378      29.951      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      8       0       0       1       1       100         0.12730     8.1483e-05  2.1262e+05  98.848      58.691      15.912      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      32      0       0       1       1       100         0.50675     0.0015981   2.1262e+05  99.322      58.973      15.836      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      128     0       0       1       1       100         1.9268      0.0093114   2.1262e+05  104.49      62.041      15.053      65536       16          
