typ,tag,transA,m,nnzrow,nrhs,batch,transB,beta,pattern,t_vendor,t_native,ratio,relsd,sd_v,sd_n,chk_v,chk_n,agree,gbs_v,gbs_n,roof_v,roof_n,fp_mb,l2res
cdouble,satext_ta0,0,1024,3,1,1024,0,0,0,0.331916,0.116551,0.35114607310283324,0.0012563941965319902,0.0009346611793345303,0.0012563941965319902,949.616,949.616,True,303.291,863.716,0.3008839285714286,0.8568611111111111,100.667392,False
cdouble,satext_ta0,0,1024,3,1,1024,0,0,1,0.331593,0.149152,0.4498044289234091,0.0020939913645140525,0.0006090116498237296,0.0020939913645140525,2501.82,2501.82,True,303.587,674.93,0.30117757936507933,0.6695734126984126,100.667392,False
cdouble,satext_ta0,0,1024,3,1,2048,0,0,0,0.652356,0.224255,0.3437616884032645,0.0007345700207353235,0.00043467677157870853,0.0007345700207353235,949.616,949.616,True,308.627,897.796,0.3061775793650794,0.8906706349206349,201.334784,False
cdouble,satext_ta0,0,1024,3,1,2048,0,0,1,0.651871,0.287106,0.44043376680355467,0.0017941944786942804,0.00047116990938391183,0.0017941944786942804,2501.82,2501.82,True,308.857,701.255,0.306405753968254,0.6956894841269842,201.334784,False
cdouble,satext_ta0,0,1024,3,1,4096,0,0,0,1.31507,0.439709,0.33436166896058767,0.0011774126092147187,0.0011774126092147187,0.00038655110539015576,949.616,949.616,True,306.197,915.765,0.30376686507936507,0.9084970238095238,402.669568,False
cdouble,satext_ta0,0,1024,3,1,4096,0,0,1,1.30739,0.564024,0.4314122029386793,0.0010977673073834127,0.0010977673073834127,0.0004305721033147526,2501.82,2501.82,True,307.996,713.923,0.30555158730158727,0.7082569444444444,402.669568,False
cdouble,satext_ta0,0,1024,3,1,8192,0,0,0,2.63382,0.870703,0.33058561329172076,0.015168120828302618,0.015168120828302618,0.0011121610928181021,949.616,949.616,True,305.769,924.929,0.30334226190476193,0.9175882936507936,805.339136,False
cdouble,satext_ta0,0,1024,3,1,8192,0,0,1,2.61077,1.12133,0.42950164127824353,0.001052302577400537,0.001052302577400537,0.000453356282271945,2501.82,2501.82,True,308.468,718.2,0.3060198412698413,0.7125,805.339136,False
cdouble,satext_ta0,0,1024,3,2,1024,0,0,0,0.355079,0.152747,0.43017750979359526,0.005829998394723428,0.005829998394723428,0.0013366678232633047,1907.93,1907.93,True,378.005,878.72,0.37500496031746033,0.8717460317460318,134.221824,False
cdouble,satext_ta0,0,1024,3,2,1024,0,0,1,0.357164,0.171332,0.4797012016888601,0.0012519494315130855,0.0007418412829960467,0.0012519494315130855,4985.47,4985.47,True,375.799,783.401,0.37281646825396825,0.7771835317460317,134.221824,False
cdouble,satext_ta0,0,1024,3,2,2048,0,0,0,0.724038,0.29655,0.4095779503285739,0.001906419276336325,0.001906419276336325,0.0005941325240263025,1907.93,1907.93,True,370.759,905.224,0.36781646825396824,0.8980396825396826,268.443648,False
