name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,0,100,0.318767,0.000165229,949.616,78.9475,184.224,0.311296,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,0,100,0.318476,0.000172974,2501.82,79.0196,184.392,0.311011,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,2048,0,0,0,0,100,0.629086,0.000255704,949.616,80.0076,186.697,0.307171,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,2048,0,0,1,0,100,0.628247,0.000225686,2501.82,80.1144,186.947,0.306761,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,4096,0,0,0,0,100,1.27022,0.00121076,949.616,79.2485,184.926,0.310113,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,4096,0,0,1,0,100,1.26836,0.00147822,2501.82,79.3652,185.198,0.309657,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,8192,0,0,0,0,100,2.53744,0.00208524,949.616,79.3425,185.145,0.309746,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,8192,0,0,1,0,100,2.53371,0.00484479,2501.82,79.4592,185.418,0.309291,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,0,100,0.319315,0.000228311,1907.93,157.624,236.448,0.311831,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,0,100,0.318901,0.000172088,4985.47,157.829,236.756,0.311427,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,2048,0,0,0,0,100,0.630224,0.00218174,1907.93,159.726,239.602,0.307727,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,2048,0,0,1,0,100,0.629314,0.00122043,4985.47,159.957,239.949,0.307282,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,4096,0,0,0,0,100,1.28547,0.00129015,1907.93,156.617,234.938,0.313836,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,4096,0,0,1,0,100,1.28214,0.0010793,4985.47,157.023,235.548,0.313023,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8192,0,0,0,0,100,2.5932,0.00215029,1907.93,155.273,232.922,0.316553,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8192,0,0,1,0,100,2.58843,0.00176338,4985.47,155.559,233.351,0.31597,3072,3
