name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,0,100,0.0149169,2.52187e-05,440.696,421.768,3936.78,0.0145672,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,0,100,0.0302843,1.45979e-05,1134.05,207.746,1939.1,0.0295745,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,2048,0,0,0,0,100,0.129067,5.77167e-05,440.696,97.4912,909.981,0.0630211,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,2048,0,0,1,0,100,0.131811,8.25674e-05,1134.05,95.4615,891.036,0.0643611,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,4096,0,0,0,0,100,0.254859,7.82026e-05,440.696,98.744,921.675,0.0622215,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,4096,0,0,1,0,100,0.258798,0.00010458,1134.05,97.241,907.646,0.0631832,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,8192,0,0,0,0,100,0.506462,7.47273e-05,440.696,99.379,927.602,0.0618239,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,8192,0,0,1,0,100,0.516298,0.000547443,1134.05,97.4857,909.93,0.0630246,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,0,100,0.0238225,0.000124729,874.683,528.195,3169.34,0.0232641,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,0,100,0.0441173,0.000380654,2210.61,285.215,1711.38,0.0430833,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,2048,0,0,0,0,100,0.164738,0.00160851,874.683,152.763,916.626,0.0804385,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,2048,0,0,1,0,100,0.169251,0.000136,2210.61,148.689,892.184,0.0826422,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,4096,0,0,0,0,100,0.326206,0.000473007,874.683,154.294,925.815,0.0796401,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,4096,0,0,1,0,100,0.33351,0.000243813,2210.61,150.915,905.538,0.0814234,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,8192,0,0,0,0,100,0.648837,0.000110392,874.683,155.144,930.915,0.0792038,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,8192,0,0,1,0,100,0.663951,0.000584295,2210.61,151.612,909.724,0.0810487,3072,3
