name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,0,100,0.0101854,0.000131599,440.696,617.691,3706.55,0.00994672,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,0,100,0.0149284,0.000122577,1134.05,421.443,2528.93,0.0145785,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,2048,0,0,0,0,100,0.040258,1.41483e-05,440.696,312.557,1875.54,0.0196572,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,2048,0,0,1,0,100,0.0369426,0.000402201,1134.05,340.607,2043.86,0.0180384,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,4096,0,0,0,0,100,0.164951,4.2589e-05,440.696,152.565,915.492,0.0402712,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,4096,0,0,1,0,100,0.165637,5.06526e-05,1134.05,151.934,911.703,0.0404386,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,8192,0,0,0,0,100,0.32698,5.80825e-05,440.696,153.929,923.673,0.0399145,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,8192,0,0,1,0,100,0.328245,9.6818e-05,1134.05,153.336,920.114,0.0400689,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,0,100,0.0109367,7.01305e-05,874.683,1150.52,4218.96,0.0106804,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,0,100,0.0210863,6.30309e-05,2210.61,596.734,2188.22,0.0205921,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,2048,0,0,0,0,100,0.0995639,1.26898e-05,874.683,252.761,926.871,0.0486152,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,2048,0,0,1,0,100,0.102177,3.50424e-05,2210.61,246.296,903.165,0.0498912,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,4096,0,0,0,0,100,0.200332,5.47541e-05,874.683,251.242,921.301,0.0489091,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,4096,0,0,1,0,100,0.201636,5.09333e-05,2210.61,249.616,915.341,0.0492276,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,8192,0,0,0,0,100,0.397831,6.63605e-05,874.683,253.03,927.86,0.0485634,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,8192,0,0,1,0,100,0.399697,7.28098e-05,2210.61,251.849,923.528,0.0487911,3072,3
