name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,0,100,0.315011,0.000153942,440.696,19.9722,119.846,0.307628,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,0,100,0.314507,0.000183859,1134.05,20.0042,120.038,0.307136,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,2048,0,0,0,0,100,0.621491,0.000268049,440.696,20.2463,121.491,0.303462,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,2048,0,0,1,0,100,0.620571,0.000277725,1134.05,20.2764,121.671,0.303013,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,4096,0,0,0,0,100,1.25483,0.0011892,440.696,20.0551,120.344,0.306355,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,4096,0,0,1,0,100,1.25311,0.0016953,1134.05,20.0826,120.509,0.305936,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,8192,0,0,0,0,100,2.50708,0.00162028,440.696,20.0758,120.468,0.30604,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,8192,0,0,1,0,100,2.50261,0.00182701,1134.05,20.1117,120.683,0.305494,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,0,100,0.315328,0.00015962,874.683,39.9042,146.328,0.307938,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,0,100,0.314926,0.000168523,2210.61,39.9551,146.515,0.307545,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,2048,0,0,0,0,100,0.621979,0.000438402,874.683,40.4609,148.37,0.3037,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,2048,0,0,1,0,100,0.621399,0.0016633,2210.61,40.4986,148.508,0.303418,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,4096,0,0,0,0,100,1.25497,0.00128714,874.683,40.1059,147.068,0.306389,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,4096,0,0,1,0,100,1.25333,0.00121167,2210.61,40.1584,147.26,0.305989,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,8192,0,0,0,0,100,2.52364,0.00179693,874.683,39.8881,146.269,0.308062,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,8192,0,0,1,0,100,2.51596,0.00210228,2210.61,40.0099,146.716,0.307124,3072,3
