typ,tag,transA,m,nnzrow,nrhs,batch,transB,beta,pattern,t_vendor,t_native,ratio,relsd,sd_v,sd_n,chk_v,chk_n,agree,gbs_v,gbs_n,roof_v,roof_n,fp_mb,l2res
cdouble,sbB,0,4096,16,50,1,0,0,1,0.123849,0.0824399,0.6656484913079637,0.003704026677647781,0.003704026677647781,0.00149702995758122,2531830.0,2531830.0,True,63.6318,95.5934,0.06312678571428572,0.09483472222222222,7.880708,True
cdouble,sbB,0,4096,16,50,2,0,0,1,0.224908,0.189958,0.8446031266117701,0.0011309605281167416,0.0009851228057694702,0.0011309605281167416,2531830.0,2531830.0,True,70.0795,82.973,0.06952331349206349,0.08231448412698412,15.761416,True
cdouble,sbB,0,4096,16,50,4,0,0,1,0.433123,0.323312,0.7464669389526762,0.0033973684861681596,0.00031328744952357644,0.0033973684861681596,2531830.0,2531830.0,True,72.7804,97.4997,0.07220277777777778,0.09672589285714286,31.522832,True
cdouble,sbB,0,4096,16,50,8,0,0,1,0.85097,0.614871,0.7225530864777842,0.0027155777390704718,0.0003998578093234779,0.0027155777390704718,2531830.0,2531830.0,True,74.0869,102.535,0.07349890873015873,0.10172123015873015,63.045664,True
cdouble,sbB,0,4096,16,50,16,0,0,1,1.6966,1.19621,0.7050630673110927,0.003891055918275219,0.0003477991276670989,0.003891055918275219,2531830.0,2531830.0,True,74.3198,105.409,0.07372996031746032,0.10457242063492064,126.091328,False
cdouble,sbB,0,4096,16,50,32,0,0,1,3.4142,2.35887,0.6908997715423818,0.0018861615943227055,0.0003294827485208833,0.0018861615943227055,2531830.0,2531830.0,True,73.8628,106.908,0.0732765873015873,0.10605952380952381,252.182656,False
cdouble,sbB,0,4096,16,50,64,0,0,1,6.82265,4.67928,0.6858449429473885,0.0011783351284813048,0.000257256344675456,0.0011783351284813048,2531830.0,2531830.0,True,73.9251,107.787,0.07333839285714286,0.10693154761904762,504.365312,False
cdouble,sbB,0,4096,16,50,128,0,0,1,13.6411,9.32508,0.6836017623212204,0.0005417454863658007,0.0002340185175682313,0.0005417454863658007,2531830.0,2531830.0,True,73.9477,108.174,0.07336081349206348,0.1073154761904762,1008.730624,False
cdouble,sbL,0,1024,3,2,1,0,0,0,0.015805,0.00297237,0.18806516925023725,0.0843751977222398,0.0843751977222398,0.027580886632552478,1907.93,1907.93,True,8.29332,44.0981,0.0082275,0.04374811507936508,0.131076,True
cdouble,sbL,0,1024,3,2,1,0,0,1,0.0176722,0.00484563,0.2741950634329625,0.0016502359638301965,0.0016502359638301965,0.0010310568491609965,4985.47,4985.47,True,7.41707,27.0504,0.007358204365079365,0.026835714285714286,0.131076,True
cdouble,sbL,0,1024,3,2,1,0,1,0,0.0146808,0.00292729,0.1993958094926707,0.026492084900005448,0.026492084900005448,0.009422025149541043,64724600.0,412594000.0,True,11.1604,55.9712,0.011071825396825396,0.05552698412698413,0.131076,True
cdouble,sbL,0,1024,3,2,1,0,1,1,0.0166298,0.00508292,0.3056513006770978,0.0017052760706683183,0.0017052760706683183,0.0006660561252193621,175229000.0,860392000.0,True,9.85245,32.2342,0.009774255952380951,0.031978373015873016,0.131076,True
cdouble,sbL,0,1024,3,2,2,0,0,0,0.0178895,0.00292079,0.16326839766343387,0.03807876128455239,0.03807876128455239,0.01703083754737588,1907.93,1907.93,True,14.654,89.7537,0.014537698412698412,0.08904136904761904,0.262152,True
cdouble,sbL,0,1024,3,2,2,0,0,1,0.0166235,0.00486715,0.29278731915661566,0.050883267663247814,0.050883267663247814,0.000276473911837523,4985.47,4985.47,True,15.77,53.8615,0.01564484126984127,0.053434027777777775,0.262152,True
cdouble,sbL,0,1024,3,2,2,0,1,0,0.0173536,0.00296451,0.17082968375437949,0.05851177853586575,0.05851177853586575,0.011155570397806045,63503500.0,411449000.0,True,18.883,110.537,0.01873313492063492,0.10965972222222223,0.262152,True
cdouble,sbL,0,1024,3,2,2,0,1,1,0.0160609,0.00499436,0.3109638936796817,0.033171304223300065,0.033171304223300065,0.0004228589849350067,171560000.0,863743000.0,True,20.4028,65.6115,0.020240873015873014,0.06509077380952381,0.262152,True
cdouble,sbL,0,1024,3,2,4,0,0,0,0.0168641,0.00292054,0.17318089906962128,0.01826110924692009,0.0015032880497625133,0.01826110924692009,1907.93,1907.93,True,31.09,179.523,0.030843253968253968,0.1780982142857143,0.524304,True
cdouble,sbL,0,1024,3,2,4,0,0,1,0.0171677,0.00488717,0.28467237894418,0.0012525673211903749,0.0012525673211903749,0.00027594702046378585,4985.47,4985.47,True,30.5402,107.282,0.03029781746031746,0.10643055555555556,0.524304,True
cdouble,sbL,0,1024,3,2,4,0,1,0,0.0183801,0.00293464,0.15966398441793025,0.05390797656160738,0.05390797656160738,0.011161948313932883,62847200.0,413082000.0,True,35.6568,223.324,0.03537380952380952,0.2215515873015873,0.524304,True
cdouble,sbL,0,1024,3,2,4,0,1,1,0.0184277,0.00501123,0.27194006848385854,0.04338957113475908,0.04338957113475908,0.0007368290818820928,157481000.0,856484000.0,True,35.5648,130.781,0.03528253968253968,0.12974305555555557,0.524304,True
cdouble,sbL,0,1024,3,2,8,0,0,0,0.0209286,0.00369346,0.17647907647907649,0.10899617161144293,0.0021615444893590594,0.10899617161144293,1907.93,1907.93,True,50.1041,283.909,0.04970644841269842,0.281655753968254,1.048608,True
cdouble,sbL,0,1024,3,2,8,0,0,1,0.0205273,0.00505637,0.24632416343113808,0.07949900863727817,0.07949900863727817,0.016327127959385884,4985.47,4985.47,True,51.0837,207.384,0.05067827380952381,0.20573809523809522,1.048608,True
cdouble,sbL,0,1024,3,2,8,0,1,0,0.0198901,0.00306626,0.1541601098033695,0.08928010018719874,0.04771670328454859,0.08928010018719874,62999800.0,362957000.0,True,65.8996,427.476,0.06537658730158731,0.4240833333333333,1.048608,True
cdouble,sbL,0,1024,3,2,8,0,1,1,0.0167579,0.00527296,0.3146551775580473,0.07986178541085083,0.0029510320505552606,0.07986178541085083,166415000.0,843601000.0,True,78.217,248.58,0.07759623015873016,0.24660714285714286,1.048608,True
cdouble,sbL,0,1024,3,2,16,0,0,0,0.0219805,0.00329907,0.15009076226655443,0.037905143195104754,0.037905143195104754,0.0034471836002267307,1907.93,1907.93,True,95.4125,635.699,0.09465525793650793,0.6306537698412698,2.097216,True
cdouble,sbL,0,1024,3,2,16,0,0,1,0.025719,0.00560855,0.21807029822310356,0.021815977391660947,0.016380574672421166,0.021815977391660947,4985.47,4985.47,True,81.5434,373.932,0.08089623015873017,0.37096428571428575,2.097216,True
