name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1,0,0,0,0,100,0.0039075,6.92139e-05,1907.93,12.5789,18.8694,3.9075,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1,0,0,1,0,100,0.00389855,8.04231e-05,4985.47,12.6078,18.9127,3.89855,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1,0,1,0,0,100,0.00296058,0.000141178,3.97125e+08,16.6022,30.4386,2.96058,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1,0,1,1,0,100,0.00300079,4.06154e-05,1.06709e+09,16.3797,30.0307,3.00079,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,2,0,0,0,0,100,0.0029476,4.95182e-05,1907.93,33.3505,50.0285,1.4738,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,2,0,0,1,0,100,0.00296641,0.000129977,4985.47,33.139,49.7112,1.48321,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,2,0,1,0,0,100,0.00295833,5.84554e-05,4.155e+08,33.2296,60.9236,1.47916,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,2,0,1,1,0,100,0.00298732,1.13787e-05,1.06796e+09,32.9071,60.3324,1.49366,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,4,0,0,0,0,100,0.0029442,4.57195e-05,1907.93,66.778,100.172,0.736051,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,4,0,0,1,0,100,0.00359138,0.000500421,4985.47,54.7444,82.121,0.897846,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,4,0,1,0,0,100,0.00386644,8.95939e-05,3.96057e+08,50.8499,93.2289,0.96661,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,4,0,1,1,0,100,0.00382208,9.61561e-05,9.56568e+08,51.4401,94.311,0.95552,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,0,100,0.00388551,0.000203965,1907.93,101.201,151.809,0.485688,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,0,100,0.00385849,0.000167436,4985.47,101.909,152.872,0.482311,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,1,0,0,100,0.00299501,0.000269053,4.10586e+08,131.29,240.71,0.374376,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,1,1,0,100,0.00393901,0.000140091,9.78744e+08,99.8261,183.023,0.492376,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,16,0,0,0,0,100,0.00301563,0.000298375,1907.93,260.785,391.199,0.188477,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,16,0,0,1,0,100,0.00389752,0.000103382,4985.47,201.777,302.682,0.243595,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,16,0,1,0,0,100,0.00393834,9.94415e-05,3.64003e+08,199.686,366.107,0.246146,3072,3
