name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1,0,0,0,0,100,0.0141297,8.76807e-05,1907.93,3.47863,5.21822,14.1297,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1,0,0,1,0,100,0.013961,2.27926e-05,4985.47,3.52066,5.28127,13.961,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1,0,1,0,0,100,0.0129512,3.45459e-05,7.69665e+07,3.79516,6.9581,12.9512,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1,0,1,1,0,100,0.013036,1.90131e-05,1.99841e+08,3.77049,6.91287,13.036,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,2,0,0,0,0,100,0.0170242,0.00107645,1907.93,5.77436,8.66201,8.51211,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,2,0,0,1,0,100,0.015006,3.69258e-05,4985.47,6.55096,9.82698,7.50302,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,2,0,1,0,0,100,0.0151345,0.000886855,7.30438e+07,6.49538,11.9087,7.56723,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,2,0,1,1,0,100,0.0162238,0.00101856,1.70805e+08,6.05925,11.1091,8.1119,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,4,0,0,0,0,100,0.0177403,0.000644981,1907.93,11.0826,16.6247,4.43508,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,4,0,0,1,0,100,0.0157144,0.000273275,4985.47,12.5113,18.768,3.92859,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,4,0,1,0,0,100,0.0166681,2.56949e-05,6.99606e+07,11.7955,21.626,4.16701,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,4,0,1,1,0,100,0.0169718,0.00047307,1.66297e+08,11.5844,21.239,4.24295,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,0,100,0.0193854,0.000110468,1907.93,20.2842,30.4279,2.42317,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,0,100,0.0164885,0.000102364,4985.47,23.8479,35.7738,2.06106,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,1,0,0,100,0.0149977,3.75545e-05,6.906e+07,26.2184,48.0693,1.87471,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,1,1,0,100,0.0152476,2.99892e-05,1.77386e+08,25.7887,47.2813,1.90595,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,16,0,0,0,0,100,0.0176838,2.97974e-05,1907.93,44.4719,66.7115,1.10524,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,16,0,0,1,0,100,0.0177024,3.01433e-05,4985.47,44.4253,66.6415,1.1064,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,16,0,1,0,0,100,0.0167848,0.000784556,6.39925e+07,46.8539,85.9027,1.04905,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,16,0,1,1,0,100,0.0167491,3.83837e-05,1.67335e+08,46.9537,86.0856,1.04682,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,0,0,100,0.0214822,2.29363e-05,1907.93,73.217,109.832,0.671319,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,1,0,100,0.021598,2.38853e-05,4985.47,72.8244,109.243,0.674938,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,32,0,1,0,0,100,0.0200606,2.43968e-05,5.67575e+07,78.4057,143.75,0.626893,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,32,0,1,1,0,100,0.0201517,2.20057e-05,1.47831e+08,78.0512,143.1,0.62974,3072,3
