2760 MHz, 65
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       1       0       0       0       0       100         0.014716    1.7854e-05  874.68      0.83502     5.0104      14.716      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       1       0       0       1       0       100         0.014733    1.6985e-05  2210.6      0.83407     5.0047      14.733      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       1       0       1       0       0       100         0.013548    2.6599e-05  3.4130e+07  0.90698     6.6515      13.548      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       1       0       1       1       0       100         0.013661    2.8804e-05  8.6134e+07  0.89947     6.5964      13.661      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       2       0       0       0       0       100         0.015669    2.0434e-05  874.68      1.5684      9.4112      7.8345      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       2       0       0       1       0       100         0.015686    1.4837e-05  2210.6      1.5667      9.4009      7.8430      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       2       0       1       0       0       100         0.014433    0.00012969  3.2640e+07  1.7027      12.487      7.2166      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       2       0       1       1       0       100         0.014326    1.8858e-05  8.3128e+07  1.7155      12.581      7.1629      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       4       0       0       0       0       100         0.015904    1.9376e-05  874.68      3.0905      18.544      3.9761      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       4       0       0       1       0       100         0.016027    2.4689e-05  2210.6      3.0669      18.402      4.0067      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       4       0       1       0       0       100         0.014778    0.00020666  3.2080e+07  3.3260      24.391      3.6946      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       4       0       1       1       0       100         0.014758    2.3169e-05  8.1076e+07  3.3306      24.426      3.6894      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       8       0       0       0       0       100         0.016774    0.00067885  874.68      5.8604      35.164      2.0968      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       8       0       0       1       0       100         0.018382    0.0019996   2210.6      5.3479      32.089      2.2977      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       8       0       1       0       0       100         0.015672    1.8341e-05  3.0876e+07  6.2725      46.000      1.9590      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       8       0       1       1       0       100         0.015787    0.00063534  7.7504e+07  6.2270      45.667      1.9733      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       16      0       0       0       0       100         0.019135    0.00049082  874.68      10.275      61.652      1.1959      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       16      0       0       1       0       100         0.022247    0.0011235   2210.6      8.8374      53.027      1.3905      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       16      0       1       0       0       100         0.017652    1.5055e-05  2.8280e+07  11.138      81.682      1.1033      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       16      0       1       1       0       100         0.017880    3.1117e-05  7.0854e+07  10.996      80.639      1.1175      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       32      0       0       0       0       100         0.022893    2.3998e-05  874.68      17.176      103.06      0.71541     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       32      0       0       1       0       100         0.027157    0.00028174  2210.6      14.479      86.880      0.84867     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       32      0       1       0       0       100         0.026192    5.5083e-05  2.1983e+07  15.013      110.10      0.81851     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       32      0       1       1       0       100         0.021716    0.00053366  6.0014e+07  18.107      132.79      0.67864     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       64      0       0       0       0       100         0.032736    3.4393e-05  874.68      24.023      144.15      0.51150     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       64      0       0       1       0       100         0.032698    3.3064e-05  2210.6      24.051      144.32      0.51091     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       64      0       1       0       0       100         0.031396    0.00019048  1.9862e+07  25.049      183.70      0.49056     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       64      0       1       1       0       100         0.031415    0.00018371  5.0199e+07  25.034      183.59      0.49085     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       128     0       0       0       0       100         0.051248    6.4704e-05  874.68      30.691      184.16      0.40038     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       128     0       0       1       0       100         0.051317    5.4308e-05  2210.6      30.650      183.91      0.40092     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       128     0       1       0       0       100         0.049299    0.00016098  1.5895e+07  31.904      233.98      0.38515     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       128     0       1       1       0       100         0.049409    0.00013543  4.0154e+07  31.833      233.45      0.38601     3072        3           
2775 MHz, 49
