2790 MHz, 45
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      1       0       0       1       0       100         0.022149    2.9025e-05  2.2318e+05  73.973      30.699      22.149      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      2       0       0       1       0       100         0.027401    0.00079526  2.2318e+05  119.59      49.628      13.701      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      4       0       0       1       0       100         0.036028    0.00079039  2.2318e+05  181.90      75.489      9.0071      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      8       0       0       1       0       100         0.060918    0.00067820  2.2318e+05  215.16      89.293      7.6147      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      16      0       0       1       0       100         0.10936     0.00050490  2.2318e+05  239.70      99.476      6.8352      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      32      0       0       1       0       100         0.21491     0.00028861  2.2318e+05  243.96      101.24      6.7158      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      64      0       0       1       0       100         0.42437     0.00040646  2.2318e+05  247.09      102.54      6.6308      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      128     0       0       1       0       100         0.84049     0.00060560  2.2318e+05  249.51      103.55      6.5664      32768       16          
2775 MHz, 55
