2775 MHz, 58
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      1       1       0       0       0       100         0.010384    1.1674e-05  48901.      157.78      65.478      10.384      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      2       1       0       0       0       100         0.010321    3.3787e-06  48901.      317.49      131.76      5.1605      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      4       1       0       0       0       100         0.010676    7.1598e-06  48901.      613.86      254.75      2.6690      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      8       1       0       0       0       100         0.011731    0.00032302  48901.      1117.3      463.68      1.4664      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      16      1       0       0       0       100         0.018618    2.1770e-05  48901.      1408.0      584.32      1.1637      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      32      1       0       0       0       100         0.030677    2.2763e-05  48901.      1709.0      709.25      0.95867     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      64      1       0       0       0       100         0.056373    0.00016617  48901.      1860.1      771.93      0.88083     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      128     1       0       0       0       100         0.12170     0.00036007  48901.      1723.1      715.11      0.95082     32768       16          
2760 MHz, 65
