2775 MHz, 62
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      1       0       0       1       0       100         0.054675    0.00016302  2.5318e+06  479.46      74.615      54.675      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      2       0       0       1       0       100         0.093932    6.6683e-05  2.5318e+06  558.16      86.863      46.966      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      4       0       0       1       0       100         0.17328     0.00012471  2.5318e+06  605.15      94.176      43.319      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      8       0       0       1       0       100         0.33249     0.00034119  2.5318e+06  630.74      98.159      41.561      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      16      0       0       1       0       100         0.65202     0.00046341  2.5318e+06  643.28      100.11      40.751      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      32      0       0       1       0       100         1.3025      0.00080515  2.5318e+06  644.06      100.23      40.702      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      64      0       0       1       0       100         2.6258      0.014662    2.5318e+06  638.95      99.436      41.028      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      128     0       0       1       0       77          5.2521      0.0016555   2.5318e+06  638.88      99.426      41.032      65536       16          
2760 MHz, 64
