name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,1,0,0,0,0,100,0.0174326,0.000381794,1907.93,2.81955,7.51903,17.4326,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,1,0,0,1,0,100,0.0178465,0.00136324,4985.47,2.75415,7.34462,17.8465,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,1,0,1,0,0,100,0.0144744,2.59086e-05,7.01279e+07,3.39578,11.3196,14.4744,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,1,0,1,1,0,100,0.0146117,4.94366e-05,1.83007e+08,3.36387,11.2132,14.6117,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,2,0,0,0,0,100,0.0165094,2.59864e-05,1907.93,5.95443,15.879,8.2547,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,2,0,0,1,0,100,0.0166361,1.70292e-05,4985.47,5.90908,15.758,8.31804,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,2,0,1,0,0,100,0.0164956,0.00166682,6.73346e+07,5.9594,19.8652,8.24781,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,2,0,1,1,0,100,0.015435,0.000109388,1.78899e+08,6.3689,21.2302,7.71751,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,4,0,0,0,0,100,0.0168655,0.000118932,1907.93,11.6574,31.0873,4.21638,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,4,0,0,1,0,100,0.0170697,2.30401e-05,4985.47,11.518,30.7155,4.26743,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,4,0,1,0,0,100,0.0158218,3.51951e-05,6.60067e+07,12.4264,41.4224,3.95544,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,4,0,1,1,0,100,0.0165782,0.000567781,1.73395e+08,11.8594,39.5323,4.14456,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,0,100,0.0210196,0.00024713,1907.93,18.7071,49.8871,2.62745,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,0,100,0.0212674,3.89922e-05,4985.47,18.4892,49.3059,2.65842,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,8,0,1,0,0,100,0.019857,0.000197024,5.67418e+07,19.8024,66.0095,2.48213,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,8,0,1,1,0,100,0.0188607,0.00122246,1.57202e+08,20.8484,69.4963,2.35759,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,16,0,0,0,0,100,0.0246551,0.00142695,1907.93,31.8974,85.0623,1.54094,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,16,0,0,1,0,100,0.0219044,0.0003233,4985.47,35.9029,95.744,1.36903,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,16,0,1,0,0,100,0.0219037,0.00137759,5.58565e+07,35.9041,119.683,1.36898,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,16,0,1,1,0,100,0.024485,0.000178035,1.30639e+08,32.1189,107.066,1.53031,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,0,0,100,0.0281762,0.000109236,1907.93,55.8225,148.864,0.880506,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,1,0,100,0.0281482,3.20396e-05,4985.47,55.8779,149.012,0.879632,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,32,0,1,0,0,100,0.0267648,3.38145e-05,4.75532e+07,58.7662,195.892,0.836399,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,32,0,1,1,0,100,0.0278695,0.00157588,1.24736e+08,56.4367,188.127,0.870923,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,0,0,100,0.0402975,0.00342924,1907.93,78.0626,208.173,0.629649,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,1,0,100,0.0446475,0.00138327,4985.47,70.457,187.891,0.697617,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,64,0,1,0,0,100,0.0360076,3.22707e-05,3.90668e+07,87.3629,291.217,0.562619,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,64,0,1,1,0,100,0.0360594,4.05834e-05,1.05273e+08,87.2374,290.798,0.563428,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,0,0,100,0.0570839,0.000142047,1907.93,110.214,293.914,0.445968,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,0,100,0.0582094,0.000936885,4985.47,108.083,288.23,0.454761,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,128,0,1,0,0,100,0.0614662,0.00110641,3.13587e+07,102.356,341.196,0.480205,3072,3
