2715 MHz, 70
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       1       0       0       0       0       100         0.0029602   3.6462e-05  1907.9      16.604      24.908      2.9602      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       1       0       0       1       0       100         0.0029223   3.1863e-05  4985.5      16.819      25.230      2.9223      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       1       0       1       0       0       100         0.0029311   4.5200e-05  4.1596e+08  16.769      30.745      2.9311      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       1       0       1       1       0       100         0.0029976   8.6695e-06  1.0643e+09  16.397      30.063      2.9976      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       2       0       0       0       0       100         0.0029305   4.6598e-05  1907.9      33.545      50.320      1.4652      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       2       0       0       1       0       100         0.0029327   3.8832e-05  4985.5      33.520      50.283      1.4663      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       2       0       1       0       0       100         0.0029378   5.9349e-05  4.1898e+08  33.462      61.349      1.4689      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       2       0       1       1       0       100         0.0029845   8.1161e-06  1.0678e+09  32.939      60.390      1.4922      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       4       0       0       0       0       100         0.0029451   3.5021e-05  1907.9      66.758      100.14      0.73627     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       4       0       0       1       0       100         0.0029394   3.0499e-05  4985.5      66.888      100.34      0.73484     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       4       0       1       0       0       100         0.0029542   3.8453e-05  4.1712e+08  66.552      122.02      0.73854     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       4       0       1       1       0       100         0.0030119   1.9984e-05  1.0658e+09  65.277      119.68      0.75298     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       8       0       0       0       0       100         0.0029420   4.5668e-05  1907.9      133.65      200.49      0.36776     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       8       0       0       1       0       100         0.0029815   8.7145e-06  4985.5      131.88      197.84      0.37269     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       8       0       1       0       0       100         0.0029529   4.9934e-05  4.1565e+08  133.16      244.14      0.36912     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       8       0       1       1       0       100         0.0031263   2.0720e-06  1.0481e+09  125.78      230.60      0.39079     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       16      0       0       0       0       100         0.0029304   4.3592e-05  1907.9      268.37      402.57      0.18315     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       16      0       0       1       0       100         0.0032574   2.3549e-06  4985.5      241.43      362.17      0.20359     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       16      0       1       0       0       100         0.0029399   5.1007e-05  4.1564e+08  267.50      490.44      0.18374     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       16      0       1       1       0       100         0.0033847   1.8984e-06  1.0138e+09  232.35      425.99      0.21154     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       32      0       0       0       0       100         0.0029330   5.6722e-05  1907.9      536.27      804.44      0.091656    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       32      0       0       1       0       100         0.0037441   1.9870e-06  4985.5      420.09      630.17      0.11700     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       32      0       1       0       0       100         0.0029571   7.8349e-05  4.1289e+08  531.90      975.19      0.092409    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       32      0       1       1       0       100         0.0039671   1.9250e-06  9.4736e+08  396.48      726.91      0.12397     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       64      0       0       0       0       100         0.0029825   2.1416e-05  1907.9      1054.7      1582.2      0.046602    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       64      0       0       1       0       100         0.0048088   2.0953e-06  4985.5      654.15      981.28      0.075138    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       64      0       1       0       0       100         0.0031791   1.7416e-06  3.9792e+08  989.51      1814.2      0.049673    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       64      0       1       1       0       100         0.0048989   1.8548e-06  8.7110e+08  642.13      1177.3      0.076545    3072        3           
