name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1,0,0,0,0,100,0.0155775,3.2487e-05,874.683,0.788831,2.89264,15.5775,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1,0,0,1,0,100,0.0157266,2.66708e-05,2210.61,0.78135,2.8652,15.7266,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1,0,1,0,0,100,0.0142439,3.19912e-05,3.26746e+07,0.862685,3.73858,14.2439,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1,0,1,1,0,100,0.0147611,3.4351e-05,8.06522e+07,0.832461,3.6076,14.7611,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,2,0,0,0,0,100,0.0168694,2.22406e-05,874.683,1.45684,5.34221,8.43471,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,2,0,0,1,0,100,0.0150878,0.000254351,2210.61,1.62887,5.97305,7.54389,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,2,0,1,0,0,100,0.0137008,2.34462e-05,3.4186e+07,1.79376,7.77354,6.85042,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,2,0,1,1,0,100,0.0137477,1.71779e-05,8.54801e+07,1.78765,7.74706,6.87383,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,4,0,0,0,0,100,0.0153022,2.10604e-05,874.683,3.2121,11.7787,3.82554,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,4,0,0,1,0,100,0.0153784,1.84068e-05,2210.61,3.19618,11.7204,3.84459,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,4,0,1,0,0,100,0.0141513,1.80416e-05,3.27935e+07,3.47333,15.0522,3.53782,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,4,0,1,1,0,100,0.0142268,1.63048e-05,8.29335e+07,3.45488,14.9723,3.5567,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,0,100,0.0160775,3.60477e-05,874.683,6.11438,22.4214,2.00969,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,0,100,0.0162646,2.47946e-05,2210.61,6.04404,22.1635,2.03308,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,8,0,1,0,0,100,0.0150322,2.10302e-05,3.17439e+07,6.53955,28.3402,1.87903,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,8,0,1,1,0,100,0.0150851,2.15889e-05,8.04223e+07,6.51664,28.2409,1.88564,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,16,0,0,0,0,100,0.0180481,2.18864e-05,874.683,10.8935,39.9465,1.12801,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,16,0,0,1,0,100,0.0180802,2.51615e-05,2210.61,10.8742,39.8756,1.13002,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,16,0,1,0,0,100,0.0167132,2.59998e-05,2.93368e+07,11.7637,50.9797,1.04457,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,16,0,1,1,0,100,0.0167158,3.28953e-05,7.43387e+07,11.7618,50.9716,1.04474,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,0,0,100,0.0212488,0.000148519,874.683,18.5054,67.859,0.664023,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,1,0,100,0.0213925,2.59884e-05,2210.61,18.381,67.4031,0.668515,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,32,0,1,0,0,100,0.019947,2.05929e-05,2.6146e+07,19.713,85.4294,0.623345,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,32,0,1,1,0,100,0.0200441,2.10328e-05,6.58677e+07,19.6176,85.0159,0.626377,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,0,0,100,0.0295817,2.15181e-05,874.683,26.5851,97.4873,0.462214,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,1,0,100,0.0297792,2.46641e-05,2210.61,26.4088,96.8408,0.4653,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,64,0,1,0,0,100,0.0282068,2.74444e-05,2.10589e+07,27.8809,120.826,0.440732,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,64,0,1,1,0,100,0.0283783,2.4923e-05,5.31874e+07,27.7124,120.096,0.443411,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,0,0,100,0.0479556,2.66528e-05,874.683,32.7984,120.271,0.374653,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,0,100,0.0486206,3.28919e-05,2210.61,32.3497,118.626,0.379849,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,128,0,1,0,0,100,0.0463743,0.000118994,1.63566e+07,33.9167,146.984,0.362299,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,128,0,1,1,0,100,0.0470011,4.07653e-05,4.10025e+07,33.4644,145.023,0.367196,3072,3
