210 MHz, 42
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       1       0       0       0       0       100         0.015577    3.2487e-05  874.68      0.78883     2.8926      15.577      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       1       0       0       1       0       100         0.015727    2.6671e-05  2210.6      0.78135     2.8652      15.727      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       1       0       1       0       0       100         0.014244    3.1991e-05  3.2675e+07  0.86269     3.7386      14.244      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       1       0       1       1       0       100         0.014761    3.4351e-05  8.0652e+07  0.83246     3.6076      14.761      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       2       0       0       0       0       100         0.016869    2.2241e-05  874.68      1.4568      5.3422      8.4347      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       2       0       0       1       0       100         0.015088    0.00025435  2210.6      1.6289      5.9730      7.5439      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       2       0       1       0       0       100         0.013701    2.3446e-05  3.4186e+07  1.7938      7.7735      6.8504      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       2       0       1       1       0       100         0.013748    1.7178e-05  8.5480e+07  1.7876      7.7471      6.8738      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       4       0       0       0       0       100         0.015302    2.1060e-05  874.68      3.2121      11.779      3.8255      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       4       0       0       1       0       100         0.015378    1.8407e-05  2210.6      3.1962      11.720      3.8446      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       4       0       1       0       0       100         0.014151    1.8042e-05  3.2794e+07  3.4733      15.052      3.5378      3072        3           
