2760 MHz, 63
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      1       1       0       0       0       100         0.025470    6.5593e-05  48901.      64.327      47.924      25.470      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      2       1       0       0       0       100         0.036574    0.00010354  48901.      89.594      66.748      18.287      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      4       1       0       0       0       100         0.056711    0.00013819  48901.      115.56      86.093      14.178      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      8       1       0       0       0       100         0.090008    0.00054726  48901.      145.62      108.49      11.251      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      16      1       0       0       0       100         0.16504     0.0015485   48901.      158.84      118.34      10.315      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      32      1       0       0       0       100         0.31336     0.00011576  48901.      167.31      124.65      9.7924      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      64      1       0       0       0       100         0.61080     0.00016351  48901.      171.67      127.90      9.5438      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     1       0       0       0       100         1.2200      0.012295    48901.      171.90      128.06      9.5313      32768       16          
2775 MHz, 58
