name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,1,100,0.0519309,0.000122388,2521.86,60.5753,242.311,0.40571,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,1,100,0.0913168,3.85169e-05,2521.86,68.897,275.599,0.356706,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.170716,0.00015788,2521.86,73.7065,294.838,0.333431,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,1,100,0.330798,0.000169881,2521.86,76.0761,304.317,0.323045,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,1,100,0.0571857,0.00214697,4971.24,110.018,293.39,0.446764,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,1,100,0.0954753,7.80278e-05,4971.24,131.792,351.457,0.37295,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.176644,0.00100106,4971.24,142.466,379.921,0.345009,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,1,100,0.34282,0.000277706,4971.24,146.817,391.523,0.334785,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,4,128,0,0,1,1,100,0.0828271,0.000203493,9997.29,151.918,303.842,0.647087,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,4,256,0,0,1,1,100,0.14616,0.000288789,9997.29,172.18,344.367,0.570937,3072,3
