2760 MHz, 60
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       128     0       0       1       1       100         0.049427    2.8399e-05  2521.9      63.644      148.51      0.38615     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       256     0       0       1       1       100         0.087402    3.2980e-05  2521.9      71.983      167.97      0.34141     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       1       1       100         0.16482     0.00013405  2521.9      76.345      178.15      0.32191     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       1024    0       0       1       1       100         0.31996     0.00017936  2521.9      78.653      183.54      0.31246     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       128     0       0       1       1       100         0.051041    3.6352e-05  4971.2      123.26      184.90      0.39876     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       256     0       0       1       1       100         0.089616    0.00012885  4971.2      140.41      210.63      0.35006     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       1       100         0.16682     0.00016980  4971.2      150.85      226.29      0.32582     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       1024    0       0       1       1       100         0.32192     0.0011767   4971.2      156.35      234.54      0.31437     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       4       128     0       0       1       1       100         0.067720    3.4475e-05  9997.3      185.81      201.30      0.52906     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       4       256     0       0       1       1       100         0.12253     0.00012952  9997.3      205.39      222.52      0.47862     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       4       512     0       0       1       1       100         0.23219     0.00016860  9997.3      216.77      234.85      0.45349     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       4       1024    0       0       1       1       100         0.45342     0.00018189  9997.3      222.01      240.52      0.44279     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       8       128     0       0       1       1       100         0.10997     0.00013469  19846.      228.84      200.24      0.85917     3072        3           
