name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,1,100,0.0497672,6.59798e-05,1134.05,15.8022,147.498,0.388806,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,1,100,0.0878404,4.2224e-05,1134.05,17.9059,167.134,0.343126,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.16525,0.000137129,1134.05,19.0361,177.683,0.322754,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,1,100,0.320606,0.000208285,1134.05,19.6236,183.167,0.313092,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,1,100,0.0508418,4.11237e-05,2210.61,30.9365,185.629,0.397201,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,1,100,0.0893602,0.000247591,2210.61,35.2028,211.228,0.349063,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.166935,0.00100087,2210.61,37.688,226.14,0.326045,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,1,100,0.322282,0.000191386,2210.61,39.0432,234.272,0.314728,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,4,128,0,0,1,1,100,0.0544016,5.42304e-05,4394.88,57.8241,250.581,0.425013,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,4,256,0,0,1,1,100,0.0939154,7.06076e-05,4394.88,66.9906,290.304,0.366857,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,1,100,0.173161,0.000221379,4394.88,72.666,314.898,0.338205,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,4,1024,0,0,1,1,100,0.332006,0.000416728,4394.88,75.7994,328.476,0.324224,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,8,128,0,0,1,1,100,0.0802177,0.00325949,8677.19,78.4297,274.51,0.626701,3072,3
