2775 MHz, 59
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       128     0       0       1       1       100         0.049767    6.5980e-05  1134.1      15.802      147.50      0.38881     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       256     0       0       1       1       100         0.087840    4.2224e-05  1134.1      17.906      167.13      0.34313     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       512     0       0       1       1       100         0.16525     0.00013713  1134.1      19.036      177.68      0.32275     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       1024    0       0       1       1       100         0.32061     0.00020829  1134.1      19.624      183.17      0.31309     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       128     0       0       1       1       100         0.050842    4.1124e-05  2210.6      30.936      185.63      0.39720     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       256     0       0       1       1       100         0.089360    0.00024759  2210.6      35.203      211.23      0.34906     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       512     0       0       1       1       100         0.16694     0.0010009   2210.6      37.688      226.14      0.32605     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       1024    0       0       1       1       100         0.32228     0.00019139  2210.6      39.043      234.27      0.31473     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       4       128     0       0       1       1       100         0.054402    5.4230e-05  4394.9      57.824      250.58      0.42501     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       4       256     0       0       1       1       100         0.093915    7.0608e-05  4394.9      66.991      290.30      0.36686     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       4       512     0       0       1       1       100         0.17316     0.00022138  4394.9      72.666      314.90      0.33821     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       4       1024    0       0       1       1       100         0.33201     0.00041673  4394.9      75.799      328.48      0.32422     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       8       128     0       0       1       1       100         0.080218    0.0032595   8677.2      78.430      274.51      0.62670     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       8       256     0       0       1       1       100         0.13028     0.00024923  8677.2      96.586      338.06      0.50889     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       8       512     0       0       1       1       100         0.24477     0.0014707   8677.2      102.82      359.86      0.47806     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       8       1024    0       0       1       1       100         0.73079     0.00065206  8677.2      68.873      241.06      0.71366     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       12      128     0       0       1       1       100         0.10741     0.00026344  13024.      87.857      283.10      0.83918     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       12      256     0       0       1       1       100         0.17749     0.00033688  13024.      106.34      342.66      0.69332     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       12      512     0       0       1       1       100         0.41816     0.00044826  13024.      90.273      290.88      0.81672     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       12      1024    0       0       1       1       100         1.0412      0.014396    13024.      72.508      233.64      1.0168      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      1       128     0       0       1       1       100         0.086078    8.4417e-05  4553.1      48.727      322.82      0.67248     16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      1       256     0       0       1       1       100         0.16148     0.00016734  4553.1      51.949      344.17      0.63077     16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      1       512     0       0       1       1       100         0.31656     0.00034742  4553.1      52.999      351.12      0.61828     16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      1       1024    0       0       1       1       100         0.62329     0.0023047   4553.1      53.834      356.66      0.60868     16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      2       128     0       0       1       1       100         0.12319     0.00011756  8975.8      68.097      242.60      0.96238     16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      2       256     0       0       1       1       100         0.23082     0.00017520  8975.8      72.687      258.95      0.90162     16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      2       512     0       0       1       1       100         0.45106     0.00022703  8975.8      74.391      265.02      0.88097     16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      2       1024    0       0       1       1       100         0.89186     0.00041047  8975.8      75.246      268.07      0.87096     16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      4       128     0       0       1       1       100         0.18855     0.00017459  18039.      88.979      180.74      1.4731      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      4       256     0       0       1       1       100         0.35735     0.00016125  18039.      93.897      190.73      1.3959      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      4       512     0       0       1       1       100         0.75412     0.0045213   18039.      88.989      180.76      1.4729      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      4       1024    0       0       1       1       100         1.4992      0.0016766   18039.      89.526      181.85      1.4641      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      8       128     0       0       1       1       100         0.34760     0.0070327   35801.      96.531      122.17      2.7157      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      8       256     0       0       1       1       100         0.68538     0.011200    35801.      97.915      123.92      2.6773      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      8       512     0       0       1       1       100         1.3747      0.0023000   35801.      97.634      123.57      2.6850      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      8       1024    0       0       1       1       100         2.6831      0.0016443   35801.      100.05      126.62      2.6202      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      128     0       0       1       1       100         0.47414     0.00028053  53883.      106.15      107.26      3.7042      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      256     0       0       1       1       100         0.92584     0.00027936  53883.      108.73      109.86      3.6166      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      512     0       0       1       1       100         1.8545      0.00095367  53883.      108.56      109.69      3.6221      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      1024    0       0       1       1       100         3.7545      0.023830    53883.      107.24      108.36      3.6665      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       1       128     0       0       1       1       100         0.087742    4.4138e-05  2184.2      17.926      167.32      0.68548     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       1       256     0       0       1       1       100         0.16431     0.00013041  2184.2      19.145      178.69      0.64185     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       1       512     0       0       1       1       100         0.31781     0.0014110   2184.2      19.796      184.77      0.62072     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       1       1024    0       0       1       1       100         0.62571     0.00026949  2184.2      20.110      187.70      0.61104     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       2       128     0       0       1       1       100         0.089205    0.00011209  4415.0      35.264      211.59      0.69691     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       2       256     0       0       1       1       100         0.16606     0.0011693   4415.0      37.888      227.33      0.64865     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       2       512     0       0       1       1       100         0.31954     0.0015954   4415.0      39.378      236.27      0.62411     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       2       1024    0       0       1       1       100         0.62772     0.0016157   4415.0      40.091      240.55      0.61301     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       4       128     0       0       1       1       100         0.093787    6.6629e-05  8708.1      67.083      290.70      0.73271     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       4       256     0       0       1       1       100         0.17241     0.00021753  8708.1      72.981      316.26      0.67349     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       4       512     0       0       1       1       100         0.32890     0.00028547  8708.1      76.514      331.57      0.64239     6144        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    3       4       1024    0       0       1       1       100         0.77067     0.00046091  8708.1      65.309      283.01      0.75261     6144        3           
