name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,1,100,0.115474,0.000709788,1134.05,6.81047,40.8673,0.90214,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,1,100,0.0862069,3.77103e-05,1134.05,18.2452,109.483,0.336746,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.162686,0.00014756,1134.05,19.3363,116.03,0.317745,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,1,100,0.315893,0.000161789,1134.05,19.9164,119.511,0.308489,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,1,100,0.048997,3.76793e-05,2210.61,32.1012,117.715,0.382789,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,1,100,0.0865262,4.03469e-05,2210.61,36.3558,133.316,0.337993,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.162836,0.000131331,2210.61,38.6367,141.681,0.318039,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,1,100,0.316339,0.000210293,2210.61,39.7767,145.861,0.308925,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,4,128,0,0,1,1,100,0.0506189,3.91318e-05,4394.88,62.1453,155.373,0.39546,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,4,256,0,0,1,1,100,0.0889841,4.67864e-05,4394.88,70.7032,176.769,0.347594,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,1,100,0.166261,0.000198401,4394.88,75.6816,189.216,0.324729,3072,3
