210 MHz, 45
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       128     0       0       1       1       100         0.11547     0.00070979  1134.1      6.8105      40.867      0.90214     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       256     0       0       1       1       100         0.086207    3.7710e-05  1134.1      18.245      109.48      0.33675     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       512     0       0       1       1       100         0.16269     0.00014756  1134.1      19.336      116.03      0.31775     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       1024    0       0       1       1       100         0.31589     0.00016179  1134.1      19.916      119.51      0.30849     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       128     0       0       1       1       100         0.048997    3.7679e-05  2210.6      32.101      117.72      0.38279     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       256     0       0       1       1       100         0.086526    4.0347e-05  2210.6      36.356      133.32      0.33799     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       1       1       100         0.16284     0.00013133  2210.6      38.637      141.68      0.31804     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       1024    0       0       1       1       100         0.31634     0.00021029  2210.6      39.777      145.86      0.30892     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       4       128     0       0       1       1       100         0.050619    3.9132e-05  4394.9      62.145      155.37      0.39546     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       4       256     0       0       1       1       100         0.088984    4.6786e-05  4394.9      70.703      176.77      0.34759     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       4       512     0       0       1       1       100         0.16626     0.00019840  4394.9      75.682      189.22      0.32473     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       4       1024    0       0       1       1       100         0.32098     0.0013684   4394.9      78.402      196.02      0.31346     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       8       128     0       0       1       1       100         0.068062    4.0877e-05  8677.2      92.437      177.18      0.53173     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       8       256     0       0       1       1       100         0.12300     0.00013923  8677.2      102.30      196.08      0.48048     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       8       512     0       0       1       1       100         0.23344     0.00019810  8677.2      107.81      206.64      0.45593     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       8       1024    0       0       1       1       100         0.45614     0.00019511  8677.2      110.34      211.50      0.44545     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       12      128     0       0       1       1       100         0.090007    0.00025388  13024.      104.85      180.58      0.70318     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       12      256     0       0       1       1       100         0.16757     0.00018114  13024.      112.63      193.98      0.65459     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       12      512     0       0       1       1       100         0.33932     0.013477    13024.      111.25      191.60      0.66274     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       12      1024    0       0       1       1       100         0.66451     0.0013596   13024.      113.61      195.67      0.64894     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      1       128     0       0       1       1       100         0.094491    6.8682e-05  4553.1      44.388      194.20      0.73821     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      1       256     0       0       1       1       100         0.17796     0.0015898   4553.1      47.139      206.24      0.69514     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      1       512     0       0       1       1       100         0.34452     0.00031720  4553.1      48.697      213.06      0.67289     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      1       1024    0       0       1       1       100         0.68445     0.0022783   4553.1      49.024      214.49      0.66841     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      2       128     0       0       1       1       100         0.13131     0.0010754   8975.8      63.885      147.74      1.0259      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      2       256     0       0       1       1       100         0.25067     0.00030918  8975.8      66.930      154.78      0.97917     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      2       512     0       0       1       1       100         0.52198     0.022864    8975.8      64.283      148.66      1.0195      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      2       1024    0       0       1       1       100         1.0824      0.021857    8975.8      62.001      143.38      1.0570      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      4       128     0       0       1       1       100         0.19616     0.00026103  18039.      85.529      109.59      1.5325      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      4       256     0       0       1       1       100         0.38083     0.00026056  18039.      88.109      112.89      1.4876      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      4       512     0       0       1       1       100         0.74658     0.00037441  18039.      89.889      115.17      1.4582      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      4       1024    0       0       1       1       100         1.4947      0.0015175   18039.      89.795      115.05      1.4597      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      8       128     0       0       1       1       100         0.36264     0.0071727   35801.      92.528      70.843      2.8331      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      8       256     0       0       1       1       100         0.69293     0.0014925   35801.      96.848      74.151      2.7068      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      8       512     0       0       1       1       100         1.3766      0.0020142   35801.      97.496      74.647      2.6888      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      8       1024    0       0       1       1       100         2.7644      0.040003    35801.      97.106      74.348      2.6996      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      128     0       0       1       1       100         0.50290     0.00077276  53883.      100.08      59.425      3.9289      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      256     0       0       1       1       100         0.98930     0.0011345   53883.      101.75      60.416      3.8645      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     0       0       1       1       100         2.0280      0.024431    53883.      99.274      58.945      3.9609      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      1024    0       0       1       1       99          4.0522      0.012786    53883.      99.367      59.000      3.9572      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    3       1       128     0       0       1       1       100         0.086118    0.00015619  2184.2      18.264      109.59      0.67280     6144        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    3       1       256     0       0       1       1       100         0.16197     0.0011300   2184.2      19.422      116.54      0.63268     6144        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    3       1       512     0       0       1       1       100         0.31310     0.00023095  2184.2      20.094      120.57      0.61153     6144        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    3       1       1024    0       0       1       1       100         0.61722     0.0010904   2184.2      20.386      122.32      0.60276     6144        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    3       2       128     0       0       1       1       100         0.086214    0.00010455  4415.0      36.487      133.79      0.67355     6144        3           
