name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,1,100,0.0221082,0.000112578,2521.86,142.288,569.175,0.17272,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,1,100,0.0370645,0.000116829,2521.86,169.744,679.002,0.144783,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.066392,4.09953e-05,2521.86,189.525,758.129,0.129672,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,1,100,0.162461,0.00159848,2521.86,154.903,619.638,0.158654,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,1,100,0.0357971,0.000161005,4971.24,175.753,468.689,0.279665,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,1,100,0.0642217,0.00034138,4971.24,195.929,522.494,0.250866,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.121382,0.000274943,4971.24,207.328,552.89,0.237074,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,1,100,0.314268,0.000414902,4971.24,160.155,427.093,0.306902,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,4,128,0,0,1,1,100,0.0634351,0.000172591,9997.29,198.359,396.726,0.495587,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,4,256,0,0,1,1,100,0.118736,0.00257488,9997.29,211.947,423.903,0.463814,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,1,100,0.279101,0.000418434,9997.29,180.335,360.677,0.54512,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,4,1024,0,0,1,1,100,0.700272,0.000535511,9997.29,143.749,287.504,0.683859,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,8,128,0,0,1,1,100,0.12601,0.00122967,19845.7,199.712,332.858,0.984456,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,8,256,0,0,1,1,100,0.264579,0.00122847,19845.7,190.233,317.059,1.03351,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,1,100,0.728396,0.00263403,19845.7,138.199,230.334,1.42265,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,8,1024,0,0,1,1,100,1.45222,0.0115743,19845.7,138.634,231.059,1.41818,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,12,128,0,0,1,1,100,0.188065,0.000323785,29807,200.722,312.236,1.46926,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,12,256,0,0,1,1,100,0.503733,0.00159004,29807,149.876,233.142,1.96771,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,1,100,1.15669,0.00449685,29807,130.54,203.065,2.25916,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,12,1024,0,0,1,1,100,2.22479,0.00479882,29807,135.739,211.151,2.17265,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,1,128,0,0,1,1,100,0.120496,0.000189474,12781.5,139.235,387.251,0.941375,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,1,256,0,0,1,1,100,0.241878,0.000601819,12781.5,138.725,385.832,0.944836,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,1,100,0.540675,0.000695421,12781.5,124.12,345.214,1.05601,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,1,1024,0,0,1,1,100,1.10899,0.0157158,12781.5,121.027,336.61,1.083,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,2,128,0,0,1,1,100,0.197556,0.00193721,25399.7,169.848,257.428,1.5434,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,2,256,0,0,1,1,100,0.38985,0.00102896,25399.7,172.14,260.903,1.52285,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,1,100,0.798595,0.00131244,25399.7,168.067,254.73,1.55976,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,2,1024,0,0,1,1,100,1.63506,0.0123876,25399.7,164.174,248.829,1.59674,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,4,128,0,0,1,1,100,0.339744,0.00201383,51228.8,197.528,174.382,2.65425,16384,16
