name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,1,100,0.0170642,1.63886e-05,2521.86,184.347,430.172,0.133314,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,1,100,0.030863,3.74354e-05,2521.86,203.851,475.685,0.120559,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.0563771,4.13347e-05,2521.86,223.192,520.818,0.110111,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,1,100,0.107534,0.000221144,2521.86,234.027,546.101,0.105013,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,1,100,0.0298775,4.29724e-05,4971.24,210.575,315.879,0.233418,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,1,100,0.0553716,4.84045e-05,4971.24,227.245,340.886,0.216295,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.1046,0.000150864,4971.24,240.591,360.907,0.204297,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,1,100,0.205485,0.00019631,4971.24,244.941,367.431,0.200669,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,4,128,0,0,1,1,100,0.0558309,2.64152e-05,9997.29,225.375,244.166,0.436179,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,4,256,0,0,1,1,100,0.107543,0.000280367,9997.29,234.006,253.516,0.420091,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,1,100,0.203875,0.000306276,9997.29,246.875,267.458,0.398193,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,4,1024,0,0,1,1,100,0.42559,0.00082595,9997.29,236.526,256.247,0.415615,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,8,128,0,0,1,1,100,0.106652,0.000160715,19845.7,235.962,206.471,0.83322,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,8,256,0,0,1,1,100,0.211383,0.00227623,19845.7,238.106,208.348,0.825717,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,1,100,0.424197,0.000541489,19845.7,237.303,207.645,0.828511,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,8,1024,0,0,1,1,100,0.951217,0.000585845,19845.7,211.652,185.199,0.928923,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,12,128,0,0,1,1,100,0.164135,0.000128001,29807,229.986,185.27,1.2823,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,12,256,0,0,1,1,100,0.331813,0.000271806,29807,227.53,183.291,1.29614,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,1,100,0.70635,0.000551642,29807,213.768,172.205,1.37959,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,12,1024,0,0,1,1,100,1.49195,0.00254064,29807,202.412,163.057,1.45699,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,1,128,0,0,1,1,100,0.118599,0.000138927,12781.5,141.462,234.301,0.926554,16384,16
