name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,1,100,0.049459,2.94852e-05,2521.86,63.6028,148.417,0.386398,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,1,100,0.0875042,0.000158887,2521.86,71.8989,167.776,0.341813,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.165068,0.0011207,2521.86,76.2288,177.88,0.322398,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,1,100,0.31987,0.000210292,2521.86,78.6752,183.588,0.312373,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,1,100,0.0512138,3.44756e-05,4971.24,122.847,184.28,0.400108,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,1,100,0.0894529,5.13856e-05,4971.24,140.665,211.009,0.349426,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.166822,0.000180023,4971.24,150.854,226.294,0.325824,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,1,100,0.322096,0.0022771,4971.24,156.263,234.407,0.314547,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,4,128,0,0,1,1,100,0.0706129,0.00405907,9997.29,178.196,193.052,0.551664,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,4,256,0,0,1,1,100,0.133301,0.00157638,9997.29,188.789,204.529,0.520709,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,1,100,0.247647,0.00415442,9997.29,203.24,220.185,0.483685,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,4,1024,0,0,1,1,100,0.468256,0.005197,9997.29,214.975,232.898,0.457282,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,8,128,0,0,1,1,100,0.119642,0.00210343,19845.7,210.342,184.054,0.934705,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,8,256,0,0,1,1,100,0.205926,0.000350713,19845.7,244.416,213.869,0.8044,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,1,100,0.410207,0.0127583,19845.7,245.396,214.727,0.801187,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,8,1024,0,0,1,1,100,0.973534,0.0118715,19845.7,206.8,180.954,0.950717,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,12,128,0,0,1,1,100,0.155378,0.00118481,29807,242.948,195.711,1.21389,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,12,256,0,0,1,1,100,0.293047,0.0020863,29807,257.63,207.538,1.14471,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,1,100,0.622725,0.00033455,29807,242.475,195.33,1.21626,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,12,1024,0,0,1,1,100,1.40055,0.00235104,29807,215.622,173.699,1.36772,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,1,128,0,0,1,1,100,0.126585,0.000183921,12781.5,132.537,219.519,0.988943,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,1,256,0,0,1,1,100,0.239861,0.000282445,12781.5,139.891,231.699,0.936956,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,1,100,0.469337,0.000751943,12781.5,142.986,236.826,0.916674,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,1,1024,0,0,1,1,100,0.927071,0.000574508,12781.5,144.776,239.79,0.905343,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,2,128,0,0,1,1,100,0.201283,0.0010722,25399.7,166.703,148.472,1.57252,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,2,256,0,0,1,1,100,0.416563,0.00153023,25399.7,161.101,143.483,1.6272,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,1,100,0.816202,0.00215962,25399.7,164.442,146.459,1.59414,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,2,1024,0,0,1,1,100,1.5303,0.0198122,25399.7,175.414,156.23,1.49443,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,4,128,0,0,1,1,100,0.329206,0.00167056,51228.8,203.851,103.52,2.57192,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,4,256,0,0,1,1,100,0.655462,0.0125909,51228.8,204.768,103.985,2.5604,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,4,512,0,0,1,1,100,1.33355,0.0190501,51228.8,201.294,102.221,2.60459,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,4,1024,0,0,1,1,100,2.6439,0.0116267,51228.8,203.06,103.118,2.58194,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,8,128,0,0,1,1,100,0.630151,0.00610376,101915,212.993,67.3931,4.92305,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,8,256,0,0,1,1,100,1.23214,0.0119268,101915,217.861,68.9333,4.81306,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,8,512,0,0,1,1,100,2.44674,0.00174612,101915,219.423,69.4275,4.7788,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,8,1024,0,0,1,1,82,4.93671,0.00429396,101915,217.502,68.8197,4.821,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,1,1,100,0.894862,0.00110323,153237,224.981,56.8316,6.99111,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,256,0,0,1,1,100,1.79777,0.00311705,153237,223.974,56.5774,7.02252,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,1,100,3.59245,0.00671125,153237,224.167,56.626,7.01649,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,1024,0,0,1,1,56,7.21876,0.024353,153237,223.115,56.3603,7.04957,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,1,128,0,0,1,1,100,0.0878303,0.000835675,4963.07,71.6319,167.147,0.686174,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,1,256,0,0,1,1,100,0.163817,0.000195695,4963.07,76.8106,179.231,0.639911,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,1,512,0,0,1,1,100,0.316893,0.000169664,4963.07,79.4143,185.307,0.618931,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,1,1024,0,0,1,1,100,0.624653,0.000308317,4963.07,80.5754,188.016,0.610013,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,2,128,0,0,1,1,100,0.0889183,4.19426e-05,10110.9,141.511,212.272,0.694674,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,2,256,0,0,1,1,100,0.165797,0.000143839,10110.9,151.787,227.687,0.647645,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,2,512,0,0,1,1,100,0.318962,0.00016466,10110.9,157.798,236.704,0.622973,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,2,1024,0,0,1,1,100,0.62708,0.000316852,10110.9,160.527,240.797,0.612383,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,4,128,0,0,1,1,100,0.129266,0.00149312,19918,194.683,210.91,1.00989,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,4,256,0,0,1,1,100,0.235001,0.000251354,19918,214.176,232.028,0.917974,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,4,512,0,0,1,1,100,0.452819,0.0057888,19918,222.304,240.834,0.884412,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,4,1024,0,0,1,1,100,1.08687,0.0161187,19918,185.236,200.676,1.06139,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,8,128,0,0,1,1,100,0.199792,0.000140571,39482.5,251.92,220.433,1.56088,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,8,256,0,0,1,1,100,0.388131,0.00424316,39482.5,259.354,226.937,1.51614,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,8,512,0,0,1,1,100,0.934075,0.00043,39482.5,215.536,188.596,1.82437,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,8,1024,0,0,1,1,100,1.93363,0.019635,39482.5,208.237,182.209,1.88831,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,12,128,0,0,1,1,100,0.283343,0.00118354,59430.8,266.453,214.644,2.21361,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,12,256,0,0,1,1,100,0.614711,0.00045434,59430.8,245.636,197.875,2.40121,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,12,512,0,0,1,1,100,1.469,0.0142258,59430.8,205.575,165.604,2.86914,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,12,1024,0,0,1,1,100,2.82316,0.0227309,59430.8,213.938,172.34,2.75699,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,1,128,0,0,1,1,100,0.226011,0.00370672,25507,148.464,245.895,1.76571,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,1,256,0,0,1,1,100,0.437155,0.000460178,25507,153.513,254.258,1.70764,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,1,512,0,0,1,1,100,0.865367,0.00155173,25507,155.099,256.885,1.69017,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,1,1024,0,0,1,1,100,1.72369,0.00178864,25507,155.733,257.935,1.68329,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,2,128,0,0,1,1,100,0.38716,0.00138359,51459.4,173.336,154.379,3.02469,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,2,256,0,0,1,1,100,0.757662,0.00375955,51459.4,177.147,157.773,2.95962,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,2,512,0,0,1,1,100,1.40511,0.00122769,51459.4,191.042,170.149,2.74435,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,2,1024,0,0,1,1,100,2.78904,0.00789291,51459.4,192.493,171.44,2.72368,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,4,128,0,0,1,1,100,0.603845,0.012561,102084,222.272,112.873,4.71754,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,4,256,0,0,1,1,100,1.22712,0.0260673,102084,218.753,111.086,4.79342,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,4,512,0,0,1,1,100,2.34754,0.00183879,102084,228.695,116.135,4.58504,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,4,1024,0,0,1,1,84,4.76945,0.0149841,102084,225.129,114.324,4.65767,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,8,128,0,0,1,1,100,1.13295,0.00435288,203608,236.936,74.9684,8.85114,32768,16
