name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,1,100,0.0111761,0.00147166,1134.05,70.3671,656.806,0.0873135,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,1,100,0.0184548,2.42596e-05,1134.05,85.2279,795.516,0.0720891,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.0324536,3.72552e-05,1134.05,96.9301,904.744,0.0633859,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,1,100,0.0592728,0.000151526,1134.05,106.144,990.747,0.0578836,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,1,100,0.0179254,0.000762365,2210.61,87.7448,526.497,0.140043,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,1,100,0.0319176,0.000118165,2210.61,98.5578,591.379,0.124678,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.0588339,0.000138141,2210.61,106.936,641.651,0.11491,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,1,100,0.111881,0.000161154,2210.61,112.467,674.838,0.109259,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,4,128,0,0,1,1,100,0.0318463,0.000146956,4394.88,98.7783,428.056,0.2488,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,4,256,0,0,1,1,100,0.0593822,0.000101111,4394.88,105.949,459.128,0.231962,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,1,100,0.110517,0.000257818,4394.88,113.855,493.389,0.215854,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,4,1024,0,0,1,1,100,0.270516,0.000393057,4394.88,93.0289,403.141,0.264176,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,8,128,0,0,1,1,100,0.0582619,0.000183205,8677.19,107.986,377.959,0.455171,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,8,256,0,0,1,1,100,0.114183,0.000286647,8677.19,110.199,385.706,0.446029,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,1,100,0.246368,0.000514873,8677.19,102.147,357.524,0.481187,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,8,1024,0,0,1,1,100,0.67985,0.00133786,8677.19,74.0334,259.123,0.663916,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,12,128,0,0,1,1,100,0.0894093,0.000165509,13023.9,105.55,340.113,0.69851,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,12,256,0,0,1,1,100,0.182606,0.000354045,13023.9,103.361,333.058,0.713305,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,1,100,0.486902,0.00244918,13023.9,77.5284,249.818,0.950981,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,12,1024,0,0,1,1,100,1.10486,0.00252131,13023.9,68.332,220.185,1.07897,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,1,128,0,0,1,1,100,0.0722782,2.84018e-05,4553.06,58.03,384.456,0.564673,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,1,256,0,0,1,1,100,0.142552,0.0011922,4553.06,58.8461,389.862,0.556843,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,1,100,0.294101,0.000600634,4553.06,57.0458,377.935,0.574416,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,1,1024,0,0,1,1,100,0.578682,0.000562679,4553.06,57.9842,384.152,0.56512,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,2,128,0,0,1,1,100,0.110862,0.000157039,8975.8,75.6674,269.57,0.866106,16384,16
