typ,tag,m,nnzrow,nrhs,batch,transB,beta,pattern,r1,r2,worst,best,spread,relsd1,relsd2,quiet,admitted,tv_us_mean,tn_us_mean,fp_mb,l2res
cdouble,sbB,4096,16,50,1,0,0,1,0.6656484913079637,0.6609148012514248,0.6656484913079637,0.6609148012514248,1.0071623302240709,0.003704026677647781,0.0018768508155514378,True,True,123.774,82.0972,7.880708,True
cdouble,sbB,4096,16,50,2,0,0,1,0.8446031266117701,0.8317979119438391,0.8446031266117701,0.8317979119438391,1.015394622280316,0.0011309605281167416,0.0016478579222874133,True,True,226.4835,189.82850000000002,15.761416,True
cdouble,sbB,4096,16,50,4,0,0,1,0.7464669389526762,0.7381516533376109,0.7464669389526762,0.7381516533376109,1.0112650098085767,0.0033973684861681596,0.004805128440156741,True,True,434.7565,322.71700000000004,31.522832,True
cdouble,sbB,4096,16,50,8,0,0,1,0.7225530864777842,0.7184261785096436,0.7225530864777842,0.7184261785096436,1.0057443730359348,0.0027155777390704718,0.0030257481824709025,True,True,852.3695,614.1205,63.045664,True
cdouble,sbB,4096,16,50,16,0,0,1,0.7050630673110927,0.7071171224381312,0.7071171224381312,0.7050630673110927,1.0029132927567346,0.003891055918275219,0.004523963849584872,True,True,1694.8500000000001,1196.715,126.091328,False
cdouble,sbB,4096,16,50,32,0,0,1,0.6908997715423818,0.6921478263422081,0.6921478263422081,0.6908997715423818,1.001806419471004,0.0018861615943227055,0.0022370628599540274,True,True,3410.45,2358.405,252.182656,False
cdouble,sbB,4096,16,50,64,0,0,1,0.6858449429473885,0.6874072312293267,0.6874072312293267,0.6858449429473885,1.0022779030420845,0.0011783351284813048,0.0032044390053245,True,True,6816.969999999999,4680.705,504.365312,False
cdouble,sbB,4096,16,50,128,0,0,1,0.6836017623212204,0.6856197533765672,0.6856197533765672,0.6836017623212204,1.0029519980295174,0.0005417454863658007,0.002200532814587165,True,True,13628.499999999998,9330.205,1008.730624,False
cfloat,sbB,4096,16,50,1,0,0,1,0.8484248889041697,0.9101605295261297,0.9101605295261297,0.8484248889041697,1.0727650042205836,0.002195496552408856,0.002981657165118435,True,True,56.4229,49.5583,4.07962,True
cfloat,sbB,4096,16,50,2,0,0,1,0.940560763378032,0.9766853113202928,0.9766853113202928,0.940560763378032,1.0384074579217182,0.0018894980155821147,0.0009097917861136969,True,True,95.73355,91.73985,8.15924,True
