cfedge1 -- transA=NoTrans, m=2048, nnz/row=16, batch=512, transB=Trans (pat 0 = banded, 1 = scattered)
type      pat        8       9      12      16      17      20      25      32      50
cfloat    0      0.630   0.713   0.689   1.087   1.315   1.218   1.731   1.159   1.695
cfloat    1      0.670   0.856   0.888   0.963   0.979   0.793   1.000   1.019   0.953
float     0      0.406   0.404   0.404   0.545   0.360   0.368   0.385   0.934   0.571
float     1      0.505   0.473   0.498   0.480   0.484   0.431   0.507   0.668   0.521

cfedge2 -- transA=NoTrans, m=2048, nnz/row=16, batch=512, transB=Trans (pat 0 = banded, 1 = scattered)
type      pat        8       9      12      16      17      20      25      32      50
cfloat    0      0.663   0.737   0.761   1.040   1.274   1.162   1.714   1.157   1.703
cfloat    1      0.671   0.927   0.850   0.909   0.938   0.792   0.993   1.016   0.941
float     0      0.407   0.402   0.404   0.542   0.363   0.370   0.384   0.936   0.581
float     1      0.511   0.469   0.483   0.508   0.515   0.448   0.511   0.697   0.527

sat1 -- lanczos shape m=1024 nnz/row=3, transA=NoTrans: per-item us (vendor / native) and ratio
type      nrhs  pat                   b=1024                  b=2048                  b=4096                  b=8192
cdouble   1     0        0.324/0.114 r=0.351     0.319/0.109 r=0.344     0.321/0.107 r=0.334     0.322/0.106 r=0.331
cdouble   1     1        0.324/0.146 r=0.450     0.318/0.140 r=0.440     0.319/0.138 r=0.431     0.319/0.137 r=0.430
cdouble   2     0        0.347/0.149 r=0.430     0.354/0.145 r=0.410     0.359/0.142 r=0.396     0.358/0.142 r=0.395
cdouble   2     1        0.349/0.167 r=0.480     0.361/0.160 r=0.443     0.365/0.156 r=0.428     0.364/0.155 r=0.424
cfloat    1     0        0.311/0.013 r=0.041     0.307/0.063 r=0.205     0.310/0.062 r=0.200     0.310/0.062 r=0.200
cfloat    1     1        0.311/0.024 r=0.077     0.307/0.063 r=0.206     0.310/0.062 r=0.202     0.310/0.062 r=0.200
cfloat    2     0        0.312/0.023 r=0.075     0.308/0.080 r=0.261     0.314/0.080 r=0.253     0.316/0.079 r=0.250
cfloat    2     1        0.312/0.040 r=0.127     0.307/0.081 r=0.263     0.313/0.080 r=0.256     0.316/0.079 r=0.251
double    1     0        0.313/0.015 r=0.047     0.308/0.063 r=0.205     0.311/0.062 r=0.200     0.310/0.062 r=0.199
double    1     1        0.312/0.030 r=0.095     0.308/0.064 r=0.210     0.310/0.063 r=0.204     0.310/0.063 r=0.203
double    2     0        0.315/0.033 r=0.105     0.309/0.080 r=0.260     0.315/0.080 r=0.253     0.317/0.079 r=0.250
double    2     1        0.314/0.044 r=0.139     0.309/0.083 r=0.268     0.316/0.081 r=0.257     0.316/0.081 r=0.256
float     1     0        0.308/0.010 r=0.032     0.304/0.020 r=0.066     0.306/0.040 r=0.131     0.306/0.040 r=0.130
float     1     1        0.307/0.015 r=0.048     0.303/0.022 r=0.073     0.306/0.040 r=0.132     0.305/0.040 r=0.131
float     2     0        0.308/0.011 r=0.035     0.304/0.050 r=0.163     0.306/0.049 r=0.160     0.309/0.049 r=0.157
float     2     1        0.308/0.021 r=0.067     0.303/0.050 r=0.165     0.307/0.049 r=0.160     0.308/0.049 r=0.158

sat2 -- lanczos shape m=1024 nnz/row=3, transA=NoTrans: per-item us (vendor / native) and ratio
type      nrhs  pat                   b=1024                  b=2048                  b=4096                  b=8192
cdouble   1     0        0.324/0.114 r=0.351     0.319/0.110 r=0.344     0.321/0.107 r=0.335     0.320/0.106 r=0.332
cdouble   1     1        0.324/0.145 r=0.449     0.318/0.140 r=0.441     0.319/0.138 r=0.432     0.319/0.137 r=0.429
cdouble   2     0        0.347/0.149 r=0.430     0.355/0.145 r=0.408     0.359/0.142 r=0.396     0.358/0.142 r=0.395
cdouble   2     1        0.349/0.168 r=0.481     0.360/0.159 r=0.442     0.365/0.157 r=0.431     0.366/0.154 r=0.422
cfloat    1     0        0.311/0.013 r=0.041     0.307/0.063 r=0.205     0.310/0.062 r=0.201     0.310/0.062 r=0.200
cfloat    1     1        0.311/0.024 r=0.077     0.307/0.063 r=0.206     0.310/0.063 r=0.202     0.309/0.062 r=0.201
cfloat    2     0        0.312/0.037 r=0.120     0.308/0.080 r=0.261     0.314/0.080 r=0.254     0.317/0.079 r=0.250
cfloat    2     1        0.311/0.037 r=0.120     0.307/0.081 r=0.263     0.313/0.080 r=0.256     0.316/0.079 r=0.252
double    1     0        0.313/0.015 r=0.047     0.308/0.063 r=0.205     0.310/0.062 r=0.200     0.310/0.062 r=0.199
double    1     1        0.313/0.030 r=0.095     0.308/0.064 r=0.209     0.310/0.063 r=0.204     0.310/0.063 r=0.203
double    2     0        0.315/0.023 r=0.074     0.309/0.080 r=0.260     0.315/0.080 r=0.253     0.317/0.079 r=0.250
double    2     1        0.314/0.043 r=0.137     0.309/0.083 r=0.268     0.314/0.081 r=0.259     0.316/0.081 r=0.256
float     1     0        0.308/0.010 r=0.032     0.303/0.020 r=0.065     0.306/0.040 r=0.131     0.306/0.040 r=0.130
float     1     1        0.307/0.015 r=0.047     0.303/0.018 r=0.060     0.306/0.040 r=0.132     0.305/0.040 r=0.131
float     2     0        0.308/0.011 r=0.035     0.304/0.049 r=0.160     0.306/0.049 r=0.160     0.308/0.049 r=0.158
float     2     1        0.308/0.021 r=0.067     0.303/0.050 r=0.164     0.306/0.049 r=0.161     0.307/0.049 r=0.159

scl1 -- transA=Trans, scattered pattern: per-item us (vendor/native), ratio
type      m      nnz  nrhs                    b=128                   b=256                   b=512                  b=1024
cdouble   1024   3    1         0.406/0.172 r=0.425     0.357/0.145 r=0.406     0.333/0.130 r=0.390     0.323/0.155 r=0.479
cdouble   1024   3    2         0.447/0.280 r=0.627     0.373/0.253 r=0.679     0.345/0.238 r=0.691     0.335/0.301 r=0.899
cdouble   1024   3    4         0.647/0.498 r=0.770     0.571/0.465 r=0.814     0.540/0.550 r=1.020     0.673/0.681 r=1.012
cdouble   1024   3    8         0.991/0.986 r=0.995     0.905/1.041 r=1.150     1.273/1.418 r=1.113     1.306/1.422 r=1.089
cdouble   1024   3    12        1.387/1.469 r=1.059     1.604/1.940 r=1.210     1.960/2.249 r=1.147     1.941/2.179 r=1.123
cdouble   1024   16   1         1.063/0.946 r=0.890     1.035/0.956 r=0.924     1.008/1.061 r=1.053     1.001/1.087 r=1.086
cdouble   1024   16   2         1.539/1.494 r=0.971     1.487/1.526 r=1.026     1.458/1.565 r=1.074     1.466/1.594 r=1.087
cdouble   1024   16   4         2.568/2.662 r=1.037     2.492/2.699 r=1.083     2.530/2.736 r=1.082     2.572/2.763 r=1.074
cdouble   1024   16   8         4.569/5.025 r=1.100     4.425/5.275 r=1.192     4.559/5.333 r=1.170     4.597/5.286 r=1.150
cdouble   1024   16   12        6.461/7.639 r=1.182     6.527/8.205 r=1.257     6.730/8.155 r=1.212     6.693/8.028 r=1.200
cdouble   2048   3    1         0.713/0.277 r=0.389     0.664/0.249 r=0.375     0.640/0.311 r=0.486     0.631/0.367 r=0.582
cdouble   2048   3    2         0.749/0.476 r=0.636     0.689/0.453 r=0.658     0.662/0.601 r=0.907     0.794/0.709 r=0.893
cdouble   2048   3    4         1.137/0.891 r=0.784     1.069/1.084 r=1.014     1.332/1.385 r=1.040     1.374/1.379 r=1.004
cdouble   2048   3    8         1.780/2.028 r=1.140     2.584/2.929 r=1.133     2.695/2.926 r=1.086     2.748/2.885 r=1.050
cdouble   2048   3    12        3.188/3.904 r=1.225     3.982/4.499 r=1.130     4.043/4.417 r=1.092     4.009/4.382 r=1.093
cdouble   2048   16   1         2.047/1.819 r=0.889     1.990/2.107 r=1.058     1.975/2.169 r=1.098     1.960/2.215 r=1.130
cdouble   2048   16   2         2.767/2.907 r=1.051     2.706/3.111 r=1.150     2.691/3.250 r=1.208     2.799/3.258 r=1.164
cdouble   2048   16   4         4.885/5.328 r=1.091     4.806/5.600 r=1.165     4.986/5.677 r=1.138     5.003/5.641 r=1.128
cdouble   2048   16   8        8.294/10.605 r=1.279    9.012/10.925 r=1.212    9.124/10.866 r=1.191    9.100/10.782 r=1.185
cdouble   2048   16   12      12.723/16.288 r=1.280   13.433/16.205 r=1.206   13.422/16.187 r=1.206   13.410/16.023 r=1.195
cfloat    1024   3    1         0.386/0.133 r=0.345     0.341/0.120 r=0.352     0.322/0.110 r=0.343     0.312/0.105 r=0.337
cfloat    1024   3    2         0.399/0.231 r=0.580     0.350/0.217 r=0.619     0.326/0.205 r=0.628     0.314/0.201 r=0.639
cfloat    1024   3    4         0.529/0.444 r=0.839     0.479/0.421 r=0.880     0.453/0.400 r=0.882     0.443/0.417 r=0.941
cfloat    1024   3    8         0.859/0.841 r=0.979     0.804/0.823 r=1.024     0.779/0.825 r=1.058     0.902/0.927 r=1.027
cfloat    1024   3    12        1.213/1.286 r=1.060     1.143/1.296 r=1.133     1.215/1.378 r=1.134     1.367/1.461 r=1.069
cfloat    1024   16   1         0.989/0.913 r=0.923     0.937/0.835 r=0.891     0.915/0.823 r=0.900     0.903/0.810 r=0.897
cfloat    1024   16   2         1.564/1.462 r=0.934     1.519/1.373 r=0.904     1.490/1.382 r=0.928     1.485/1.350 r=0.909
cfloat    1024   16   4         2.558/2.513 r=0.983     2.513/2.504 r=0.997     2.498/2.540 r=1.017     2.480/2.485 r=1.002
cfloat    1024   16   8         4.832/5.026 r=1.040     4.793/5.035 r=1.051     4.769/5.027 r=1.054     4.802/5.074 r=1.057
cfloat    1024   16   12        6.961/7.613 r=1.094     6.905/8.053 r=1.166     6.885/7.887 r=1.146     6.923/7.608 r=1.099
cfloat    2048   3    1         0.682/0.232 r=0.340     0.640/0.211 r=0.329     0.619/0.202 r=0.326     0.610/0.226 r=0.370
cfloat    2048   3    2         0.695/0.423 r=0.608     0.648/0.396 r=0.611     0.623/0.384 r=0.616     0.612/0.437 r=0.714
cfloat    2048   3    4         0.933/0.793 r=0.850     0.881/0.760 r=0.862     0.859/0.818 r=0.953     1.004/0.910 r=0.906
cfloat    2048   3    8         1.561/1.580 r=1.012     1.511/1.607 r=1.064     1.820/1.867 r=1.026     1.884/1.879 r=0.998
cfloat    2048   3    12        2.214/2.402 r=1.085     2.399/2.637 r=1.099     2.766/2.889 r=1.044     2.750/2.861 r=1.040
cfloat    2048   16   1         1.756/1.697 r=0.967     1.706/1.731 r=1.015     1.686/1.680 r=0.997     1.680/1.672 r=0.995
cfloat    2048   16   2         2.802/2.810 r=1.003     2.752/2.794 r=1.016     2.737/2.757 r=1.007     2.722/2.721 r=1.000
cfloat    2048   16   4         4.644/5.059 r=1.089     4.618/5.019 r=1.087     4.583/5.002 r=1.092     4.655/4.993 r=1.073
cfloat    2048   16   8         8.633/9.918 r=1.149     8.564/9.610 r=1.122     8.694/9.673 r=1.113     8.723/9.559 r=1.096
cfloat    2048   16   12      12.578/14.765 r=1.174   12.617/14.736 r=1.168   12.758/14.433 r=1.131   12.745/14.205 r=1.115
double    1024   3    1         0.389/0.087 r=0.224     0.343/0.071 r=0.208     0.323/0.063 r=0.196     0.313/0.058 r=0.184
double    1024   3    2         0.397/0.141 r=0.355     0.349/0.125 r=0.359     0.326/0.114 r=0.351     0.315/0.108 r=0.345
double    1024   3    4         0.425/0.243 r=0.573     0.367/0.231 r=0.629     0.338/0.216 r=0.638     0.324/0.269 r=0.829
double    1024   3    8         0.627/0.456 r=0.727     0.509/0.446 r=0.877     0.478/0.479 r=1.002     0.714/0.662 r=0.927
double    1024   3    12        0.839/0.728 r=0.867     0.693/0.715 r=1.031     0.817/0.969 r=1.187     1.017/1.089 r=1.071
double    1024   16   1         0.672/0.565 r=0.840     0.631/0.545 r=0.864     0.618/0.568 r=0.919     0.609/0.564 r=0.926
double    1024   16   2         0.962/0.870 r=0.904     0.902/0.845 r=0.937     0.881/0.850 r=0.965     0.871/0.846 r=0.971
double    1024   16   4         1.473/1.450 r=0.984     1.396/1.405 r=1.007     1.473/1.438 r=0.976     1.464/1.402 r=0.957
double    1024   16   8         2.716/2.805 r=1.033     2.677/2.777 r=1.037     2.685/2.805 r=1.045     2.620/2.821 r=1.077
double    1024   16   12        3.704/4.326 r=1.168     3.617/4.530 r=1.252     3.622/4.321 r=1.193     3.667/4.261 r=1.162
double    2048   3    1         0.685/0.139 r=0.203     0.642/0.122 r=0.190     0.621/0.112 r=0.180     0.611/0.157 r=0.257
double    2048   3    2         0.697/0.241 r=0.346     0.649/0.221 r=0.341     0.624/0.212 r=0.340     0.613/0.295 r=0.482
double    2048   3    4         0.733/0.442 r=0.604     0.673/0.414 r=0.614     0.642/0.530 r=0.825     0.753/0.651 r=0.864
double    2048   3    8         1.006/0.850 r=0.845     0.936/0.959 r=1.024     1.353/1.361 r=1.006     1.382/1.368 r=0.990
double    2048   3    12        1.355/1.286 r=0.949     1.641/1.845 r=1.124     2.078/2.138 r=1.029     2.059/2.121 r=1.030
double    2048   16   1         1.249/1.102 r=0.883     1.224/1.193 r=0.974     1.206/1.154 r=0.957     1.199/1.144 r=0.954
double    2048   16   2         1.728/1.705 r=0.987     1.705/1.735 r=1.018     1.661/1.693 r=1.019     1.654/1.692 r=1.023
double    2048   16   4         2.691/2.859 r=1.063     2.619/2.874 r=1.097     2.600/2.864 r=1.101     2.691/2.848 r=1.059
double    2048   16   8         4.699/5.511 r=1.173     4.633/5.452 r=1.177     4.813/5.472 r=1.137     4.847/5.418 r=1.118
double    2048   16   12        6.687/8.358 r=1.250     6.768/8.455 r=1.249     6.974/8.267 r=1.185     6.954/8.119 r=1.168
float     1024   3    1         0.902/0.082 r=0.091     0.337/0.068 r=0.203     0.318/0.057 r=0.180     0.308/0.053 r=0.171
float     1024   3    2         0.383/0.125 r=0.328     0.338/0.114 r=0.337     0.318/0.102 r=0.321     0.309/0.098 r=0.318
float     1024   3    4         0.395/0.219 r=0.553     0.348/0.203 r=0.583     0.325/0.191 r=0.587     0.313/0.187 r=0.597
float     1024   3    8         0.532/0.409 r=0.770     0.480/0.399 r=0.831     0.456/0.383 r=0.841     0.445/0.398 r=0.893
float     1024   3    12        0.703/0.660 r=0.938     0.655/0.626 r=0.956     0.663/0.611 r=0.921     0.649/0.669 r=1.032
