CAND=complex-split RESULT dtype=cfloat m=512 n=512 k=512 batch=128 beta=1 tile=128x128x8/8x8:planar ms=2.7684 tflops=49.65 maxrelerr=3.863e-07 || maxrelerr 3.863e-07 maxrelerr 3.863e-07 maxrelerr 3.300e-07 
CAND=complex-split RESULT dtype=cfloat m=512 n=512 k=512 batch=128 beta=1 tile=128x128x8/8x8:interleaved ms=2.9876 tflops=46.00 maxrelerr=3.863e-07 || maxrelerr 3.863e-07 maxrelerr 3.863e-07 maxrelerr 3.300e-07 maxrelerr 3.863e-07 maxrelerr 3.863e-07 maxrelerr 3.300e-07 
CAND=complex-split RESULT dtype=cfloat m=512 n=512 k=512 batch=128 beta=1 tile=128x128x8/8x4:planar ms=2.8021 tflops=49.05 maxrelerr=3.863e-07 || maxrelerr 3.863e-07 maxrelerr 3.863e-07 maxrelerr 3.300e-07 maxrelerr 3.863e-07 maxrelerr 3.863e-07 maxrelerr 3.300e-07 
CAND=complex-split RESULT dtype=cfloat m=512 n=512 k=512 batch=128 beta=1 tile=128x128x8/8x4:interleaved ms=2.8046 tflops=49.00 maxrelerr=3.863e-07 || maxrelerr 3.863e-07 maxrelerr 3.863e-07 maxrelerr 3.300e-07 maxrelerr 3.863e-07 maxrelerr 3.863e-07 maxrelerr 3.300e-07 
CAND=complex-split RESULT dtype=cfloat m=512 n=512 k=512 batch=128 beta=1 tile=64x64x8/4x4:planar ms=3.0980 tflops=44.36 maxrelerr=2.766e-07 || maxrelerr 3.863e-07 maxrelerr 3.863e-07 maxrelerr 3.300e-07 maxrelerr 2.577e-07 maxrelerr 2.577e-07 maxrelerr 2.766e-07 
CAND=complex-split RESULT dtype=cfloat m=512 n=512 k=512 batch=128 beta=1 tile=64x64x8/4x4:interleaved ms=2.8271 tflops=48.61 maxrelerr=2.766e-07 || maxrelerr 2.577e-07 maxrelerr 2.577e-07 maxrelerr 2.766e-07 maxrelerr 2.577e-07 maxrelerr 2.577e-07 maxrelerr 2.766e-07 
CAND=complex-split RESULT dtype=cfloat m=512 n=512 k=512 batch=128 beta=1 tile=64x64x16/4x4:planar ms=2.9914 tflops=45.94 maxrelerr=3.543e-07 || maxrelerr 2.577e-07 maxrelerr 2.577e-07 maxrelerr 2.766e-07 maxrelerr 3.543e-07 maxrelerr 3.543e-07 maxrelerr 2.799e-07 
CAND=complex-split RESULT dtype=cfloat m=512 n=512 k=512 batch=128 beta=1 tile=64x64x16/4x4:interleaved ms=2.9437 tflops=46.69 maxrelerr=3.543e-07 || maxrelerr 3.543e-07 maxrelerr 3.543e-07 maxrelerr 2.799e-07 maxrelerr 3.543e-07 maxrelerr 3.543e-07 maxrelerr 2.799e-07 
CAND=complex-split RESULT dtype=cdouble m=512 n=512 k=512 batch=128 beta=1 tile=128x128x8/8x8:planar ms=100.6690 tflops=1.37 maxrelerr=7.714e-16 || maxrelerr 3.543e-07 maxrelerr 3.543e-07 maxrelerr 2.799e-07 maxrelerr 7.714e-16 maxrelerr 7.714e-16 maxrelerr 6.480e-16 
CAND=complex-split RESULT dtype=cdouble m=512 n=512 k=512 batch=128 beta=1 tile=128x128x8/8x8:interleaved ms=100.0432 tflops=1.37 maxrelerr=7.714e-16 || maxrelerr 7.714e-16 maxrelerr 7.714e-16 maxrelerr 6.480e-16 maxrelerr 7.714e-16 maxrelerr 7.714e-16 maxrelerr 6.480e-16 
CAND=complex-split RESULT dtype=cdouble tile=128x128x8/8x4:planar m=512 n=512 k=512 batch=128 beta=1 ms=FAILED tflops=FAILED || maxrelerr 6.480e-16 
CAND=complex-split RESULT dtype=cdouble tile=128x128x8/8x4:interleaved m=512 n=512 k=512 batch=128 beta=1 ms=FAILED tflops=FAILED || 
CAND=complex-split RESULT dtype=cdouble m=512 n=512 k=512 batch=128 beta=1 tile=64x64x8/4x4:planar ms=100.1062 tflops=1.37 maxrelerr=6.691e-16 || maxrelerr 6.691e-16 maxrelerr 6.691e-16 maxrelerr 5.603e-16 
CAND=complex-split RESULT dtype=cdouble m=512 n=512 k=512 batch=128 beta=1 tile=64x64x8/4x4:interleaved ms=97.0841 tflops=1.42 maxrelerr=6.691e-16 || maxrelerr 6.691e-16 maxrelerr 6.691e-16 maxrelerr 5.603e-16 maxrelerr 6.691e-16 maxrelerr 6.691e-16 maxrelerr 5.603e-16 
CAND=complex-split RESULT dtype=cdouble m=512 n=512 k=512 batch=128 beta=1 tile=64x64x16/4x4:planar ms=99.8861 tflops=1.38 maxrelerr=8.468e-16 || maxrelerr 6.691e-16 maxrelerr 6.691e-16 maxrelerr 5.603e-16 maxrelerr 8.468e-16 maxrelerr 8.468e-16 maxrelerr 6.926e-16 
