n,batch,beta,arm,rep,gflops
32,512,0,vendor,1,819.28
32,512,0,vendor,2,854.52
32,512,0,vendor,3,856.24
32,512,0,sycl,1,906.46
32,512,0,sycl,2,905.34
32,512,0,sycl,3,905.06
32,512,1,vendor,1,843.90
32,512,1,vendor,2,842.02
32,512,1,vendor,3,842.62
32,512,1,sycl,1,905.45
32,512,1,sycl,2,903.48
32,512,1,sycl,3,902.51
48,512,0,vendor,1,646.78
48,512,0,vendor,2,645.48
48,512,0,vendor,3,646.53
48,512,0,sycl,1,1204.0
48,512,0,sycl,2,1204.3
48,512,0,sycl,3,1205.0
48,512,1,vendor,1,632.11
48,512,1,vendor,2,632.86
48,512,1,vendor,3,633.10
48,512,1,sycl,1,1204.7
48,512,1,sycl,2,1203.7
48,512,1,sycl,3,1203.3
64,512,0,vendor,1,1167.7
64,512,0,vendor,2,1166.9
64,512,0,vendor,3,1167.8
64,512,0,sycl,1,1215.9
64,512,0,sycl,2,1214.4
64,512,0,sycl,3,1214.3
64,512,1,vendor,1,1150.5
64,512,1,vendor,2,1150.5
64,512,1,vendor,3,1151.5
64,512,1,sycl,1,1214.4
64,512,1,sycl,2,1213.5
64,512,1,sycl,3,1213.4
96,512,0,vendor,1,912.99
96,512,0,vendor,2,912.71
96,512,0,vendor,3,912.85
96,512,0,sycl,1,1328.9
96,512,0,sycl,2,1328.7
96,512,0,sycl,3,1328.7
96,512,1,vendor,1,903.11
96,512,1,vendor,2,902.77
96,512,1,vendor,3,903.64
96,512,1,sycl,1,1330.4
96,512,1,sycl,2,1330.3
96,512,1,sycl,3,1328.7
136,512,0,vendor,1,702.84
136,512,0,vendor,2,702.70
136,512,0,vendor,3,702.77
136,512,0,sycl,1,1214.7
136,512,0,sycl,2,1214.0
136,512,0,sycl,3,1214.1
136,512,1,vendor,1,697.51
136,512,1,vendor,2,698.19
136,512,1,vendor,3,697.85
136,512,1,sycl,1,1215.4
136,512,1,sycl,2,1214.6
136,512,1,sycl,3,1214.3
200,512,0,vendor,1,832.68
200,512,0,vendor,2,832.55
200,512,0,vendor,3,832.41
200,512,0,sycl,1,1271.4
200,512,0,sycl,2,1269.7
200,512,0,sycl,3,1270.0
200,512,1,vendor,1,829.04
200,512,1,vendor,2,828.92
200,512,1,vendor,3,828.62
200,512,1,sycl,1,1271.1
200,512,1,sycl,2,1270.4
200,512,1,sycl,3,1270.2
256,512,0,vendor,1,1242.4
256,512,0,vendor,2,1242.7
256,512,0,vendor,3,1243.0
256,512,0,sycl,1,1400.7
256,512,0,sycl,2,1400.5
256,512,0,sycl,3,1399.9
256,512,1,vendor,1,1236.2
256,512,1,vendor,2,1238.9
256,512,1,vendor,3,1238.9
256,512,1,sycl,1,1398.9
256,512,1,sycl,2,1399.0
256,512,1,sycl,3,1398.9
320,512,0,vendor,1,1244.0
320,512,0,vendor,2,1244.4
320,512,0,vendor,3,1244.3
320,512,0,sycl,1,1404.4
320,512,0,sycl,2,1404.7
320,512,0,sycl,3,1404.9
320,512,1,vendor,1,1241.3
320,512,1,vendor,2,1241.4
320,512,1,vendor,3,1241.3
320,512,1,sycl,1,1403.5
320,512,1,sycl,2,1403.6
320,512,1,sycl,3,1403.5
512,512,0,vendor,1,1246.1
512,512,0,vendor,2,1246.2
512,512,0,vendor,3,1246.2
512,512,0,sycl,1,1411.4
512,512,0,sycl,2,1411.4
512,512,0,sycl,3,1411.5
512,512,1,vendor,1,1243.9
512,512,1,vendor,2,1244.2
512,512,1,vendor,3,1244.2
512,512,1,sycl,1,1410.8
512,512,1,sycl,2,1410.4
512,512,1,sycl,3,1410.7
