n,batch,arm,kernel,gflops
24,512,vendor,cublas,347.22
24,512,sycl,direct,708.53
24,512,sycl,tiled16,517.67
24,4096,vendor,cublas,440.60
24,4096,sycl,direct,1126.0
24,4096,sycl,tiled16,687.18
24,16384,vendor,cublas,439.19
24,16384,sycl,direct,691.17
24,16384,sycl,tiled16,702.98
32,512,vendor,cublas,841.66
32,512,sycl,direct,904.36
32,512,sycl,tiled16,972.90
32,4096,vendor,cublas,982.55
32,4096,sycl,direct,935.40
32,4096,sycl,tiled16,1212.9
32,16384,vendor,cublas,1025.9
32,16384,sycl,direct,892.01
32,16384,sycl,tiled16,1248.0
40,512,vendor,cublas,366.25
40,512,sycl,direct,1093.2
40,512,sycl,tiled16,824.27
40,4096,vendor,cublas,383.01
40,4096,sycl,direct,863.22
40,4096,sycl,tiled16,895.19
40,16384,vendor,cublas,385.14
40,16384,sycl,direct,892.20
40,16384,sycl,tiled16,910.02
48,512,vendor,cublas,631.70
48,512,sycl,direct,1104.4
48,512,sycl,tiled16,1200.3
48,4096,vendor,cublas,660.26
48,4096,sycl,direct,925.83
48,4096,sycl,tiled16,1288.5
48,16384,vendor,cublas,664.95
48,16384,sycl,direct,954.53
48,16384,sycl,tiled16,1305.4
