n,batch,beta,arm,rep,gflops
4,4096,0,vendor,1,16.011
4,4096,0,vendor,2,16.614
4,4096,0,vendor,3,16.753
4,4096,0,sycl,1,60.620
4,4096,0,sycl,2,58.781
4,4096,0,sycl,3,58.965
4,4096,1,vendor,1,15.898
4,4096,1,vendor,2,16.480
4,4096,1,vendor,3,16.451
4,4096,1,sycl,1,61.124
4,4096,1,sycl,2,58.430
4,4096,1,sycl,3,58.339
8,4096,0,vendor,1,85.040
8,4096,0,vendor,2,86.817
8,4096,0,vendor,3,86.282
8,4096,0,sycl,1,388.96
8,4096,0,sycl,2,385.93
8,4096,0,sycl,3,387.12
8,4096,1,vendor,1,84.722
8,4096,1,vendor,2,86.089
8,4096,1,vendor,3,86.056
8,4096,1,sycl,1,388.45
8,4096,1,sycl,2,388.14
8,4096,1,sycl,3,384.51
16,4096,0,vendor,1,233.28
16,4096,0,vendor,2,233.58
16,4096,0,vendor,3,233.63
16,4096,0,sycl,1,887.68
16,4096,0,sycl,2,887.72
16,4096,0,sycl,3,888.35
16,4096,1,vendor,1,226.66
16,4096,1,vendor,2,226.59
16,4096,1,vendor,3,226.34
16,4096,1,sycl,1,887.78
16,4096,1,sycl,2,887.57
16,4096,1,sycl,3,887.89
24,4096,0,vendor,1,448.28
24,4096,0,vendor,2,448.36
24,4096,0,vendor,3,447.72
24,4096,0,sycl,1,1130.1
24,4096,0,sycl,2,1127.3
24,4096,0,sycl,3,1134.9
24,4096,1,vendor,1,437.41
24,4096,1,vendor,2,434.46
24,4096,1,vendor,3,439.30
24,4096,1,sycl,1,1130.7
24,4096,1,sycl,2,1137.5
24,4096,1,sycl,3,1121.2
32,4096,0,vendor,1,1018.7
32,4096,0,vendor,2,1014.6
32,4096,0,vendor,3,1018.5
32,4096,0,sycl,1,940.03
32,4096,0,sycl,2,926.36
32,4096,0,sycl,3,939.38
32,4096,1,vendor,1,984.17
32,4096,1,vendor,2,981.91
32,4096,1,vendor,3,982.64
32,4096,1,sycl,1,939.62
32,4096,1,sycl,2,925.21
32,4096,1,sycl,3,940.00
