n,batch,beta,arm,rep,gflops
128,128,0,vendor,1,23763.
128,128,0,vendor,2,24167.
128,128,0,vendor,3,23937.
128,128,0,sycl,1,23140.
128,128,0,sycl,2,23206.
128,128,0,sycl,3,23200.
128,128,1,vendor,1,23319.
128,128,1,vendor,2,23176.
128,128,1,vendor,3,23161.
128,128,1,sycl,1,22171.
128,128,1,sycl,2,22207.
128,128,1,sycl,3,22202.
128,512,0,vendor,1,18822.
128,512,0,vendor,2,18922.
128,512,0,vendor,3,18835.
128,512,0,sycl,1,18483.
128,512,0,sycl,2,18356.
128,512,0,sycl,3,18468.
128,512,1,vendor,1,15123.
128,512,1,vendor,2,15182.
128,512,1,vendor,3,15103.
128,512,1,sycl,1,14761.
128,512,1,sycl,2,14671.
128,512,1,sycl,3,14757.
128,1024,0,vendor,1,17678.
128,1024,0,vendor,2,17800.
128,1024,0,vendor,3,17810.
128,1024,0,sycl,1,16783.
128,1024,0,sycl,2,16776.
128,1024,0,sycl,3,16783.
128,1024,1,vendor,1,13648.
128,1024,1,vendor,2,13625.
128,1024,1,vendor,3,13614.
128,1024,1,sycl,1,13266.
128,1024,1,sycl,2,13257.
128,1024,1,sycl,3,13259.
192,128,0,vendor,1,23929.
192,128,0,vendor,2,22670.
192,128,0,vendor,3,24429.
192,128,0,sycl,1,10076.
192,128,0,sycl,2,10026.
192,128,0,sycl,3,10039.
192,128,1,vendor,1,24246.
192,128,1,vendor,2,24483.
192,128,1,vendor,3,24440.
192,128,1,sycl,1,9962.2
192,128,1,sycl,2,9899.4
192,128,1,sycl,3,10038.
192,512,0,vendor,1,24639.
192,512,0,vendor,2,24599.
192,512,0,vendor,3,24597.
192,512,0,sycl,1,9786.1
192,512,0,sycl,2,9766.0
192,512,0,sycl,3,9766.1
192,512,1,vendor,1,20105.
192,512,1,vendor,2,20197.
192,512,1,vendor,3,20168.
192,512,1,sycl,1,9760.2
192,512,1,sycl,2,9789.8
192,512,1,sycl,3,9783.8
192,1024,0,vendor,1,25777.
192,1024,0,vendor,2,25811.
192,1024,0,vendor,3,25749.
192,1024,0,sycl,1,10116.
192,1024,0,sycl,2,10112.
192,1024,0,sycl,3,10118.
192,1024,1,vendor,1,21120.
192,1024,1,vendor,2,21075.
192,1024,1,vendor,3,21086.
192,1024,1,sycl,1,10117.
192,1024,1,sycl,2,10118.
192,1024,1,sycl,3,10113.
256,128,0,vendor,1,35780.
256,128,0,vendor,2,35814.
256,128,0,vendor,3,35812.
256,128,0,sycl,1,29964.
256,128,0,sycl,2,29615.
256,128,0,sycl,3,30024.
256,128,1,vendor,1,29074.
256,128,1,vendor,2,29043.
256,128,1,vendor,3,29059.
256,128,1,sycl,1,25895.
256,128,1,sycl,2,25688.
256,128,1,sycl,3,25913.
256,512,0,vendor,1,37085.
256,512,0,vendor,2,37146.
256,512,0,vendor,3,37143.
256,512,0,sycl,1,29954.
256,512,0,sycl,2,30011.
256,512,0,sycl,3,29954.
256,512,1,vendor,1,28491.
256,512,1,vendor,2,28477.
256,512,1,vendor,3,28493.
256,512,1,sycl,1,24661.
256,512,1,sycl,2,24647.
256,512,1,sycl,3,24670.
256,1024,0,vendor,1,38222.
256,1024,0,vendor,2,38216.
256,1024,0,vendor,3,38209.
256,1024,0,sycl,1,31157.
256,1024,0,sycl,2,31152.
256,1024,0,sycl,3,31174.
256,1024,1,vendor,1,29174.
256,1024,1,vendor,2,29155.
256,1024,1,vendor,3,29151.
256,1024,1,sycl,1,25600.
256,1024,1,sycl,2,25627.
256,1024,1,sycl,3,25607.
384,128,0,vendor,1,43526.
384,128,0,vendor,2,43418.
384,128,0,vendor,3,42938.
384,128,0,sycl,1,34260.
384,128,0,sycl,2,34610.
384,128,0,sycl,3,34214.
384,128,1,vendor,1,38316.
384,128,1,vendor,2,38372.
384,128,1,vendor,3,38268.
384,128,1,sycl,1,29639.
384,128,1,sycl,2,29526.
384,128,1,sycl,3,29643.
384,512,0,vendor,1,45107.
384,512,0,vendor,2,46302.
384,512,0,vendor,3,45962.
384,512,0,sycl,1,38528.
384,512,0,sycl,2,38671.
384,512,0,sycl,3,38527.
384,512,1,vendor,1,41824.
384,512,1,vendor,2,41684.
384,512,1,vendor,3,41386.
384,512,1,sycl,1,33770.
384,512,1,sycl,2,33889.
384,512,1,sycl,3,33823.
384,1024,0,vendor,1,47008.
384,1024,0,vendor,2,47638.
384,1024,0,vendor,3,47496.
384,1024,0,sycl,1,39030.
384,1024,0,sycl,2,39033.
384,1024,0,sycl,3,39062.
384,1024,1,vendor,1,42929.
384,1024,1,vendor,2,42723.
384,1024,1,vendor,3,42470.
384,1024,1,sycl,1,34713.
384,1024,1,sycl,2,34744.
384,1024,1,sycl,3,34728.
512,128,0,vendor,1,46541.
512,128,0,vendor,2,46430.
512,128,0,vendor,3,46230.
512,128,0,sycl,1,41996.
512,128,0,sycl,2,42069.
512,128,0,sycl,3,41943.
512,128,1,vendor,1,42255.
512,128,1,vendor,2,42208.
512,128,1,vendor,3,42103.
512,128,1,sycl,1,38352.
512,128,1,sycl,2,38357.
512,128,1,sycl,3,38310.
512,512,0,vendor,1,47154.
512,512,0,vendor,2,47346.
512,512,0,vendor,3,48164.
512,512,0,sycl,1,43796.
512,512,0,sycl,2,43368.
512,512,0,sycl,3,43518.
512,512,1,vendor,1,45292.
512,512,1,vendor,2,45325.
512,512,1,vendor,3,45508.
512,512,1,sycl,1,40412.
512,512,1,sycl,2,40416.
512,512,1,sycl,3,40509.
512,1024,0,vendor,1,48432.
512,1024,0,vendor,2,48860.
512,1024,0,vendor,3,48458.
512,1024,0,sycl,1,43774.
512,1024,0,sycl,2,44304.
512,1024,0,sycl,3,44391.
512,1024,1,vendor,1,45970.
512,1024,1,vendor,2,45408.
512,1024,1,vendor,3,45808.
512,1024,1,sycl,1,40901.
512,1024,1,sycl,2,40785.
512,1024,1,sycl,3,41007.
