n,batch,beta,kernel,gflops
160,512,0,cublas,17297.
160,512,0,auto,7892.3
160,512,0,128x32x32_s2_u1_generic,7865.9
160,512,0,128x128x8,13170.
160,512,0,tiled16,3549.2
160,512,0,32x32,8200.6
160,512,0,64x64x16,10524.
160,512,0,128x32x16,10639.
160,512,0,128x32x32_s2_u2,8154.1
160,512,1,cublas,15380.
160,512,1,auto,7885.1
160,512,1,128x32x32_s2_u1_generic,7880.2
160,512,1,128x128x8,11977.
160,512,1,tiled16,3550.9
160,512,1,32x32,8198.1
160,512,1,64x64x16,10533.
160,512,1,128x32x16,10615.
160,512,1,128x32x32_s2_u2,8157.1
192,512,0,cublas,24707.
192,512,0,auto,9781.2
192,512,0,128x32x32_s2_u1_generic,9775.0
192,512,0,128x128x8,18000.
192,512,0,tiled16,3695.7
192,512,0,32x32,8675.6
192,512,0,64x64x16,13148.
192,512,0,128x32x16,12880.
192,512,0,128x32x32_s2_u2,10148.
192,512,1,cublas,19918.
192,512,1,auto,9786.6
192,512,1,128x32x32_s2_u1_generic,9756.7
192,512,1,128x128x8,16495.
192,512,1,tiled16,3687.5
192,512,1,32x32,8671.0
192,512,1,64x64x16,13167.
192,512,1,128x32x16,12843.
192,512,1,128x32x32_s2_u2,10133.
224,512,0,cublas,31251.
224,512,0,auto,11611.
224,512,0,128x32x32_s2_u1_generic,11605.
224,512,0,128x128x8,22467.
224,512,0,tiled16,3702.7
224,512,0,32x32,8967.8
224,512,0,64x64x16,13121.
224,512,0,128x32x16,14960.
224,512,0,128x32x32_s2_u2,12037.
224,512,1,cublas,24157.
224,512,1,auto,11609.
224,512,1,128x32x32_s2_u1_generic,11593.
224,512,1,128x128x8,19922.
224,512,1,tiled16,3698.0
224,512,1,32x32,8951.7
224,512,1,64x64x16,13115.
224,512,1,128x32x16,14955.
224,512,1,128x32x32_s2_u2,12050.
320,512,0,cublas,32951.
320,512,0,auto,12188.
320,512,0,128x32x32_s2_u1_generic,12188.
320,512,0,128x128x8,25288.
320,512,0,tiled16,3827.5
320,512,0,32x32,9345.6
320,512,0,64x64x16,16968.
320,512,0,128x32x16,15139.
320,512,0,128x32x32_s2_u2,12799.
320,512,1,cublas,31222.
320,512,1,auto,12196.
320,512,1,128x32x32_s2_u1_generic,12047.
320,512,1,128x128x8,23755.
320,512,1,tiled16,3826.2
320,512,1,32x32,9347.4
320,512,1,64x64x16,16989.
320,512,1,128x32x16,15230.
320,512,1,128x32x32_s2_u2,12814.
