n,batch,beta,tA,tB,arm,rep,gflops
64,256,0,1,0,vendor,1,6158.9
64,256,0,1,0,vendor,2,6432.4
64,256,0,1,0,vendor,3,6300.8
64,256,0,1,0,sycl,1,3184.0
64,256,0,1,0,sycl,2,3170.5
64,256,0,1,0,sycl,3,3139.0
64,256,1,1,0,vendor,1,6058.1
64,256,1,1,0,vendor,2,6312.8
64,256,1,1,0,vendor,3,6052.0
64,256,1,1,0,sycl,1,3151.7
64,256,1,1,0,sycl,2,3138.5
64,256,1,1,0,sycl,3,3132.9
64,256,0,0,1,vendor,1,6448.6
64,256,0,0,1,vendor,2,6474.6
64,256,0,0,1,vendor,3,6563.1
64,256,0,0,1,sycl,1,3194.2
64,256,0,0,1,sycl,2,3054.2
64,256,0,0,1,sycl,3,3176.0
64,256,1,0,1,vendor,1,6451.4
64,256,1,0,1,vendor,2,6439.1
64,256,1,0,1,vendor,3,6435.1
64,256,1,0,1,sycl,1,3199.1
64,256,1,0,1,sycl,2,3194.5
64,256,1,0,1,sycl,3,3148.0
64,256,0,1,1,vendor,1,6413.2
64,256,0,1,1,vendor,2,6495.9
64,256,0,1,1,vendor,3,6441.9
64,256,0,1,1,sycl,1,3493.6
64,256,0,1,1,sycl,2,3448.9
64,256,0,1,1,sycl,3,3469.3
64,256,1,1,1,vendor,1,6272.8
64,256,1,1,1,vendor,2,6288.3
64,256,1,1,1,vendor,3,6245.7
64,256,1,1,1,sycl,1,3469.0
64,256,1,1,1,sycl,2,3466.6
64,256,1,1,1,sycl,3,3505.1
96,256,0,1,0,vendor,1,14379.
96,256,0,1,0,vendor,2,13919.
96,256,0,1,0,vendor,3,12414.
96,256,0,1,0,sycl,1,3888.3
96,256,0,1,0,sycl,2,3885.3
96,256,0,1,0,sycl,3,3891.2
96,256,1,1,0,vendor,1,13477.
96,256,1,1,0,vendor,2,15005.
96,256,1,1,0,vendor,3,13613.
96,256,1,1,0,sycl,1,3888.6
96,256,1,1,0,sycl,2,3879.5
96,256,1,1,0,sycl,3,3861.1
96,256,0,0,1,vendor,1,16775.
96,256,0,0,1,vendor,2,16827.
96,256,0,0,1,vendor,3,17106.
96,256,0,0,1,sycl,1,3860.3
96,256,0,0,1,sycl,2,3847.4
96,256,0,0,1,sycl,3,3838.2
96,256,1,0,1,vendor,1,15673.
96,256,1,0,1,vendor,2,15730.
96,256,1,0,1,vendor,3,16347.
96,256,1,0,1,sycl,1,3817.8
96,256,1,0,1,sycl,2,3866.5
96,256,1,0,1,sycl,3,3820.2
96,256,0,1,1,vendor,1,14747.
96,256,0,1,1,vendor,2,15453.
96,256,0,1,1,vendor,3,14680.
96,256,0,1,1,sycl,1,4256.7
96,256,0,1,1,sycl,2,4246.7
96,256,0,1,1,sycl,3,4193.5
96,256,1,1,1,vendor,1,13566.
96,256,1,1,1,vendor,2,13817.
96,256,1,1,1,vendor,3,13492.
96,256,1,1,1,sycl,1,4264.5
