m,n,k,batch,beta,tA,tB,arm,rep,gflops
992,992,32,128,0,0,0,vendor,1,1117.6
992,992,32,128,0,0,0,vendor,2,1165.0
992,992,32,128,0,0,0,vendor,3,1166.4
992,992,32,128,0,0,0,sycl,1,1278.4
992,992,32,128,0,0,0,sycl,2,1278.0
992,992,32,128,0,0,0,sycl,3,1277.7
992,992,32,128,1,0,0,vendor,1,1136.7
992,992,32,128,1,0,0,vendor,2,1135.5
992,992,32,128,1,0,0,vendor,3,1136.0
992,992,32,128,1,0,0,sycl,1,1278.3
992,992,32,128,1,0,0,sycl,2,1278.4
992,992,32,128,1,0,0,sycl,3,1276.4
992,992,32,128,0,0,1,vendor,1,1165.7
992,992,32,128,0,0,1,vendor,2,1166.6
992,992,32,128,0,0,1,vendor,3,1160.1
992,992,32,128,0,0,1,sycl,1,1285.4
992,992,32,128,0,0,1,sycl,2,1284.9
992,992,32,128,0,0,1,sycl,3,1284.2
992,992,32,128,1,0,1,vendor,1,1136.3
992,992,32,128,1,0,1,vendor,2,1136.7
992,992,32,128,1,0,1,vendor,3,1135.8
992,992,32,128,1,0,1,sycl,1,1284.5
992,992,32,128,1,0,1,sycl,2,1283.6
992,992,32,128,1,0,1,sycl,3,1284.2
992,992,32,128,0,1,0,vendor,1,1160.9
992,992,32,128,0,1,0,vendor,2,1161.4
992,992,32,128,0,1,0,vendor,3,1162.2
992,992,32,128,0,1,0,sycl,1,1284.0
992,992,32,128,0,1,0,sycl,2,1281.7
992,992,32,128,0,1,0,sycl,3,1278.9
992,992,32,128,1,1,0,vendor,1,1129.9
992,992,32,128,1,1,0,vendor,2,1131.1
992,992,32,128,1,1,0,vendor,3,1122.7
992,992,32,128,1,1,0,sycl,1,1282.7
992,992,32,128,1,1,0,sycl,2,1282.9
992,992,32,128,1,1,0,sycl,3,1283.1
480,480,32,128,0,0,0,vendor,1,1104.2
480,480,32,128,0,0,0,vendor,2,1105.6
480,480,32,128,0,0,0,vendor,3,1105.6
480,480,32,128,0,0,0,sycl,1,1262.5
480,480,32,128,0,0,0,sycl,2,1262.9
480,480,32,128,0,0,0,sycl,3,1262.9
480,480,32,128,1,0,0,vendor,1,1087.7
480,480,32,128,1,0,0,vendor,2,1086.9
480,480,32,128,1,0,0,vendor,3,1087.6
480,480,32,128,1,0,0,sycl,1,1261.9
480,480,32,128,1,0,0,sycl,2,1260.3
480,480,32,128,1,0,0,sycl,3,1261.9
480,480,32,128,0,0,1,vendor,1,1105.7
480,480,32,128,0,0,1,vendor,2,1105.5
480,480,32,128,0,0,1,vendor,3,1107.7
480,480,32,128,0,0,1,sycl,1,1269.8
480,480,32,128,0,0,1,sycl,2,1269.3
480,480,32,128,0,0,1,sycl,3,1268.2
480,480,32,128,1,0,1,vendor,1,1085.8
480,480,32,128,1,0,1,vendor,2,1087.6
480,480,32,128,1,0,1,vendor,3,1088.5
480,480,32,128,1,0,1,sycl,1,1269.4
480,480,32,128,1,0,1,sycl,2,1269.8
480,480,32,128,1,0,1,sycl,3,1268.3
480,480,32,128,0,1,0,vendor,1,1081.5
480,480,32,128,0,1,0,vendor,2,1086.3
480,480,32,128,0,1,0,vendor,3,1106.8
480,480,32,128,0,1,0,sycl,1,1268.2
480,480,32,128,0,1,0,sycl,2,1270.0
480,480,32,128,0,1,0,sycl,3,1271.0
480,480,32,128,1,1,0,vendor,1,1085.2
480,480,32,128,1,1,0,vendor,2,1085.3
480,480,32,128,1,1,0,vendor,3,1083.5
480,480,32,128,1,1,0,sycl,1,1269.9
480,480,32,128,1,1,0,sycl,2,1268.2
480,480,32,128,1,1,0,sycl,3,1269.1
288,288,32,128,0,0,0,vendor,1,1019.5
288,288,32,128,0,0,0,vendor,2,1018.9
288,288,32,128,0,0,0,vendor,3,1017.5
288,288,32,128,0,0,0,sycl,1,1242.4
288,288,32,128,0,0,0,sycl,2,1244.0
288,288,32,128,0,0,0,sycl,3,1242.1
