m,n,k,batch,beta,tA,tB,arm,rep,gflops
512,512,1,256,0,0,0,vendor,1,229.42
512,512,1,256,0,0,0,vendor,2,229.57
512,512,1,256,0,0,0,vendor,3,230.33
512,512,1,256,0,0,0,sycl,1,112.52
512,512,1,256,0,0,0,sycl,2,112.51
512,512,1,256,0,0,0,sycl,3,112.46
512,512,1,256,1,0,0,vendor,1,114.00
512,512,1,256,1,0,0,vendor,2,114.10
512,512,1,256,1,0,0,vendor,3,114.35
512,512,1,256,1,0,0,sycl,1,112.53
512,512,1,256,1,0,0,sycl,2,112.28
512,512,1,256,1,0,0,sycl,3,111.87
512,512,2,256,0,0,0,vendor,1,134.77
512,512,2,256,0,0,0,vendor,2,134.50
512,512,2,256,0,0,0,vendor,3,134.78
512,512,2,256,0,0,0,sycl,1,217.01
512,512,2,256,0,0,0,sycl,2,220.81
512,512,2,256,0,0,0,sycl,3,221.00
512,512,2,256,1,0,0,vendor,1,132.30
512,512,2,256,1,0,0,vendor,2,133.05
512,512,2,256,1,0,0,vendor,3,133.20
512,512,2,256,1,0,0,sycl,1,220.76
512,512,2,256,1,0,0,sycl,2,220.74
512,512,2,256,1,0,0,sycl,3,220.44
512,512,3,256,0,0,0,vendor,1,201.39
512,512,3,256,0,0,0,vendor,2,201.60
512,512,3,256,0,0,0,vendor,3,201.09
512,512,3,256,0,0,0,sycl,1,325.85
512,512,3,256,0,0,0,sycl,2,325.47
512,512,3,256,0,0,0,sycl,3,324.96
512,512,3,256,1,0,0,vendor,1,198.41
512,512,3,256,1,0,0,vendor,2,199.33
512,512,3,256,1,0,0,vendor,3,199.31
512,512,3,256,1,0,0,sycl,1,325.37
512,512,3,256,1,0,0,sycl,2,325.15
512,512,3,256,1,0,0,sycl,3,325.50
512,512,4,256,0,0,0,vendor,1,268.23
512,512,4,256,0,0,0,vendor,2,269.17
512,512,4,256,0,0,0,vendor,3,268.66
512,512,4,256,0,0,0,sycl,1,424.11
512,512,4,256,0,0,0,sycl,2,424.62
512,512,4,256,0,0,0,sycl,3,425.09
512,512,4,256,1,0,0,vendor,1,266.29
512,512,4,256,1,0,0,vendor,2,265.66
512,512,4,256,1,0,0,vendor,3,265.78
512,512,4,256,1,0,0,sycl,1,424.88
512,512,4,256,1,0,0,sycl,2,425.19
512,512,4,256,1,0,0,sycl,3,424.94
512,512,6,256,0,0,0,vendor,1,402.06
512,512,6,256,0,0,0,vendor,2,402.09
512,512,6,256,0,0,0,vendor,3,402.06
512,512,6,256,0,0,0,sycl,1,615.84
512,512,6,256,0,0,0,sycl,2,614.78
512,512,6,256,0,0,0,sycl,3,614.55
512,512,6,256,1,0,0,vendor,1,396.81
512,512,6,256,1,0,0,vendor,2,398.60
512,512,6,256,1,0,0,vendor,3,395.19
512,512,6,256,1,0,0,sycl,1,615.07
512,512,6,256,1,0,0,sycl,2,614.05
512,512,6,256,1,0,0,sycl,3,614.66
512,512,8,256,0,0,0,vendor,1,535.82
512,512,8,256,0,0,0,vendor,2,535.04
512,512,8,256,0,0,0,vendor,3,536.74
512,512,8,256,0,0,0,sycl,1,798.70
512,512,8,256,0,0,0,sycl,2,797.42
512,512,8,256,0,0,0,sycl,3,798.98
512,512,8,256,1,0,0,vendor,1,531.51
512,512,8,256,1,0,0,vendor,2,530.30
512,512,8,256,1,0,0,vendor,3,531.12
512,512,8,256,1,0,0,sycl,1,796.58
512,512,8,256,1,0,0,sycl,2,798.44
512,512,8,256,1,0,0,sycl,3,796.44
512,512,12,256,0,0,0,vendor,1,800.81
512,512,12,256,0,0,0,vendor,2,800.04
512,512,12,256,0,0,0,vendor,3,798.66
512,512,12,256,0,0,0,sycl,1,1075.1
512,512,12,256,0,0,0,sycl,2,1072.5
512,512,12,256,0,0,0,sycl,3,1070.4
512,512,12,256,1,0,0,vendor,1,795.87
512,512,12,256,1,0,0,vendor,2,795.63
512,512,12,256,1,0,0,vendor,3,774.88
512,512,12,256,1,0,0,sycl,1,1074.9
512,512,12,256,1,0,0,sycl,2,1075.6
512,512,12,256,1,0,0,sycl,3,1072.0
512,512,16,256,0,0,0,vendor,1,1067.2
512,512,16,256,0,0,0,vendor,2,1069.6
512,512,16,256,0,0,0,vendor,3,1067.3
512,512,16,256,0,0,0,sycl,1,1160.8
512,512,16,256,0,0,0,sycl,2,1159.6
512,512,16,256,0,0,0,sycl,3,1158.0
512,512,16,256,1,0,0,vendor,1,1055.4
512,512,16,256,1,0,0,vendor,2,1058.6
512,512,16,256,1,0,0,vendor,3,1058.2
512,512,16,256,1,0,0,sycl,1,1161.1
512,512,16,256,1,0,0,sycl,2,1160.2
512,512,16,256,1,0,0,sycl,3,1146.6
