n,batch,beta,tA,tB,arm,rep,gflops
32,512,0,1,0,vendor,1,812.20
32,512,0,1,0,vendor,2,842.62
32,512,0,1,0,vendor,3,847.96
32,512,0,1,0,sycl,1,858.08
32,512,0,1,0,sycl,2,852.95
32,512,0,1,0,sycl,3,851.30
32,512,1,1,0,vendor,1,840.36
32,512,1,1,0,vendor,2,840.67
32,512,1,1,0,vendor,3,835.10
32,512,1,1,0,sycl,1,848.40
32,512,1,1,0,sycl,2,857.31
32,512,1,1,0,sycl,3,856.80
32,512,0,0,1,vendor,1,831.99
32,512,0,0,1,vendor,2,831.67
32,512,0,0,1,vendor,3,849.68
32,512,0,0,1,sycl,1,895.33
32,512,0,0,1,sycl,2,894.55
32,512,0,0,1,sycl,3,885.06
32,512,1,0,1,vendor,1,838.25
32,512,1,0,1,vendor,2,835.87
32,512,1,0,1,vendor,3,845.27
32,512,1,0,1,sycl,1,900.44
32,512,1,0,1,sycl,2,892.17
32,512,1,0,1,sycl,3,891.49
32,512,0,1,1,vendor,1,839.61
32,512,0,1,1,vendor,2,849.92
32,512,0,1,1,vendor,3,852.14
32,512,0,1,1,sycl,1,880.33
32,512,0,1,1,sycl,2,887.40
32,512,0,1,1,sycl,3,879.41
32,512,1,1,1,vendor,1,832.57
32,512,1,1,1,vendor,2,830.83
32,512,1,1,1,vendor,3,821.80
32,512,1,1,1,sycl,1,881.93
32,512,1,1,1,sycl,2,868.28
32,512,1,1,1,sycl,3,879.34
32,512,0,2,0,vendor,1,848.13
32,512,0,2,0,vendor,2,849.67
32,512,0,2,0,vendor,3,844.44
32,512,0,2,0,sycl,1,852.65
32,512,0,2,0,sycl,2,852.14
32,512,0,2,0,sycl,3,855.91
32,512,1,2,0,vendor,1,834.30
32,512,1,2,0,vendor,2,828.74
32,512,1,2,0,vendor,3,826.29
32,512,1,2,0,sycl,1,848.70
32,512,1,2,0,sycl,2,854.61
32,512,1,2,0,sycl,3,850.51
64,512,0,1,0,vendor,1,1161.7
64,512,0,1,0,vendor,2,1166.5
64,512,0,1,0,vendor,3,1165.8
64,512,0,1,0,sycl,1,1271.5
64,512,0,1,0,sycl,2,1275.2
64,512,0,1,0,sycl,3,1272.9
64,512,1,1,0,vendor,1,1126.2
64,512,1,1,0,vendor,2,1132.6
64,512,1,1,0,vendor,3,1140.3
64,512,1,1,0,sycl,1,1271.8
64,512,1,1,0,sycl,2,1270.9
64,512,1,1,0,sycl,3,1268.8
64,512,0,0,1,vendor,1,1161.0
64,512,0,0,1,vendor,2,1164.0
64,512,0,0,1,vendor,3,1164.7
64,512,0,0,1,sycl,1,1272.7
64,512,0,0,1,sycl,2,1265.9
64,512,0,0,1,sycl,3,1270.9
64,512,1,0,1,vendor,1,1143.0
64,512,1,0,1,vendor,2,1140.9
64,512,1,0,1,vendor,3,1143.2
64,512,1,0,1,sycl,1,1262.9
64,512,1,0,1,sycl,2,1271.1
64,512,1,0,1,sycl,3,1272.4
64,512,0,1,1,vendor,1,1161.0
64,512,0,1,1,vendor,2,1159.8
64,512,0,1,1,vendor,3,1155.9
64,512,0,1,1,sycl,1,1286.2
64,512,0,1,1,sycl,2,1294.3
64,512,0,1,1,sycl,3,1293.6
64,512,1,1,1,vendor,1,1147.7
64,512,1,1,1,vendor,2,1147.2
64,512,1,1,1,vendor,3,1148.6
64,512,1,1,1,sycl,1,1292.8
64,512,1,1,1,sycl,2,1283.9
