name,arg0,arg1,arg2,iterations,avg_ms,stddev_ms,GFLOPS,Time (us) / matrix
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,256,128,200,0.0095768,0.000183865,218.983,0.0748187
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,256,512,200,0.0111271,0.00093911,753.892,0.0217326
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,256,2048,200,0.0199301,0.000813346,1683.6,0.00973151
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,1024,128,200,0.0107666,0.000153403,779.135,0.0841138
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,1024,512,200,0.0199271,0.000467913,1683.86,0.0389202
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,1024,2048,200,0.137733,0.000858907,974.475,0.0672526
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,4096,128,200,0.0200034,0.000692351,1677.44,0.156276
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,4096,512,200,0.138113,0.00274436,971.796,0.269752
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,4096,2048,200,0.593645,0.00410676,904.364,0.289866
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,256,128,200,0.0121191,4.68187e-05,692.181,0.0946804
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,256,512,200,0.0153293,5.84368e-05,2188.91,0.02994
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,256,2048,200,0.0358293,6.87081e-05,3746.03,0.0174948
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,1024,128,200,0.0153288,6.13724e-05,2188.97,0.119757
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,1024,512,200,0.0359199,0.000105582,3736.59,0.070156
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,1024,2048,200,0.306706,0.000468744,1750.44,0.149759
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,4096,128,200,0.0358407,8.82899e-05,3744.84,0.280006
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,4096,512,200,0.303586,0.000366193,1768.43,0.592942
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,4096,2048,169,1.18634,0.00173785,1810.18,0.579266
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,256,128,200,0.0211041,0.000256125,1589.95,0.164876
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,256,512,200,0.030522,5.26093e-05,4397.4,0.0596134
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,256,2048,200,0.164733,0.000396973,3259.04,0.0804359
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,1024,128,200,0.0309308,4.99855e-05,4339.29,0.241647
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,1024,512,200,0.14982,0.000366711,3583.45,0.292616
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,1024,2048,200,0.614886,0.000798293,3492.49,0.300238
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,4096,128,200,0.144808,0.000364578,3707.47,1.13131
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,4096,512,200,0.610889,0.000412673,3515.34,1.19314
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",64,256,128,200,0.051303,0.000318716,2616.17,0.400805
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",64,256,512,200,0.100799,0.000165835,5326.18,0.196872
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",64,256,2048,200,0.559986,0.000812184,3834.89,0.273431
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",64,1024,128,200,0.100642,0.000241756,5334.45,0.786268
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",64,1024,512,200,0.542101,0.000619605,3961.41,1.05879
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",64,1024,2048,93,2.15461,0.0111803,3986.77,1.05205
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",64,4096,128,200,0.537531,0.000501352,3995.09,4.19946
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",64,4096,512,93,2.15506,0.0125836,3985.95,4.20909
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",128,256,128,200,0.133884,0.00288802,4009.97,1.04597
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",128,256,512,200,0.354336,0.00046459,6060.59,0.692062
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",128,256,2048,116,1.73036,0.00408681,4964.24,0.844904
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",128,1024,128,200,0.34984,0.00313342,6138.47,2.73313
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",128,1024,512,120,1.67061,0.00314973,5141.8,3.26291
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",128,4096,128,118,1.69812,0.0100088,5058.49,13.2666
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",256,256,128,200,0.44825,0.000941697,4790.82,3.50195
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",256,256,512,116,1.73859,0.00458331,4940.74,3.39569
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",256,1024,128,122,1.64053,0.00394231,5236.08,12.8166
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",256,1024,512,26,7.94878,0.011812,4322.64,15.525
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",256,4096,128,26,7.89919,0.00890919,4349.78,61.7124
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",8,256,128,200,0.011656,5.43059e-05,179.92,0.0910629
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",8,256,512,200,0.0205823,7.14376e-05,407.565,0.0401997
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",8,256,2048,200,0.0558513,9.251e-05,600.781,0.0272712
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",8,1024,128,200,0.0206085,6.33126e-05,407.046,0.161004
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",8,1024,512,200,0.0561873,8.54714e-05,597.189,0.109741
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",8,1024,2048,200,0.311492,0.000837031,430.887,0.152096
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",8,4096,128,200,0.0559486,0.000100962,599.737,0.437098
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",8,4096,512,200,0.311588,0.000920895,430.754,0.60857
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",8,4096,2048,168,1.19408,0.00204191,449.609,0.583049
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",16,256,128,200,0.0200145,5.77296e-05,419.127,0.156363
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",16,256,512,200,0.0447505,7.91622e-05,749.812,0.0874033
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",16,256,2048,200,0.177512,0.000480822,756.104,0.0866759
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",16,1024,128,200,0.0446434,5.33119e-05,751.611,0.348776
"(BM_TRSM_OrthoLeft<double, batchlas::Backend::CUDA>)",16,1024,512,200,0.177372,0.000481865,756.702,0.346429
