name,arg0,arg1,arg2,arg3,arg4,iterations,avg_ms,stddev_ms,Time (µs) / matrix
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,128,0,1,50,0.149909,0.000488519,1.17116
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,128,2,1,50,0.222773,0.00384603,1.74041
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,512,0,1,50,0.195519,0.0011128,0.381874
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,1024,512,2,1,50,0.29512,0.00277356,0.576407
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,128,0,1,50,0.434294,0.000338749,3.39292
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,128,2,1,50,0.651721,0.000412259,5.09157
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,512,0,1,50,1.02695,0.0384696,2.00577
"(BM_Ortho<float, batchlas::Backend::CUDA>)",16,4096,512,2,1,50,1.53252,0.0339497,2.9932
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,128,0,1,50,0.187657,0.00258862,1.46607
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,128,2,1,50,0.281985,0.0068463,2.203
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,512,0,1,50,0.37045,0.0129444,0.723534
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,1024,512,2,1,50,0.536221,0.000573915,1.04731
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,128,0,1,50,0.644719,0.00179059,5.03687
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,128,2,1,50,0.93212,0.000479529,7.28219
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,512,0,1,50,1.83843,0.00291073,3.59069
"(BM_Ortho<float, batchlas::Backend::CUDA>)",32,4096,512,2,1,50,2.74794,0.00204909,5.36708
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,128,0,1,50,0.370573,0.000244976,2.8951
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,128,2,1,50,0.55396,0.000316303,4.32781
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,512,0,1,50,1.42197,0.00243227,2.77728
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,1024,512,2,1,50,2.13607,0.00263631,4.17201
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,4096,128,0,1,50,1.63784,0.00250237,12.7956
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,4096,128,2,1,50,2.45129,0.00280608,19.1507
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,4096,512,0,1,37,5.5545,0.00317234,10.8486
"(BM_Ortho<float, batchlas::Backend::CUDA>)",64,4096,512,2,1,25,8.33066,0.00420018,16.2708
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,1024,128,0,1,50,1.00463,0.00272039,7.84863
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,1024,128,2,1,50,1.50148,0.00177668,11.7303
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,1024,512,0,1,47,4.32199,0.00407646,8.44139
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,1024,512,2,1,31,6.52127,0.053672,12.7369
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,4096,128,0,1,48,4.25211,0.00429089,33.2196
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,4096,128,2,1,32,6.36941,0.00661823,49.761
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,4096,512,0,1,13,16.4618,0.0802155,32.152
"(BM_Ortho<float, batchlas::Backend::CUDA>)",128,4096,512,2,1,9,24.8057,0.054887,48.4486
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,1024,128,0,1,46,4.35017,0.0211327,33.9857
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,1024,128,2,1,31,6.56603,0.027848,51.2971
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,1024,512,0,1,11,19.6345,0.0308868,38.3486
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,1024,512,2,1,7,29.5861,0.0769847,57.7853
"(BM_Ortho<float, batchlas::Backend::CUDA>)",256,4096,128,0,1,11,18.8409,0.0558148,147.195
