type,side,route,n,q,batch,ms,sd_pct
float,Left,vendor,8,256,128,0.0208877,5.455124307606869
float,Left,vendor,8,1024,128,0.0312143,4.11324296876752
float,Left,vendor,8,4096,128,0.0736419,0.8268553635905647
float,Left,vendor,8,256,512,0.0314598,4.125868568776661
float,Left,vendor,8,1024,512,0.0735399,0.8548311868795033
float,Left,vendor,8,4096,512,0.250129,1.2788121329394035
float,Left,vendor,8,256,2048,0.0754258,2.622683484961379
float,Left,vendor,8,1024,2048,0.251709,0.7061646583952103
float,Left,vendor,8,4096,2048,0.942637,0.1555996634971893
float,Left,vendor,16,256,128,0.0252027,4.156975244715843
float,Left,vendor,16,1024,128,0.0477425,0.410315756401529
float,Left,vendor,16,4096,128,0.141434,0.23298923879689465
float,Left,vendor,16,256,512,0.0485433,3.3680034113873596
float,Left,vendor,16,1024,512,0.14196,1.7030571992110453
float,Left,vendor,16,4096,512,0.528183,0.1669038950515257
float,Left,vendor,16,256,2048,0.149561,4.392060764504115
float,Left,vendor,16,1024,2048,0.535002,0.5333886602293076
float,Left,vendor,16,4096,2048,2.03942,0.05205842837669533
float,Left,vendor,32,256,128,0.0387705,4.753923730671516
float,Left,vendor,32,1024,128,0.0978028,0.14160433034637046
float,Left,vendor,32,4096,128,0.344492,0.8198564843305504
float,Left,vendor,32,256,512,0.100944,3.927435013472816
float,Left,vendor,32,1024,512,0.347799,0.9644392307050912
float,Left,vendor,32,4096,512,1.29453,0.24598657427792328
float,Left,vendor,32,256,2048,0.356802,3.3916009439408974
float,Left,vendor,32,1024,2048,1.30577,0.16685557180820512
float,Left,vendor,32,4096,2048,5.05882,0.03396879114101708
float,Left,vendor,64,256,128,0.0764836,2.6822220711368194
float,Left,vendor,64,1024,128,0.244995,0.13033694565195209
float,Left,vendor,64,4096,128,0.931432,0.10606421080658597
float,Left,vendor,64,256,512,0.247555,3.6767142655167535
float,Left,vendor,64,1024,512,0.937677,0.238734660229482
float,Left,vendor,64,4096,512,3.58048,0.03598092993118241
