type,side,n,q,batch,route,nb,ms,sd_pct
float,Left,64,256,128,native,32,0.0524078,2.569274039360553
float,Left,64,1024,128,native,32,0.100827,0.4231971594910094
float,Left,64,4096,128,native,32,0.538754,0.4182316975836839
float,Left,64,256,128,native,64,0.052403,2.414689998664199
float,Left,64,1024,128,native,64,0.100896,1.7593660799238822
float,Left,64,4096,128,native,64,0.539436,0.6937579249438303
float,Left,64,256,128,native,128,0.0524671,2.748122156551439
float,Left,64,1024,128,native,128,0.101014,1.0934424931197655
float,Left,64,4096,128,native,128,0.540096,0.6922436011375755
float,Left,64,256,128,native,256,0.0528077,3.8034983534598177
float,Left,64,1024,128,native,256,0.101112,2.55288195268613
float,Left,64,4096,128,native,256,0.539125,0.5596308833758405
float,Left,64,256,512,vendor,-,0.254114,3.760359523678349
float,Left,64,1024,512,vendor,-,0.935828,0.4381638506221229
float,Left,64,4096,512,vendor,-,3.58478,0.038082392782820704
float,Left,64,256,512,native,32,0.107517,0.8398988067003358
float,Left,64,1024,512,native,32,0.537724,0.08961418869159643
float,Left,64,4096,512,native,32,2.14949,0.5361969583482593
float,Left,64,256,512,native,64,0.106851,3.61642848452518
float,Left,64,1024,512,native,64,0.540749,0.49139064519767944
float,Left,64,4096,512,native,64,2.15092,0.19046779982519108
float,Left,64,256,512,native,128,0.106331,5.234842143871496
float,Left,64,1024,512,native,128,0.543352,0.5295038943447342
float,Left,64,4096,512,native,128,2.15526,0.7218247450423614
float,Left,64,256,512,native,256,0.105456,4.372790547716583
float,Left,64,1024,512,native,256,0.539436,0.5332829102989048
float,Left,64,4096,512,native,256,2.14999,0.18680133395969284
float,Left,128,256,128,vendor,-,0.166067,4.218791210776374
float,Left,128,1024,128,vendor,-,0.594868,0.9402422049933769
float,Left,128,4096,128,vendor,-,2.30637,1.1186496529177885
float,Left,128,256,128,native,32,0.141261,3.5699591536234343
float,Left,128,1024,128,native,32,0.348301,0.23484457408965234
float,Left,128,4096,128,native,32,1.69728,0.17878664687028656
float,Left,128,256,128,native,64,0.150682,4.496522477800931
float,Left,128,1024,128,native,64,0.423859,0.6252928450262941
float,Left,128,4096,128,native,64,1.98066,0.2595124857370775
float,Left,128,256,128,native,128,0.137986,4.0332062673024796
