name,arg0,arg1,arg2,iterations,avg_ms,stddev_ms,GFLOPS,Time (us) / matrix
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,256,128,200,0.021128,0.000882327,99.2591,0.165063
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,256,512,200,0.0315319,0.00111734,266.035,0.0615858
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,256,2048,200,0.075579,0.00102784,443.965,0.0369038
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,1024,128,200,0.0312391,0.000958194,268.529,0.244055
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,1024,512,200,0.0743946,0.00103524,451.033,0.145302
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,1024,2048,200,0.254297,0.0088628,527.798,0.124169
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,4096,128,200,0.0743885,0.000967037,451.07,0.58116
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,4096,512,200,0.251655,0.00800726,533.339,0.491515
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",8,4096,2048,200,0.954774,0.0128821,562.301,0.466198
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,256,128,200,0.0249442,0.000708671,336.294,0.194877
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,256,512,200,0.0486958,0.0010231,689.062,0.095109
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,256,2048,200,0.144579,0.00401785,928.332,0.0705954
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,1024,128,200,0.0487074,0.000832479,688.898,0.380526
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,1024,512,200,0.143661,0.00484817,934.267,0.280588
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,1024,2048,200,0.540084,0.0111345,994.051,0.263713
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,4096,128,200,0.143002,0.00465663,938.574,1.1172
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,4096,512,200,0.53493,0.0106058,1003.63,1.04479
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",16,4096,2048,97,2.0646,0.0669352,1040.14,1.00811
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,256,128,200,0.0382903,0.000978496,876.317,0.299143
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,256,512,200,0.0985282,0.00119169,1362.23,0.192438
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,256,2048,200,0.355659,0.00888106,1509.51,0.173661
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,1024,128,200,0.0985519,0.00116627,1361.9,0.769937
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,1024,512,200,0.352496,0.00891393,1523.05,0.688469
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,1024,2048,152,1.32171,0.0612588,1624.77,0.645368
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,4096,128,200,0.348114,0.00899392,1542.23,2.71964
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",32,4096,512,153,1.30985,0.0596639,1639.49,2.5583
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",64,256,128,200,0.076672,0.00113183,1750.54,0.599
"(BM_TRSM_OrthoLeft<float, batchlas::Backend::CUDA>)",64,256,512,200,0.245387,0.00631556,2187.86,0.479271
