name,arg0,arg1,arg2,arg3,iterations,avg_ms,stddev_ms,Time (µs) / matrix
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,128,0,50,0.124765,0.00328762,0.974723
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,128,2,50,0.178413,0.00913503,1.39385
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,512,0,50,0.168452,0.00579761,0.329007
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,16,512,2,50,0.252252,0.00800483,0.492679
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,128,0,50,0.166513,0.00578612,1.30089
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,128,2,50,0.248362,0.00847621,1.94033
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,512,0,50,0.334454,0.0111957,0.65323
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,32,512,2,50,0.481723,0.0117553,0.940865
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,128,0,50,0.431145,0.0077229,3.36832
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,128,2,50,0.651078,0.0121553,5.08654
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,512,0,50,1.7748,0.0478593,3.46641
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,64,512,2,50,2.67529,0.103245,5.22518
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,128,0,50,1.43992,0.064359,11.2493
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,128,2,50,2.18069,0.079882,17.0366
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,512,0,33,6.09434,0.193035,11.903
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,128,512,2,22,9.18009,0.172963,17.9299
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,256,128,0,50,3.92152,0.0477074,30.6369
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,256,128,2,34,5.89303,0.111215,46.0393
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,256,512,0,13,15.7183,0.1568,30.6998
"(BM_Ortho<float, batchlas::Backend::CUDA>)",1024,256,512,2,9,23.6597,0.118333,46.2103
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,16,128,0,50,0.333278,0.00701402,2.60374
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,16,128,2,50,0.499874,0.0109982,3.90526
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,16,512,0,50,0.979405,0.0151855,1.9129
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,16,512,2,50,1.46739,0.0626055,2.86599
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,32,128,0,50,0.566112,0.0140537,4.42275
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,32,128,2,50,0.813938,0.0156692,6.35889
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,32,512,0,50,2.04884,0.0472414,4.00163
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,32,512,2,50,3.07445,0.113749,6.00479
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,64,128,0,50,1.97583,0.0627973,15.4362
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,64,128,2,50,2.95559,0.0917383,23.0906
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,64,512,0,29,7.09957,0.114154,13.8663
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,64,512,2,19,10.682,0.187022,20.8634
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,128,128,0,34,5.92862,0.163428,46.3174
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,128,128,2,23,8.94082,0.168246,69.8502
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,128,512,0,9,23.6071,0.340432,46.1076
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,128,512,2,6,35.8547,0.155687,70.0287
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,256,128,0,14,14.8979,0.239863,116.389
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,256,128,2,9,22.4849,0.231631,175.663
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,256,512,0,5,58.7526,0.716986,114.751
"(BM_Ortho<float, batchlas::Backend::CUDA>)",4096,256,512,2,5,87.6387,1.46269,171.169
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,16,128,0,50,0.600043,0.0103873,4.68784
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,16,128,2,50,0.900999,0.0159842,7.03905
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,16,512,0,50,2.06724,0.0686512,4.03759
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,16,512,2,50,3.10813,0.0939483,6.07056
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,32,128,0,50,0.779943,0.0253321,6.09331
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,32,128,2,50,1.17097,0.057417,9.14824
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,32,512,0,50,2.74451,0.0513254,5.36037
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,32,512,2,49,4.13188,0.104674,8.07007
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,64,128,0,50,2.17184,0.0725012,16.9675
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,64,128,2,50,3.24276,0.0810508,25.3341
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,64,512,0,25,8.16689,0.146822,15.951
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,64,512,2,17,12.2952,0.194081,24.014
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,128,0,28,7.39711,0.118523,57.7899
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,128,2,19,11.0992,0.155556,86.7128
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,512,0,7,28.9677,0.199289,56.5776
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,128,512,2,5,43.5567,0.205335,85.0716
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,256,128,0,5,40.9817,0.292962,320.17
"(BM_Ortho<double, batchlas::Backend::CUDA>)",1024,256,128,2,5,61.3779,0.131755,479.515
