name,arg0,arg1,arg2,iterations,avg_ms,stddev_ms,GFLOPS,Time (us) / matrix
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",8,256,128,200,0.0212069,0.000796406,98.8902,0.165679
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",8,256,512,200,0.0316965,0.00151434,264.654,0.0619073
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",8,256,2048,200,0.075932,0.00113795,441.901,0.0370762
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",8,1024,128,200,0.0311838,0.000818583,269.005,0.243624
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",8,1024,512,200,0.0744557,0.00100777,450.663,0.145421
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",8,1024,2048,200,0.260806,0.00858453,514.626,0.127347
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",8,4096,128,200,0.0745894,0.00103466,449.855,0.58273
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",8,4096,512,200,0.258777,0.00768506,518.661,0.505425
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",8,4096,2048,200,0.966883,0.0125524,555.259,0.472111
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",16,256,128,200,0.0250147,0.000769985,335.347,0.195427
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",16,256,512,200,0.0487809,0.000994434,687.86,0.0952752
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",16,256,2048,200,0.145138,0.0046449,924.76,0.0708681
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",16,1024,128,200,0.0487701,0.000924421,688.013,0.381016
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",16,1024,512,200,0.143942,0.00546096,932.441,0.281138
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",16,1024,2048,200,0.839259,0.0104499,639.697,0.409794
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",16,4096,128,200,0.143647,0.00430931,934.355,1.12225
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",16,4096,512,200,0.863925,0.0103875,621.432,1.68735
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",16,4096,2048,60,3.34625,0.105158,641.759,1.63391
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",32,256,128,200,0.0380552,0.000852296,881.73,0.297306
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",32,256,512,200,0.0984253,0.00108194,1363.65,0.192237
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",32,256,2048,200,0.618044,0.00952286,868.662,0.301779
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",32,1024,128,200,0.0983399,0.00285125,1364.84,0.76828
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",32,1024,512,200,0.586741,0.00874783,915.005,1.14598
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",32,1024,2048,85,2.36087,0.0873787,909.614,1.15277
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",32,4096,128,200,0.587544,0.0111473,913.754,4.59019
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",32,4096,512,83,2.42545,0.0901389,885.395,4.73721
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",64,256,128,200,0.0774812,0.00132877,1732.26,0.605322
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",64,256,512,200,0.249043,0.00674294,2155.74,0.486412
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",64,256,2048,114,1.75977,0.0517183,1220.32,0.859264
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",64,1024,128,200,0.25215,0.00609334,2129.18,1.96992
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",64,1024,512,117,1.70983,0.0497192,1255.96,3.33952
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",64,1024,2048,31,6.62061,0.222983,1297.45,3.23272
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",64,4096,128,118,1.7008,0.0506552,1262.63,13.2875
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",64,4096,512,31,6.61922,0.212224,1297.73,12.9282
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",128,256,128,200,0.158534,0.00459099,3386.48,1.23855
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",128,256,512,200,0.886034,0.0117093,2423.7,1.73053
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",128,256,2048,50,4.04322,0.0797183,2124.53,1.97423
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",128,1024,128,200,0.867824,0.011607,2474.56,6.77988
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",128,1024,512,51,3.92658,0.0881414,2187.64,7.66911
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",128,4096,128,52,3.84893,0.0837984,2231.77,30.0698
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",256,256,128,200,0.354765,0.0074257,6053.25,2.77161
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",256,256,512,92,2.18604,0.0759232,3929.45,4.26961
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",256,1024,128,96,2.10215,0.0531839,4086.26,16.4231
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",256,1024,512,23,8.91288,0.238556,3855.07,17.408
"(BM_TRSM_OrthoRight<float, batchlas::Backend::CUDA>)",256,4096,128,24,8.62692,0.214316,3982.85,67.3978
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",8,256,128,200,0.0468813,0.000858008,44.7332,0.36626
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",8,256,512,200,0.136638,0.00367696,61.3929,0.266871
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",8,256,2048,200,0.497018,0.00661235,67.5115,0.242685
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",8,1024,128,200,0.136605,0.00372309,61.408,1.06722
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",8,1024,512,200,0.496086,0.00700758,67.6383,0.968918
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",8,1024,2048,104,1.93937,0.0546729,69.2069,0.946957
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",8,4096,128,200,0.495905,0.00674585,67.663,3.87426
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",8,4096,512,104,1.93902,0.0546588,69.2192,3.78716
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",8,4096,2048,26,7.76558,0.224328,69.1347,3.79179
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",16,256,128,200,0.0802396,0.0010225,104.544,0.626872
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",16,256,512,200,0.269855,0.00479165,124.342,0.527061
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",16,256,2048,194,1.03577,0.0350922,129.583,0.505745
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",16,1024,128,200,0.270882,0.00637738,123.871,2.11626
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",16,1024,512,194,1.03596,0.0457458,129.558,2.02337
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",16,1024,2048,49,4.09584,0.102775,131.077,1.99992
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",16,4096,128,194,1.03432,0.0390525,129.765,8.08061
"(BM_TRSM_OrthoRight<double, batchlas::Backend::CUDA>)",16,4096,512,49,4.09121,0.0948423,131.225,7.99065
