name,arg0,arg1,arg2,iterations,avg_ms,stddev_ms,GFLOPS,Time (us) / matrix
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",8,32,1,100,0.00780758,6.05522e-05,0.262309,7.80758
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",8,32,8,100,0.00779728,7.92976e-05,2.10125,0.974659
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",8,32,32,100,0.00793953,0.000101327,8.2544,0.24811
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",8,128,1,100,0.00788866,0.00010173,1.03845,7.88866
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",8,128,8,100,0.00790223,8.06525e-05,8.29336,0.987779
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",8,128,32,100,0.00791382,6.5158e-05,33.1248,0.247307
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",32,32,1,100,0.0193388,0.000121637,1.69442,19.3388
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",32,32,8,100,0.0183151,0.00026906,14.313,2.28938
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",32,32,32,100,0.0183004,0.000168,57.2981,0.571886
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",32,128,1,100,0.0182391,0.000124463,7.18633,18.2391
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",32,128,8,100,0.0183769,8.89371e-05,57.0593,2.29712
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",32,128,32,100,0.0206474,0.000183809,203.14,0.645231
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",128,32,1,100,0.0777235,0.00014207,6.74556,77.7235
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",128,32,8,100,0.0786434,0.00011164,53.3332,9.83043
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",128,32,32,100,0.0788713,9.39083e-05,212.716,2.46473
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",128,128,1,100,0.0772926,0.000152926,27.1326,77.2926
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",128,128,8,100,0.0778314,0.000214346,215.558,9.72892
"(BM_TRSM_StarvedLeft<float, batchlas::Backend::CUDA>)",128,128,32,100,0.0900724,0.000123409,745.054,2.81476
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",8,32,1,100,0.00840057,0.000121612,0.243793,8.40057
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",8,32,8,100,0.00869359,0.000324719,1.88461,1.0867
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",8,32,32,100,0.00872526,4.80225e-05,7.51107,0.272664
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",8,128,1,100,0.00873743,9.06793e-05,0.937575,8.73743
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",8,128,8,100,0.00873158,5.44587e-05,7.50563,1.09145
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",8,128,32,100,0.00873529,4.32211e-05,30.0098,0.272978
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",32,32,1,100,0.0283697,0.00100243,1.15503,28.3697
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",32,32,8,100,0.0275769,7.59001e-05,9.50594,3.44711
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",32,32,32,100,0.0276126,5.40646e-05,37.9745,0.862895
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",32,128,1,100,0.0275504,0.00016216,4.75753,27.5504
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",32,128,8,100,0.027648,0.000127733,37.926,3.45599
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",32,128,32,100,0.0300524,0.00012795,139.566,0.939137
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",128,32,1,100,0.112942,0.000211904,4.6421,112.942
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",128,32,8,100,0.113537,0.000104635,36.9421,14.1922
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",128,32,32,100,0.113772,0.000121142,147.464,3.55536
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",128,128,1,100,0.113393,0.000125348,18.4946,113.393
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",128,128,8,100,0.113853,0.000329915,147.359,14.2316
"(BM_TRSM_StarvedLeft<double, batchlas::Backend::CUDA>)",128,128,32,100,0.154967,0.000135184,433.052,4.84273
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",8,32,1,100,0.00836961,0.000240833,0.244695,8.36961
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",8,32,8,100,0.00864383,0.000184192,1.89546,1.08048
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",8,32,32,100,0.00873582,5.2423e-05,7.50198,0.272994
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",8,128,1,100,0.00870087,5.30541e-05,0.941515,8.70087
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",8,128,8,100,0.00874913,0.000230346,7.49057,1.09364
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",8,128,32,100,0.00878101,0.00025857,29.8535,0.274407
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",32,32,1,100,0.023116,0.000757503,1.41754,23.116
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",32,32,8,100,0.0226465,6.64912e-05,11.5755,2.83081
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",32,32,32,100,0.0224386,7.53257e-05,46.731,0.701205
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",32,128,1,100,0.0228364,0.000201629,5.73962,22.8364
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",32,128,8,100,0.0224809,7.15888e-05,46.643,2.81011
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",32,128,32,100,0.0269951,9.09678e-05,155.373,0.843597
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",128,32,1,100,0.103306,0.000135439,5.07512,103.306
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",128,32,8,100,0.104642,0.000100484,40.0823,13.0803
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",128,32,32,100,0.103011,0.000130818,162.868,3.21909
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",128,128,1,100,0.0970514,0.000180098,21.6087,97.0514
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",128,128,8,100,0.0950167,8.08398e-05,176.571,11.8771
"(BM_TRSM_StarvedLeft<std::complex<float>, batchlas::Backend::CUDA>)",128,128,32,100,0.132237,0.000418448,507.488,4.13242
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",8,32,1,100,0.011158,0.000106375,0.183546,11.158
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",8,32,8,100,0.0111084,4.60669e-05,1.47492,1.38855
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",8,32,32,100,0.0111634,4.27487e-05,5.87061,0.348857
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",8,128,1,100,0.0111665,3.91196e-05,0.733621,11.1665
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",8,128,8,100,0.0112561,0.000153135,5.82226,1.40701
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",8,128,32,100,0.0124389,5.61203e-05,21.0746,0.388714
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",32,32,1,100,0.0475024,3.12202e-05,0.689818,47.5024
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",32,32,8,100,0.0477064,8.86787e-05,5.49495,5.9633
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",32,32,32,100,0.0477253,6.34264e-05,21.9711,1.49141
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",32,128,1,100,0.0476375,0.000108982,2.75145,47.6375
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",32,128,8,100,0.0477937,0.00048707,21.9396,5.97421
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",32,128,32,100,0.0525965,0.000126788,79.7449,1.64364
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",128,32,1,100,0.280303,0.000278245,1.87044,280.303
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",128,32,8,100,0.281404,0.000255443,14.9049,35.1755
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",128,32,32,100,0.324181,0.00032784,51.7527,10.1306
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",128,128,1,100,0.317047,0.000209048,6.61463,317.047
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",128,128,8,100,0.317961,0.000371778,52.7649,39.7452
"(BM_TRSM_StarvedLeft<std::complex<double>, batchlas::Backend::CUDA>)",128,128,32,100,0.727284,0.00037026,92.2733,22.7276
