name,arg0,arg1,arg2,iterations,avg_ms,stddev_ms,GFLOPS,Time (us) / matrix
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,32,1,100,0.0084531,4.69544e-05,0.242278,8.4531
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,32,8,100,0.00852257,0.000219936,1.92243,1.06532
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,32,32,100,0.008546,0.00022291,7.66861,0.267063
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,128,1,100,0.00847527,0.000158002,0.966577,8.47527
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,128,8,100,0.00853058,2.86473e-05,7.68248,1.06632
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,128,32,100,0.00853383,2.93878e-05,30.7182,0.266682
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,32,1,100,0.0202343,0.00139371,1.61943,20.2343
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,32,8,100,0.0193614,6.85225e-05,13.5395,2.42018
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,32,32,100,0.0193962,0.000193562,54.061,0.60613
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,128,1,100,0.0193906,0.00011655,6.75955,19.3906
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,128,8,100,0.0194055,6.69905e-05,54.035,2.42569
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,128,32,100,0.019447,5.79002e-05,215.679,0.607718
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,32,1,100,0.074746,0.000119373,7.01426,74.746
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,32,8,100,0.0760829,0.000459965,55.1281,9.51036
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,32,32,100,0.0763849,0.000100676,219.641,2.38703
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,128,1,100,0.0728871,8.35445e-05,28.7726,72.8871
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,128,8,100,0.0733629,9.60937e-05,228.688,9.17037
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,128,32,100,0.0818901,0.000118525,819.499,2.55907
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",8,32,1,100,0.00849663,6.38683e-05,0.241037,8.49663
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",8,32,8,100,0.00886472,0.000120114,1.84823,1.10809
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",8,32,32,100,0.00891544,8.33917e-05,7.35084,0.278608
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",8,128,1,100,0.00888079,0.00010395,0.92244,8.88079
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",8,128,8,100,0.00887105,7.42522e-05,7.38762,1.10888
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",8,128,32,100,0.00890365,0.000106695,29.4423,0.278239
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",32,32,1,100,0.0276991,0.000907644,1.183,27.6991
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",32,32,8,100,0.0273172,0.000277793,9.59628,3.41465
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",32,32,32,100,0.0273044,0.000225719,38.4032,0.853262
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",32,128,1,100,0.0273203,0.000288137,4.7976,27.3203
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",32,128,8,100,0.0273198,0.000149179,38.3815,3.41498
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",32,128,32,100,0.0273035,0.000154114,153.618,0.853234
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",128,32,1,100,0.11215,0.000277784,4.67489,112.15
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",128,32,8,100,0.112984,0.000324822,37.1229,14.123
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",128,32,32,100,0.113329,0.000322853,148.04,3.54152
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",128,128,1,100,0.110918,0.000296956,18.9073,110.918
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",128,128,8,100,0.111404,0.000297622,150.598,13.9255
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",128,128,32,100,0.140167,0.000121187,478.776,4.38023
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",8,32,1,100,0.00861693,8.60514e-05,0.237672,8.61693
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",8,32,8,100,0.00901269,0.000126791,1.81788,1.12659
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",8,32,32,100,0.00910085,7.81762e-05,7.20109,0.284402
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",8,128,1,100,0.00902499,3.2282e-05,0.907702,9.02499
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",8,128,8,100,0.00909793,0.000114376,7.20339,1.13724
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",8,128,32,100,0.00903973,4.13121e-05,28.9991,0.282492
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",32,32,1,100,0.0222879,0.000725027,1.47021,22.2879
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",32,32,8,100,0.021981,0.000126223,11.926,2.74762
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",32,32,32,100,0.021471,9.08807e-05,48.8368,0.670969
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",32,128,1,100,0.0223249,7.53067e-05,5.87111,22.3249
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",32,128,8,100,0.0215268,0.000274711,48.7103,2.69085
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",32,128,32,100,0.021417,0.000148778,195.84,0.66928
"(BM_TRSM_StarvedRight<std::complex<float>, batchlas::Backend::CUDA>)",128,32,1,100,0.0943818,7.25363e-05,5.55497,94.3818
