name,arg0,arg1,arg2,iterations,avg_ms,stddev_ms,GFLOPS,Time (us) / matrix
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,32,1,100,0.00657128,6.17161e-05,0.311659,6.57128
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,32,8,100,0.0188202,0.000450489,0.870553,2.35253
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,32,32,100,0.0187818,0.000361893,3.48934,0.58693
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,128,1,100,0.00671109,0.000303433,1.22067,6.71109
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,128,8,100,0.0175926,0.000334277,3.7252,2.19908
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",8,128,32,100,0.0177126,0.000541893,14.7998,0.55352
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,32,1,100,0.00935714,3.05593e-05,3.50193,9.35714
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,32,8,100,0.0408139,0.00123152,6.42291,5.10174
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,32,32,100,0.0400228,0.000138493,26.1995,1.25071
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,128,1,100,0.00894398,4.47776e-05,14.6548,8.94398
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,128,8,100,0.0224464,0.000122309,46.7147,2.8058
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",32,128,32,100,0.0228993,0.00042753,183.163,0.715602
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,32,1,100,0.0299481,0.000981142,17.5065,29.9481
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,32,8,100,0.0592357,0.000120073,70.807,7.40447
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,32,32,100,0.0594433,0.000153414,282.239,1.8576
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,128,1,100,0.028863,8.29116e-05,72.6589,28.863
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,128,8,100,0.0594511,0.00014645,282.202,7.43139
"(BM_TRSM_StarvedRight<float, batchlas::Backend::CUDA>)",128,128,32,100,0.0605661,0.000143581,1108.03,1.89269
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",8,32,1,100,0.00960604,3.05915e-05,0.213199,9.60604
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",8,32,8,100,0.0259878,0.000149565,0.630449,3.24848
"(BM_TRSM_StarvedRight<double, batchlas::Backend::CUDA>)",8,32,32,100,0.025985,0.000256214,2.52207,0.812031
