type,tag,m,n,k,batch,beta,pad,auto_ms,wide_ms,vendor_ms,ratio_auto_over_wide,ratio_vendor_over_wide,ratio_vendor_over_auto,GBps_best,flag
cfloat,P_480k32,480,480,32,256,0,0,2.53675,0.63542,0.63118,3.992,0.993,0.249,842,
cfloat,P_480k32,480,480,32,256,0,384,2.49770,0.65964,0.65725,3.786,0.996,0.263,811,
cfloat,P_480k32,480,480,32,256,1,0,2.54751,1.12417,1.11479,2.266,0.992,0.438,895,
cfloat,P_480k32,480,480,32,256,1,384,2.45727,1.13975,1.14328,2.156,1.003,0.465,883,
cfloat,P_992k32,992,992,32,128,0,0,5.31914,1.24803,1.25001,4.262,1.002,0.235,860,
cfloat,P_992k32,992,992,32,128,0,384,5.20829,1.28605,1.29536,4.050,1.007,0.249,834,
cfloat,P_992k32,992,992,32,128,1,0,5.27999,2.30037,2.29776,2.295,0.999,0.435,904,
cfloat,P_992k32,992,992,32,128,1,384,5.21420,2.34520,2.33537,2.223,0.996,0.448,887,
cfloat,P_k136,1024,1024,136,128,0,0,20.51740,3.57454,3.16899,5.740,0.887,0.154,380,
cfloat,P_k136,1024,1024,136,128,0,384,20.09090,3.49644,3.09937,5.746,0.886,0.154,389,
cfloat,P_k136,1024,1024,136,128,1,0,20.34030,3.70571,3.55071,5.489,0.958,0.175,656,
cfloat,P_k136,1024,1024,136,128,1,384,20.07540,3.59845,3.51061,5.579,0.976,0.175,676,
cfloat,P_k32,1024,1024,32,128,0,0,5.78390,1.31979,1.33114,4.382,1.009,0.230,864,
cfloat,P_k32,1024,1024,32,128,0,384,5.57015,1.36836,1.36535,4.071,0.998,0.245,834,
cfloat,P_k32,1024,1024,32,128,1,0,5.67078,2.44829,2.44341,2.316,0.998,0.431,905,
cfloat,P_k32,1024,1024,32,128,1,384,5.57760,2.49125,2.47875,2.239,0.995,0.444,889,
cfloat,P_k64,1024,1024,64,128,0,0,10.44870,1.47039,1.77536,7.106,1.207,0.170,822,
cfloat,P_k64,1024,1024,64,128,0,384,10.34890,1.43291,1.94050,7.222,1.354,0.188,843,
cfloat,P_k64,1024,1024,64,128,1,0,10.47060,2.52314,2.62866,4.150,1.042,0.251,904,
cfloat,P_k64,1024,1024,64,128,1,384,10.34400,2.56675,2.69507,4.030,1.050,0.261,889,
cfloat,P_k8,1024,1024,8,128,0,0,2.80002,1.22289,1.24643,2.290,1.019,0.445,892,auto:spread1.83/rsd0.43
cfloat,P_k8,1024,1024,8,128,0,384,2.97787,1.29744,1.33904,2.295,1.032,0.450,841,
cfloat,P_k8,1024,1024,8,128,1,0,2.81188,2.40231,2.39769,1.170,0.998,0.853,901,
cfloat,P_k8,1024,1024,8,128,1,384,2.98605,2.43959,2.44471,1.224,1.002,0.819,887,
cfloat,P_k96,1024,1024,96,128,0,0,15.47290,2.13067,2.42334,7.262,1.137,0.157,598,
cfloat,P_k96,1024,1024,96,128,0,384,15.11130,2.04734,2.49163,7.381,1.217,0.165,623,
cfloat,P_k96,1024,1024,96,128,1,0,15.42000,2.74505,3.16740,5.617,1.154,0.205,856,
cfloat,P_k96,1024,1024,96,128,1,384,15.08880,2.75962,3.30257,5.468,1.197,0.219,851,
cfloat,S_128,128,128,128,512,0,0,1.32342,0.24617,0.24758,5.376,1.006,0.187,818,
cfloat,S_128,128,128,128,512,0,384,1.29451,0.25001,0.24231,5.178,0.969,0.187,805,
cfloat,S_128,128,128,128,512,1,0,1.31577,0.32223,0.32344,4.083,1.004,0.246,833,
cfloat,S_128,128,128,128,512,1,384,1.27820,0.30549,0.30485,4.184,0.998,0.238,879,
cfloat,S_256,256,256,256,256,0,0,0.74492,0.74469,0.74773,1.000,1.004,1.004,541,
cfloat,S_256,256,256,256,256,0,384,0.87514,0.87334,0.71293,1.002,0.816,0.815,461,vendor:spread0.04/rsd0.35
cfloat,S_256,256,256,256,256,1,0,0.77525,0.77621,0.79501,0.999,1.024,1.025,693,
cfloat,S_256,256,256,256,256,1,384,0.75075,0.75149,0.76526,0.999,1.018,1.019,715,
cfloat,S_512,512,512,512,128,0,0,2.86966,2.87206,2.85416,0.999,0.994,0.995,281,
cfloat,S_512,512,512,512,128,0,384,2.74639,2.74492,2.69779,1.001,0.983,0.982,293,
cfloat,S_512,512,512,512,128,1,0,2.89427,2.89271,2.91095,1.001,1.006,1.006,371,auto:spread0.06/rsd0.31;wide:spread2.95/rsd0.17;vendor:spread3.32/rsd0.36
cfloat,S_512,512,512,512,128,1,384,2.77042,2.76904,2.80005,1.000,1.011,1.011,388,
cdouble,P_480k32,480,480,32,256,0,0,40.61570,13.32050,12.88520,3.049,0.967,0.317,80,
cdouble,P_480k32,480,480,32,256,0,384,40.64720,13.31540,12.87030,3.053,0.967,0.317,80,
cdouble,P_480k32,480,480,32,256,1,0,40.54410,13.48180,13.28190,3.007,0.985,0.328,149,
cdouble,P_480k32,480,480,32,256,1,384,40.41660,13.40230,13.27620,3.016,0.991,0.328,150,
cdouble,P_992k32,992,992,32,128,0,0,86.53210,26.72810,27.49820,3.237,1.029,0.318,80,
cdouble,P_992k32,992,992,32,128,0,384,86.23820,26.64650,27.36230,3.236,1.027,0.317,81,
cdouble,P_992k32,992,992,32,128,1,0,86.54910,26.86070,28.55530,3.222,1.063,0.330,155,
cdouble,P_992k32,992,992,32,128,1,384,86.27890,26.78270,28.26710,3.221,1.055,0.328,155,
cdouble,P_k136,1024,1024,136,128,0,0,375.55300,114.47600,126.99700,3.281,1.109,0.338,24,
cdouble,P_k136,1024,1024,136,128,0,384,374.65500,113.95300,126.39200,3.288,1.109,0.337,24,
cdouble,P_k136,1024,1024,136,128,1,0,375.57600,114.59500,127.75300,3.277,1.115,0.340,42,
cdouble,P_k136,1024,1024,136,128,1,384,374.41600,114.01400,127.41100,3.284,1.118,0.340,43,
cdouble,P_k32,1024,1024,32,128,0,0,92.23720,27.35390,29.45670,3.372,1.077,0.319,83,
cdouble,P_k32,1024,1024,32,128,0,384,92.01770,27.25460,29.23830,3.376,1.073,0.318,84,
cdouble,P_k32,1024,1024,32,128,1,0,92.41350,27.42690,30.33760,3.369,1.106,0.328,161,
cdouble,P_k32,1024,1024,32,128,1,384,91.95270,27.30940,30.33470,3.367,1.111,0.330,162,
cdouble,P_k64,1024,1024,64,128,0,0,179.45600,52.33100,57.39670,3.429,1.097,0.320,46,
cdouble,P_k64,1024,1024,64,128,0,384,178.77600,52.21580,57.16620,3.424,1.095,0.320,46,
cdouble,P_k64,1024,1024,64,128,1,0,179.80800,52.33910,58.29640,3.435,1.114,0.324,87,
cdouble,P_k64,1024,1024,64,128,1,384,178.97400,52.10520,57.96170,3.435,1.112,0.324,88,
cdouble,P_k8,1024,1024,8,128,0,0,26.73260,14.33900,15.42970,1.864,1.076,0.577,152,
cdouble,P_k8,1024,1024,8,128,0,384,26.71640,14.42410,15.41340,1.852,1.069,0.577,151,
cdouble,P_k8,1024,1024,8,128,1,0,26.81160,14.80220,16.50050,1.811,1.115,0.615,292,
cdouble,P_k8,1024,1024,8,128,1,384,26.87920,14.68380,16.41810,1.831,1.118,0.611,295,
cdouble,P_k96,1024,1024,96,128,0,0,266.57300,77.37790,85.30670,3.445,1.102,0.320,33,
cdouble,P_k96,1024,1024,96,128,0,384,265.69300,76.93100,84.87310,3.454,1.103,0.319,33,
cdouble,P_k96,1024,1024,96,128,1,0,266.72800,77.14450,86.13380,3.458,1.117,0.323,61,
cdouble,P_k96,1024,1024,96,128,1,384,265.74900,76.89100,85.87440,3.456,1.117,0.323,61,
cdouble,S_128,128,128,128,512,0,0,22.16370,6.37826,7.07515,3.475,1.109,0.319,63,
cdouble,S_128,128,128,128,512,0,384,22.05750,6.40115,7.06647,3.446,1.104,0.320,63,
cdouble,S_128,128,128,128,512,1,0,22.16300,6.39202,7.12340,3.467,1.114,0.321,84,
cdouble,S_128,128,128,128,512,1,384,22.10470,6.38845,7.12694,3.460,1.116,0.322,84,
cdouble,S_256,256,256,256,256,0,0,25.25150,25.26340,28.16730,1.000,1.115,1.115,32,
cdouble,S_256,256,256,256,256,0,384,25.21140,25.26150,28.05430,0.998,1.111,1.113,32,
cdouble,S_256,256,256,256,256,1,0,25.24340,25.24730,28.18440,1.000,1.116,1.117,43,
cdouble,S_256,256,256,256,256,1,384,25.14020,25.11120,28.13060,1.001,1.120,1.119,43,
cdouble,S_512,512,512,512,128,0,0,100.29900,100.33100,112.04800,1.000,1.117,1.117,16,
cdouble,S_512,512,512,512,128,0,384,99.94730,99.97160,111.70800,1.000,1.117,1.118,16,
cdouble,S_512,512,512,512,128,1,0,100.33600,100.36900,112.25600,1.000,1.118,1.119,21,
cdouble,S_512,512,512,512,128,1,384,99.84660,99.78010,112.02200,1.001,1.123,1.122,22,
