type,tag,m,n,k,batch,beta,auto_ms,wide_ms,t16_ms,vendor_ms,auto/wide,t16/wide,vendor/wide,flag
cfloat,A_128,128,128,128,512,0,1.26436,0.24756,1.30293,0.24821,5.107,5.263,1.003,
cfloat,A_128,128,128,128,512,1,1.34541,0.32047,1.29448,0.32337,4.198,4.039,1.009,auto:sp1.13/rsd1.14;wide:sp4.24/rsd1.91;t16:sp3.09/rsd0.76;vendor:sp1.01/rsd0.94
cfloat,A_256,256,256,256,256,0,0.74629,0.74808,5.08062,0.74996,0.998,6.792,1.003,
cfloat,A_256,256,256,256,256,1,0.77809,0.78016,5.07570,0.79722,0.997,6.506,1.022,auto:sp0.14/rsd0.39;wide:sp0.17/rsd0.44
cfloat,A_256k260,256,256,260,256,0,4.68507,0.90236,4.80398,0.77815,5.192,5.324,0.862,
cfloat,A_256k260,256,256,260,256,1,4.83376,0.92171,4.85750,0.82303,5.244,5.270,0.893,
cfloat,A_256pad1,256,256,256,256,0,4.34967,0.78673,4.45093,0.71967,5.529,5.657,0.915,
cfloat,A_256pad1,256,256,256,256,1,4.26986,0.81299,4.35478,0.77785,5.252,5.356,0.957,
cfloat,A_300,300,300,300,256,0,7.06876,1.52226,7.12708,1.33830,4.644,4.682,0.879,
cfloat,A_300,300,300,300,256,1,7.07341,1.54598,7.23305,1.37827,4.575,4.679,0.892,
cfloat,A_320,320,320,320,256,0,1.42018,1.42410,9.93511,1.41257,0.997,6.976,0.992,
cfloat,A_320,320,320,320,256,1,1.44846,1.45075,9.71313,1.45065,0.998,6.695,1.000,
cfloat,A_512,512,512,512,128,0,2.87323,2.87151,20.27250,2.86551,1.001,7.060,0.998,
cfloat,A_512,512,512,512,128,1,2.91221,2.90447,19.90440,2.91631,1.003,6.853,1.004,
cfloat,A_512pad1,512,512,512,128,0,16.92250,2.99636,16.99000,2.74983,5.648,5.670,0.918,
cfloat,A_512pad1,512,512,512,128,1,16.78860,3.04271,17.03270,2.81645,5.518,5.598,0.926,
cdouble,A_128,128,128,128,512,0,22.19510,6.40838,22.14260,7.09544,3.463,3.455,1.107,
cdouble,A_128,128,128,128,512,1,22.09480,6.42184,22.10080,7.10332,3.441,3.442,1.106,wide:sp0.24/rsd0.28;t16:sp0.14/rsd0.09;vendor:sp0.13/rsd0.28
cdouble,A_256,256,256,256,256,0,25.26810,25.25660,88.09210,28.09040,1.000,3.488,1.112,
cdouble,A_256,256,256,256,256,1,25.39100,25.25660,88.10610,28.34060,1.005,3.488,1.122,
cdouble,A_256k260,256,256,260,256,0,89.49260,26.91600,89.40920,29.89410,3.325,3.322,1.111,
cdouble,A_256k260,256,256,260,256,1,89.49520,26.93010,89.45990,29.99220,3.323,3.322,1.114,
cdouble,A_256pad1,256,256,256,256,0,25.15270,25.25850,88.10630,28.07370,0.996,3.488,1.111,
cdouble,A_256pad1,256,256,256,256,1,25.27260,25.25470,88.06870,28.21600,1.001,3.487,1.117,
cdouble,A_300,300,300,300,256,0,145.42400,46.82110,145.32600,49.51550,3.106,3.104,1.058,
cdouble,A_300,300,300,300,256,1,145.33000,46.95770,145.32900,49.64390,3.095,3.095,1.057,
cdouble,A_320,320,320,320,256,0,49.17130,49.17640,171.71900,54.83140,1.000,3.492,1.115,
cdouble,A_320,320,320,320,256,1,49.18480,49.21210,171.80400,55.03000,0.999,3.491,1.118,
cdouble,A_512,512,512,512,128,0,100.38700,100.37900,350.82700,112.08000,1.000,3.495,1.117,
cdouble,A_512,512,512,512,128,1,100.40700,100.37800,351.00700,112.33500,1.000,3.497,1.119,
cdouble,A_512pad1,512,512,512,128,0,100.31100,100.11600,350.65600,111.77700,1.002,3.502,1.116,
cdouble,A_512pad1,512,512,512,128,1,100.21600,100.19300,350.00900,112.03100,1.000,3.493,1.118,
