type,tag,m,n,k,batch,beta,min_dim,auto_ms,wide_ms,auto/wide,spread_max
cdouble,C_1x129x1,1,129,1,4096,0,1,0.24452,4.79142,0.051,0.000
cdouble,C_1x129x1,1,129,1,4096,1,1,0.24429,4.79315,0.051,0.000
cdouble,L_16,16,16,16,4096,0,16,0.43972,1.57773,0.279,0.000
cdouble,L_16,16,16,16,4096,1,16,0.44009,1.57760,0.279,0.000
cdouble,C_7x200x7,7,200,7,4096,0,7,2.19722,6.47678,0.339,0.000
cdouble,C_7x200x7,7,200,7,4096,1,7,2.19706,6.48368,0.339,0.000
cdouble,L_32,32,32,32,4096,1,32,3.34899,3.20001,1.047,0.000
cdouble,L_32,32,32,32,4096,0,32,3.34319,3.18730,1.049,0.000
cdouble,C_300x32x300,300,32,300,1024,0,32,61.23370,37.34770,1.640,0.000
cdouble,C_300x32x300,300,32,300,1024,1,32,61.26200,37.30370,1.642,0.000
cdouble,C_31x320x31,31,320,31,2048,1,31,14.12740,8.18680,1.726,0.000
cdouble,C_31x320x31,31,320,31,2048,0,31,14.07860,8.13123,1.731,0.000
cdouble,C_129x96x129,129,96,129,1024,0,96,37.67130,21.33410,1.766,0.000
cdouble,C_129x96x129,129,96,129,1024,1,96,37.70940,21.28580,1.772,0.000
cdouble,L_96,96,96,96,1024,1,96,18.77660,9.53862,1.968,0.000
cdouble,L_96,96,96,96,1024,0,96,18.78720,9.52103,1.973,0.000
cdouble,L_48,48,48,48,2048,1,48,5.58287,2.43805,2.290,0.000
cdouble,L_48,48,48,48,2048,0,48,5.57114,2.42613,2.296,0.000
cdouble,C_64x128x32,64,128,32,2048,1,32,11.60840,3.46006,3.355,0.000
cdouble,C_64x128x32,64,128,32,2048,0,32,11.60500,3.42891,3.384,0.000
cdouble,C_128x256x64,128,256,64,1024,1,64,45.02530,13.13270,3.428,0.000
cdouble,C_128x256x64,128,256,64,1024,0,64,45.01540,13.08630,3.440,0.000
cdouble,L_128,128,128,128,512,1,128,22.21610,6.43886,3.450,0.000
cdouble,C_256x512x128,256,512,128,512,1,128,177.37500,51.20110,3.464,0.000
cdouble,C_256x512x128,256,512,128,512,0,128,177.40300,51.12570,3.470,0.000
cdouble,L_128,128,128,128,512,0,128,22.18190,6.39211,3.470,0.000
cdouble,L_64,64,64,64,2048,1,64,13.05950,3.29262,3.966,0.000
cdouble,L_64,64,64,64,2048,0,64,13.13060,3.27148,4.014,0.000
cfloat,C_1x129x1,1,129,1,4096,0,1,0.03849,0.15281,0.252,0.000
cfloat,C_1x129x1,1,129,1,4096,1,1,0.03820,0.14826,0.258,0.000
cfloat,C_7x200x7,7,200,7,4096,1,7,0.16102,0.29384,0.548,0.000
cfloat,L_16,16,16,16,4096,1,16,0.03905,0.05479,0.713,0.000
cfloat,L_16,16,16,16,4096,0,16,0.03922,0.05435,0.722,0.000
cfloat,C_7x200x7,7,200,7,4096,0,7,0.15822,0.21470,0.737,0.000
cfloat,C_31x320x31,31,320,31,2048,1,31,0.85748,0.59030,1.453,0.000
cfloat,C_64x128x32,64,128,32,2048,1,32,0.72715,0.41350,1.759,0.000
cfloat,C_31x320x31,31,320,31,2048,0,31,0.85374,0.39582,2.157,0.000
cfloat,L_32,32,32,32,4096,1,32,0.30318,0.13324,2.275,0.000
cfloat,C_300x32x300,300,32,300,1024,1,32,3.12294,1.22229,2.555,0.000
cfloat,C_300x32x300,300,32,300,1024,0,32,3.06428,1.19297,2.569,0.000
cfloat,L_32,32,32,32,4096,0,32,0.30240,0.11660,2.593,0.000
cfloat,C_64x128x32,64,128,32,2048,0,32,0.72941,0.27304,2.671,0.000
cfloat,C_129x96x129,129,96,129,1024,1,96,1.93551,0.68111,2.842,0.000
cfloat,C_129x96x129,129,96,129,1024,0,96,1.92635,0.65501,2.941,0.000
cfloat,L_96,96,96,96,1024,1,96,1.12737,0.36536,3.086,0.000
cfloat,L_48,48,48,48,2048,1,48,0.50849,0.15877,3.203,0.000
cfloat,C_128x256x64,128,256,64,1024,1,64,2.72933,0.81395,3.353,0.000
cfloat,L_64,64,64,64,2048,1,64,1.10436,0.31379,3.519,0.000
cfloat,L_96,96,96,96,1024,0,96,1.16272,0.32890,3.535,0.000
cfloat,L_48,48,48,48,2048,0,48,0.50573,0.12690,3.985,0.000
cfloat,L_128,128,128,128,512,1,128,1.35052,0.32038,4.215,0.000
cfloat,L_64,64,64,64,2048,0,64,1.14197,0.23460,4.868,0.000
cfloat,C_128x256x64,128,256,64,1024,0,64,2.74424,0.53476,5.132,0.000
cfloat,L_128,128,128,128,512,0,128,1.33329,0.24680,5.402,0.000
cfloat,C_256x512x128,256,512,128,512,1,128,10.35450,1.62587,6.369,0.000
cfloat,C_256x512x128,256,512,128,512,0,128,10.35810,1.44357,7.175,0.000
