suite,scalar,m,n,k,batch,trans,calls,origin,algo
syev_two_stage_tests,complex<float>,16,64,16,3,NN,255,vendor,auto
syev_two_stage_tests,complex<double>,16,64,16,3,NN,255,vendor,auto
syev_two_stage_tests,complex<float>,1,129,1,3,NN,216,vendor,auto
syev_two_stage_tests,complex<double>,1,129,1,3,NN,216,vendor,auto
syev_two_stage_tests,complex<double>,16,64,16,3,CN,149,vendor,auto
syev_two_stage_tests,complex<float>,16,64,16,3,CN,149,vendor,auto
syev_two_stage_tests,complex<float>,1,32,1,3,NN,129,vendor,auto
syev_two_stage_tests,complex<double>,1,32,1,3,NN,129,vendor,auto
syev_two_stage_tests,complex<double>,1,129,1,3,CN,113,vendor,auto
syev_two_stage_tests,complex<float>,1,129,1,3,CN,113,vendor,auto
syev_two_stage_tests,complex<float>,1,32,1,3,CN,84,vendor,auto
syev_two_stage_tests,complex<double>,1,32,1,3,CN,84,vendor,auto
ortho_tests,complex<float>,5,5,10,2,CN,63,vendor,auto
ortho_tests,complex<double>,5,5,10,2,CN,62,vendor,auto
syev_two_stage_tests,complex<double>,97,97,16,3,NC,43,vendor,auto
syev_two_stage_tests,complex<float>,97,97,16,3,NC,43,vendor,auto
herk_tests,complex<double>,129,129,48,2,CN,40,vendor,auto
herk_tests,complex<float>,129,129,48,2,NC,40,vendor,auto
herk_tests,complex<double>,129,129,48,2,NC,40,vendor,auto
herk_tests,complex<float>,129,129,48,2,CN,40,vendor,auto
syev_two_stage_tests,complex<double>,32,32,16,3,NC,39,vendor,auto
syev_two_stage_tests,complex<float>,32,32,16,3,NC,39,vendor,auto
her2k_tests,complex<double>,129,129,48,2,CN,32,vendor,auto
her2k_tests,complex<double>,96,96,64,3,CN,32,vendor,auto
her2k_tests,complex<double>,96,96,64,3,NC,32,vendor,auto
her2k_tests,complex<double>,16,16,24,2,CN,32,vendor,auto
her2k_tests,complex<double>,16,16,24,2,NC,32,vendor,auto
her2k_tests,complex<float>,16,16,24,2,NC,32,vendor,auto
her2k_tests,complex<float>,129,129,48,2,NC,32,vendor,auto
her2k_tests,complex<float>,33,33,61,5,NC,32,vendor,auto
her2k_tests,complex<float>,33,33,61,5,CN,32,vendor,auto
her2k_tests,complex<double>,129,129,48,2,NC,32,vendor,auto
her2k_tests,complex<double>,33,33,61,5,NC,32,vendor,auto
her2k_tests,complex<float>,16,16,24,2,CN,32,vendor,auto
her2k_tests,complex<float>,96,96,64,3,NC,32,vendor,auto
her2k_tests,complex<double>,33,33,61,5,CN,32,vendor,auto
her2k_tests,complex<float>,96,96,64,3,CN,32,vendor,auto
her2k_tests,complex<float>,129,129,48,2,CN,32,vendor,auto
her2k_tests,complex<double>,77,77,13,1,CN,28,vendor,auto
her2k_tests,complex<double>,77,77,13,1,NC,28,vendor,auto
her2k_tests,complex<float>,77,77,13,1,NC,28,vendor,auto
her2k_tests,complex<float>,77,77,13,1,CN,28,vendor,auto
syev_blocked_tests,complex<double>,15,96,15,1,NN,28,vendor,auto
syev_blocked_tests,complex<float>,15,96,15,1,NN,28,vendor,auto
ortho_tests,complex<double>,10,5,5,2,NN,22,vendor,auto
ortho_tests,complex<float>,10,5,5,2,NN,22,vendor,auto
syev_two_stage_tests,complex<float>,1,31,1,3,NN,21,vendor,auto
syev_two_stage_tests,complex<double>,1,31,1,3,NN,21,vendor,auto
hemm_tests,complex<float>,33,61,33,5,NN,20,vendor,auto
hemm_tests,complex<double>,33,61,33,5,NN,20,vendor,auto
herk_tests,complex<float>,33,33,61,5,NC,20,vendor,auto
herk_tests,complex<float>,33,33,61,5,CN,20,vendor,auto
herk_tests,complex<double>,33,33,61,5,NC,20,vendor,auto
herk_tests,complex<double>,33,33,61,5,CN,20,vendor,auto
trmm_tests,complex<double>,129,96,129,5,NN,20,vendor,auto
trmm_tests,complex<double>,64,48,64,2,NN,20,vendor,auto
trmm_tests,complex<float>,129,96,129,5,NN,20,vendor,auto
trmm_tests,complex<float>,64,48,64,2,NN,20,vendor,auto
trmm_tests,complex<double>,300,32,300,1,NN,20,vendor,auto
trmm_tests,complex<float>,300,32,300,1,NN,20,vendor,auto
syevx_tests,complex<double>,7,200,7,2,NN,18,vendor,auto
hemm_tests,complex<float>,16,24,16,2,NN,16,vendor,auto
hemm_tests,complex<float>,77,13,77,1,NN,16,vendor,auto
hemm_tests,complex<double>,77,13,77,1,NN,16,vendor,auto
hemm_tests,complex<double>,16,24,16,2,NN,16,vendor,auto
hemm_tests,complex<double>,96,64,96,3,NN,16,vendor,auto
hemm_tests,complex<float>,96,64,96,3,NN,16,vendor,auto
hemm_tests,complex<double>,129,48,129,2,NN,16,vendor,auto
hemm_tests,complex<float>,129,48,129,2,NN,16,vendor,auto
herk_tests,complex<double>,96,96,64,3,CN,16,vendor,auto
herk_tests,complex<double>,77,77,13,1,CN,16,vendor,auto
herk_tests,complex<double>,77,77,13,1,NC,16,vendor,auto
herk_tests,complex<double>,96,96,64,3,NC,16,vendor,auto
herk_tests,complex<double>,16,16,24,2,CN,16,vendor,auto
herk_tests,complex<float>,16,16,24,2,NC,16,vendor,auto
herk_tests,complex<double>,16,16,24,2,NC,16,vendor,auto
herk_tests,complex<float>,77,77,13,1,NC,16,vendor,auto
herk_tests,complex<float>,77,77,13,1,CN,16,vendor,auto
herk_tests,complex<float>,16,16,24,2,CN,16,vendor,auto
herk_tests,complex<float>,96,96,64,3,NC,16,vendor,auto
herk_tests,complex<float>,96,96,64,3,CN,16,vendor,auto
syevx_tests,complex<double>,184,184,16,2,NC,16,vendor,auto
syev_blocked_tests,complex<double>,15,96,15,1,CN,14,vendor,auto
syev_blocked_tests,complex<float>,31,320,31,1,NN,14,vendor,auto
syev_blocked_tests,complex<float>,15,96,15,1,CN,14,vendor,auto
syev_two_stage_tests,complex<float>,1,31,1,3,CN,14,vendor,auto
syev_two_stage_tests,complex<double>,1,31,1,3,CN,14,vendor,auto
ormqr_blocked_tests,complex<float>,32,64,32,1,NN,12,vendor,auto
ormqr_blocked_tests,complex<double>,32,64,32,1,NN,12,vendor,auto
syev_blocked_tests,complex<double>,96,96,16,4,NN,12,vendor,auto
syev_blocked_tests,complex<float>,96,96,16,8,NN,12,vendor,auto
syev_blocked_tests,complex<double>,96,96,16,8,NN,12,vendor,auto
syev_blocked_tests,complex<float>,96,96,16,4,NN,12,vendor,auto
trmm_tests,complex<double>,129,96,96,5,NT,12,vendor,auto
trmm_tests,complex<double>,64,48,48,2,NT,12,vendor,auto
trmm_tests,complex<double>,129,96,96,5,NC,12,vendor,auto
trmm_tests,complex<double>,64,48,48,2,NC,12,vendor,auto
trmm_tests,complex<double>,512,512,512,4,NN,12,vendor,auto
trmm_tests,complex<float>,129,96,96,5,NT,12,vendor,auto
trmm_tests,complex<float>,64,48,48,2,NT,12,vendor,auto
trmm_tests,complex<float>,129,96,96,5,NC,12,vendor,auto
trmm_tests,complex<float>,64,48,48,2,NC,12,vendor,auto
trmm_tests,complex<float>,512,512,512,4,NN,12,vendor,auto
trmm_tests,complex<double>,300,32,32,1,NC,12,vendor,auto
trmm_tests,complex<float>,300,32,32,1,NT,12,vendor,auto
trmm_tests,complex<float>,300,32,32,1,NC,12,vendor,auto
trmm_tests,complex<double>,300,32,32,1,NT,12,vendor,auto
syev_two_stage_tests,complex<double>,168,168,24,2,NC,10,vendor,auto
syev_two_stage_tests,complex<float>,168,168,24,2,NC,10,vendor,auto
syevx_tests,complex<double>,7,200,7,2,CN,9,vendor,auto
syev_blocked_tests,complex<float>,16,96,96,4,CN,8,vendor,auto
syev_blocked_tests,complex<double>,16,96,96,8,CN,8,vendor,auto
syev_blocked_tests,complex<double>,16,96,96,4,CN,8,vendor,auto
syev_blocked_tests,complex<float>,16,96,96,8,CN,8,vendor,auto
sytrd_blocked_tests,complex<double>,225,225,32,8,NC,8,vendor,auto
sytrd_blocked_tests,complex<double>,225,225,32,1,NC,8,vendor,auto
trmm_tests,complex<float>,300,32,300,1,CN,8,vendor,auto
trmm_tests,complex<float>,300,32,300,1,TN,8,vendor,auto
trmm_tests,complex<float>,129,96,129,5,TN,8,vendor,auto
trmm_tests,complex<float>,64,48,64,2,TN,8,vendor,auto
trmm_tests,complex<double>,129,96,129,5,CN,8,vendor,auto
trmm_tests,complex<double>,64,48,64,2,CN,8,vendor,auto
trmm_tests,complex<float>,129,96,129,5,CN,8,vendor,auto
trmm_tests,complex<float>,64,48,64,2,CN,8,vendor,auto
trmm_tests,complex<double>,300,32,300,1,CN,8,vendor,auto
trmm_tests,complex<double>,300,32,300,1,TN,8,vendor,auto
trmm_tests,complex<double>,512,512,512,4,NT,8,vendor,auto
trmm_tests,complex<float>,512,512,512,4,NC,8,vendor,auto
trmm_tests,complex<double>,129,96,129,5,TN,8,vendor,auto
trmm_tests,complex<double>,64,48,64,2,TN,8,vendor,auto
trmm_tests,complex<double>,512,512,512,4,NC,8,vendor,auto
trmm_tests,complex<float>,512,512,512,4,NT,8,vendor,auto
gemm_tests,complex<double>,8,8,8,1,NN,7,vendor,auto
gemm_tests,complex<float>,8,8,8,1,NN,7,vendor,auto
ormqr_blocked_tests,complex<double>,32,64,32,1,CN,7,vendor,auto
ormqr_blocked_tests,complex<float>,32,64,32,1,CN,7,vendor,auto
syev_blocked_tests,complex<float>,31,320,31,1,CN,7,vendor,auto
