scalar,m,n,k,batch,transA,transB,calls,origin,algo,square,NN,min_dim,max_dim
complex<double>,16,64,16,3,N,N,255,vendor,auto,0,1,16,64
complex<double>,1,129,1,3,N,N,216,vendor,auto,0,1,1,129
complex<double>,16,64,16,3,C,N,149,vendor,auto,0,0,16,64
complex<double>,1,32,1,3,N,N,129,vendor,auto,0,1,1,32
complex<double>,1,129,1,3,C,N,113,vendor,auto,0,0,1,129
complex<double>,1,32,1,3,C,N,84,vendor,auto,0,0,1,32
complex<double>,129,129,48,2,C,N,72,vendor,auto,0,0,48,129
complex<double>,129,129,48,2,N,C,72,vendor,auto,0,0,48,129
complex<double>,5,5,10,2,C,N,62,vendor,auto,0,0,5,10
complex<double>,33,33,61,5,N,C,52,vendor,auto,0,0,33,61
complex<double>,33,33,61,5,C,N,52,vendor,auto,0,0,33,61
complex<double>,96,96,64,3,C,N,48,vendor,auto,0,0,64,96
complex<double>,96,96,64,3,N,C,48,vendor,auto,0,0,64,96
complex<double>,16,16,24,2,C,N,48,vendor,auto,0,0,16,24
complex<double>,16,16,24,2,N,C,48,vendor,auto,0,0,16,24
complex<double>,77,77,13,1,C,N,44,vendor,auto,0,0,13,77
complex<double>,77,77,13,1,N,C,44,vendor,auto,0,0,13,77
complex<double>,97,97,16,3,N,C,43,vendor,auto,0,0,16,97
complex<double>,32,32,16,3,N,C,39,vendor,auto,0,0,16,32
complex<double>,15,96,15,1,N,N,28,vendor,auto,0,1,15,96
complex<double>,10,5,5,2,N,N,22,vendor,auto,0,1,5,10
complex<double>,1,31,1,3,N,N,21,vendor,auto,0,1,1,31
complex<double>,33,61,33,5,N,N,20,vendor,auto,0,1,33,61
complex<double>,129,96,129,5,N,N,20,vendor,auto,0,1,96,129
complex<double>,64,48,64,2,N,N,20,vendor,auto,0,1,48,64
complex<double>,300,32,300,1,N,N,20,vendor,auto,0,1,32,300
complex<double>,7,200,7,2,N,N,18,vendor,auto,0,1,7,200
complex<double>,184,184,16,2,N,C,16,vendor,auto,0,0,16,184
complex<double>,77,13,77,1,N,N,16,vendor,auto,0,1,13,77
complex<double>,16,24,16,2,N,N,16,vendor,auto,0,1,16,24
complex<double>,96,64,96,3,N,N,16,vendor,auto,0,1,64,96
complex<double>,129,48,129,2,N,N,16,vendor,auto,0,1,48,129
complex<double>,15,96,15,1,C,N,14,vendor,auto,0,0,15,96
complex<double>,1,31,1,3,C,N,14,vendor,auto,0,0,1,31
complex<double>,32,64,32,1,N,N,12,vendor,auto,0,1,32,64
complex<double>,129,96,96,5,N,T,12,vendor,auto,0,0,96,129
complex<double>,64,48,48,2,N,T,12,vendor,auto,0,0,48,64
complex<double>,129,96,96,5,N,C,12,vendor,auto,0,0,96,129
complex<double>,64,48,48,2,N,C,12,vendor,auto,0,0,48,64
complex<double>,512,512,512,4,N,N,12,vendor,auto,1,1,512,512
complex<double>,300,32,32,1,N,C,12,vendor,auto,0,0,32,300
complex<double>,300,32,32,1,N,T,12,vendor,auto,0,0,32,300
complex<double>,96,96,16,4,N,N,12,vendor,auto,0,1,16,96
complex<double>,96,96,16,8,N,N,12,vendor,auto,0,1,16,96
complex<double>,168,168,24,2,N,C,10,vendor,auto,0,0,24,168
complex<double>,7,200,7,2,C,N,9,vendor,auto,0,0,7,200
complex<double>,129,96,129,5,C,N,8,vendor,auto,0,0,96,129
complex<double>,64,48,64,2,C,N,8,vendor,auto,0,0,48,64
complex<double>,300,32,300,1,C,N,8,vendor,auto,0,0,32,300
complex<double>,300,32,300,1,T,N,8,vendor,auto,0,0,32,300
complex<double>,512,512,512,4,N,T,8,vendor,auto,1,0,512,512
complex<double>,129,96,129,5,T,N,8,vendor,auto,0,0,96,129
complex<double>,64,48,64,2,T,N,8,vendor,auto,0,0,48,64
complex<double>,512,512,512,4,N,C,8,vendor,auto,1,0,512,512
