scalar,class,rows,calls,pct_rows,pct_calls
complex<float>,ALL,101,2245,100.0,100.0
complex<float>,square m==n==k,20,75,19.8,3.3
complex<float>,NN (no transpose),38,935,37.6,41.6
complex<float>,has a ConjTrans operand,53,1234,52.5,55.0
complex<float>,"min(m,n,k)>=256",8,41,7.9,1.8
complex<float>,"min(m,n,k)>=256 and NN",4,17,4.0,0.8
complex<float>,"max(m,n)>=128 (non-small)",31,695,30.7,31.0
complex<float>,"min(m,n)>=64",37,564,36.6,25.1
complex<float>,"min(m,n)>=32",65,919,64.4,40.9
complex<float>,k<256,90,2168,89.1,96.6
complex<float>,k<=64 (panel-update k),79,2040,78.2,90.9
complex<float>,routed native today,7,19,6.9,0.8
complex<float>,transpose form NN,38,935,37.6,41.6
complex<float>,transpose form CN,28,789,27.7,35.1
complex<float>,transpose form NC,25,445,24.8,19.8
complex<float>,transpose form TN,4,28,4.0,1.2
complex<float>,transpose form NT,4,44,4.0,2.0
complex<float>,transpose form TT,2,4,2.0,0.2
complex<double>,ALL,102,2282,100.0,100.0
complex<double>,square m==n==k,20,75,19.6,3.3
complex<double>,NN (no transpose),38,939,37.3,41.1
complex<double>,has a ConjTrans operand,54,1267,52.9,55.5
complex<double>,"min(m,n,k)>=256",8,41,7.8,1.8
complex<double>,"min(m,n,k)>=256 and NN",4,17,3.9,0.7
complex<double>,"max(m,n)>=128 (non-small)",32,733,31.4,32.1
complex<double>,"min(m,n)>=64",38,596,37.3,26.1
complex<double>,"min(m,n)>=32",66,951,64.7,41.7
complex<double>,k<256,91,2205,89.2,96.6
complex<double>,k<=64 (panel-update k),80,2077,78.4,91.0
complex<double>,routed native today,7,19,6.9,0.8
complex<double>,transpose form NN,38,939,37.3,41.1
complex<double>,transpose form CN,28,790,27.5,34.6
complex<double>,transpose form NC,26,477,25.5,20.9
complex<double>,transpose form TN,4,28,3.9,1.2
complex<double>,transpose form NT,4,44,3.9,1.9
complex<double>,transpose form TT,2,4,2.0,0.2
