route,type,m,n,k,batch,tA,tB,beta,padA,padB,padC,reps,median_ms,min_ms,rel_sd,gflops,tag
vendor,cfloat,129,129,48,2048,C,N,1,384,384,384,7,0.956522,0.955485,0.0009,13681.88,panel_herk129_cn
native,cfloat,129,129,48,2048,C,N,1,384,384,384,7,2.210217,2.206803,0.0008,5921.14,panel_herk129_cn
vendor,cdouble,129,129,48,2048,C,N,1,384,384,384,7,15.208386,15.208012,0.0004,860.51,panel_herk129_cn
native,cdouble,129,129,48,2048,C,N,1,384,384,384,7,42.412311,42.403711,0.0001,308.57,panel_herk129_cn
vendor,cfloat,96,96,64,2048,N,C,1,384,384,384,7,0.552643,0.552392,0.0164,17486.29,panel_her2k96_nc
native,cfloat,96,96,64,2048,N,C,1,384,384,384,7,1.360242,1.360037,0.0002,7104.38,panel_her2k96_nc
vendor,cdouble,96,96,64,2048,N,C,1,384,384,384,7,8.040211,8.035168,0.0005,1201.92,panel_her2k96_nc
native,cdouble,96,96,64,2048,N,C,1,384,384,384,7,24.948670,24.947322,0.0002,387.34,panel_her2k96_nc
vendor,cfloat,512,512,512,64,N,N,1,384,384,384,7,1.509828,1.504921,0.0037,45514.78,square512_nn
native,cfloat,512,512,512,64,N,N,1,384,384,384,7,1.476424,1.466102,0.0043,46544.55,square512_nn
vendor,cdouble,512,512,512,64,N,N,1,384,384,384,7,55.206168,55.199348,0.0001,1244.78,square512_nn
native,cdouble,512,512,512,64,N,N,1,384,384,384,7,49.445396,49.439811,0.0001,1389.81,square512_nn
