tag,type,shape,beta,ld_pad,vendor_gflops,native_gflops,native_over_vendor,vendor_ms,native_ms
expand_trmm129_nn,cdouble,129x96x129 b1024 NN,0,0,891.69,353.50,0.3964,14.676676,37.020858
expand_trmm129_nn,cdouble,129x96x129 b1024 NN,1,0,884.30,353.41,0.3996,14.799230,37.030863
expand_trmm129_nn,cfloat,129x96x129 b1024 NN,0,0,20988.95,6723.68,0.3203,0.623519,1.946407
expand_trmm129_nn,cfloat,129x96x129 b1024 NN,1,0,19945.46,6660.83,0.3340,0.656140,1.964772
panel_2stage97_nc,cdouble,97x97x16 b2048 NC,0,0,733.82,251.70,0.3430,3.361183,9.799229
panel_2stage97_nc,cdouble,97x97x16 b2048 NC,1,0,693.40,270.76,0.3905,3.557141,9.109724
panel_2stage97_nc,cfloat,97x97x16 b2048 NC,0,0,10744.77,2823.29,0.2628,0.229555,0.873631
panel_2stage97_nc,cfloat,97x97x16 b2048 NC,1,0,6303.91,2831.98,0.4492,0.391267,0.870950
panel_her2k96_nc,cdouble,96x96x64 b2048 NC,0,0,1222.33,386.54,0.3162,7.905973,25.000464
panel_her2k96_nc,cdouble,96x96x64 b2048 NC,1,0,1201.84,386.52,0.3216,8.040719,25.002004
panel_her2k96_nc,cfloat,96x96x64 b2048 NC,0,0,21675.06,6991.30,0.3226,0.445843,1.382244
panel_her2k96_nc,cfloat,96x96x64 b2048 NC,1,0,17615.29,6991.95,0.3969,0.548596,1.382115
panel_herk128_cn,cdouble,128x128x48 b2048 CN,0,0,1201.84,383.01,0.3187,10.720963,33.641252
panel_herk128_cn,cdouble,128x128x48 b2048 CN,1,0,1181.54,383.03,0.3242,10.905206,33.639794
panel_herk128_cn,cfloat,128x128x48 b2048 CN,0,0,24770.91,6891.45,0.2782,0.520163,1.869695
panel_herk128_cn,cfloat,128x128x48 b2048 CN,1,0,16171.70,6777.34,0.4191,0.796756,1.901173
panel_herk129_cn,cdouble,129x129x48 b2048 CN,0,0,878.08,309.19,0.3521,14.904077,42.326201
panel_herk129_cn,cdouble,129x129x48 b2048 CN,1,0,856.38,309.10,0.3609,15.281809,42.338574
panel_herk129_cn,cfloat,129x129x48 b2048 CN,0,0,17128.61,5913.44,0.3452,0.764044,2.213098
panel_herk129_cn,cfloat,129x129x48 b2048 CN,1,0,15407.04,5909.99,0.3836,0.849418,2.214390
panel_syevx184_nc,cdouble,184x184x16 b1024 NC,0,0,1030.23,328.95,0.3193,4.307341,13.490249
panel_syevx184_nc,cdouble,184x184x16 b1024 NC,1,0,981.53,329.00,0.3352,4.521067,13.487964
panel_syevx184_nc,cfloat,184x184x16 b1024 NC,0,0,12048.18,3975.90,0.3300,0.368319,1.116117
panel_syevx184_nc,cfloat,184x184x16 b1024 NC,1,0,6775.72,3963.02,0.5849,0.654923,1.119746
skinny_2stage_cn,cdouble,16x64x16 b8192 CN,0,0,1089.49,356.14,0.3269,0.985548,3.014927
skinny_2stage_cn,cdouble,16x64x16 b8192 CN,1,0,1015.85,356.12,0.3506,1.056984,3.015099
skinny_2stage_cn,cfloat,16x64x16 b8192 CN,0,0,6348.73,4581.06,0.7216,0.169127,0.234387
skinny_2stage_cn,cfloat,16x64x16 b8192 CN,1,0,4480.37,4559.72,1.0177,0.239655,0.235484
skinny_2stage_nn,cdouble,16x64x16 b8192 NN,0,0,1090.03,311.47,0.2857,0.985053,3.447387
skinny_2stage_nn,cdouble,16x64x16 b8192 NN,1,0,1014.17,311.56,0.3072,1.058736,3.446392
skinny_2stage_nn,cfloat,16x64x16 b8192 NN,0,0,6345.43,3001.36,0.4730,0.169215,0.357752
skinny_2stage_nn,cfloat,16x64x16 b8192 NN,1,0,4488.90,2985.49,0.6651,0.239199,0.359654
square1024_nn,cdouble,1024x1024x1024 b8 NN,0,0,1249.33,1395.98,1.1174,55.004954,49.226858
square1024_nn,cdouble,1024x1024x1024 b8 NN,1,0,1248.07,1395.56,1.1182,55.060780,49.241669
square1024_nn,cfloat,1024x1024x1024 b8 NN,0,0,45984.71,45062.57,0.9799,1.494398,1.524979
square1024_nn,cfloat,1024x1024x1024 b8 NN,1,0,45593.83,45677.35,1.0018,1.507210,1.504454
square256_nn,cdouble,256x256x256 b256 NN,0,0,1242.05,1381.63,1.1124,27.663795,24.869076
square256_nn,cdouble,256x256x256 b256 NN,1,0,1235.82,1380.16,1.1168,27.803206,24.895499
square256_nn,cfloat,256x256x256 b256 NN,0,0,39373.33,42847.31,1.0882,0.872665,0.801911
square256_nn,cfloat,256x256x256 b256 NN,1,0,37044.77,38506.86,1.0395,0.927519,0.892302
square512_nn,cdouble,512x512x512 b64 NN,0,0,1246.51,1390.75,1.1157,55.129643,49.411725
square512_nn,cdouble,512x512x512 b64 NN,1,0,1244.09,1379.95,1.1092,55.236588,49.798492
square512_nn,cfloat,512x512x512 b64 NN,0,0,44237.65,44734.58,1.0112,1.553416,1.536160
square512_nn,cfloat,512x512x512 b64 NN,1,0,41181.39,43239.34,1.0500,1.668702,1.589281
