trans_form,type,shape,batch,direct_gflops,tiled16_gflops,tiled16_over_direct,router_picks_today
CN,cdouble,16x16x16,8192,310.59,353.28,1.1374,Direct
CN,cdouble,24x24x24,8192,321.1,210.81,0.6565,Direct
CN,cdouble,32x32x32,8192,326.56,375.77,1.1507,Direct
CN,cdouble,8x8x8,8192,280.01,88.19,0.3150,Direct
CN,cfloat,16x16x16,8192,3230.53,5611.2,1.7369,Direct
CN,cfloat,24x24x24,8192,2896.97,3847.21,1.3280,Direct
CN,cfloat,32x32x32,8192,3404.3,6194.72,1.8197,Direct
CN,cfloat,8x8x8,8192,3860.83,1634.98,0.4235,Direct
NN,cdouble,16x16x16,8192,310.6,354.76,1.1422,Direct
NN,cdouble,32x32x32,8192,326.52,377.54,1.1563,Direct
NN,cdouble,48x48x48,4096,331.68,384.7,1.1599,Direct
NN,cdouble,64x64x64,4096,334.41,388.37,1.1614,Direct
NN,cdouble,16x64x16,8192,311.54,357.54,1.1477,Direct
NN,cfloat,16x16x16,8192,4109.72,5170.57,1.2581,Direct
NN,cfloat,32x32x32,8192,3431.34,5704.95,1.6626,Direct
NN,cfloat,48x48x48,4096,3599.5,5969.19,1.6583,Direct
NN,cfloat,64x64x64,4096,4025.5,6328.95,1.5722,Direct
NN,cfloat,16x64x16,8192,2989.82,4553.91,1.5231,Direct
