kind,op,scalar,backend,shape_class,m,n,k,batch,chosen_origin,chosen_algo,calls,native_route_existed,native_route_supported,library,uplo,side,diag,transA,transB
reached,gemm,complex<double>,AUTO,3080,2048,4096,1024,256,vendor,auto,12,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2824,1024,2048,512,256,vendor,auto,36,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2568,512,1024,256,256,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2312,256,512,128,256,vendor,auto,60,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2056,128,256,64,256,vendor,auto,36,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1800,64,128,32,256,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1544,32,64,16,256,vendor,auto,72,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1288,16,32,8,256,vendor,auto,60,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,8,0,0,0,256,vendor,auto,144,1,0,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,776,8,8,8,256,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,1032,8,16,4,256,vendor,auto,36,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2827,2048,2048,2048,2048,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2825,2048,2048,2048,512,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2823,2048,2048,2048,128,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2822,2048,2048,2048,64,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2821,2048,2048,2048,63,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2821,2048,2048,2048,63,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2821,2048,2048,2048,63,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2819,2048,2048,2048,8,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2819,2048,2048,2048,8,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2819,2048,2048,2048,8,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2816,2048,2048,2048,1,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2816,2048,2048,2048,1,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2816,2048,2048,2048,1,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2571,1024,1024,1024,2048,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2571,1024,1024,1024,2048,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2571,1024,1024,1024,2048,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2571,1024,1024,1024,2048,vendor,auto,24,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,2571,1024,1024,1024,2048,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2569,1024,1024,1024,512,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2569,1024,1024,1024,512,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2569,1024,1024,1024,512,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2569,1024,1024,1024,512,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2567,1024,1024,1024,128,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2567,1024,1024,1024,128,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2567,1024,1024,1024,128,vendor,auto,24,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2566,1024,1024,1024,64,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2565,1024,1024,1024,63,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2565,1024,1024,1024,63,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2565,1024,1024,1024,63,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2565,1024,1024,1024,63,vendor,auto,24,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,2565,1024,1024,1024,63,vendor,auto,24,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,2565,1024,1024,1024,63,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2565,1024,1024,1024,63,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2563,1024,1024,1024,8,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2563,1024,1024,1024,8,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2563,1024,1024,1024,8,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2563,1024,1024,1024,8,vendor,auto,24,1,1,,1,0,0,1,2
reached,gemm,complex<double>,AUTO,2563,1024,1024,1024,8,vendor,auto,24,1,1,,1,0,0,1,1
reached,gemm,complex<double>,AUTO,2563,1024,1024,1024,8,vendor,auto,24,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2563,1024,1024,1024,8,vendor,auto,24,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2560,1024,1024,1024,1,vendor,auto,24,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2560,1024,1024,1024,1,vendor,auto,24,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2560,1024,1024,1024,1,vendor,auto,24,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2315,512,512,512,2048,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2315,512,512,512,2048,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2315,512,512,512,2048,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2315,512,512,512,2048,vendor,auto,48,1,1,,1,0,0,0,1
reached,gemm,complex<double>,AUTO,2315,512,512,512,2048,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2313,512,512,512,512,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2313,512,512,512,512,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2313,512,512,512,512,vendor,auto,48,1,1,,1,0,0,0,2
reached,gemm,complex<double>,AUTO,2313,512,512,512,512,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2311,512,512,512,128,vendor,auto,48,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2311,512,512,512,128,vendor,auto,48,1,1,,1,0,0,1,0
reached,gemm,complex<double>,AUTO,2311,512,512,512,128,vendor,auto,48,1,1,,1,0,0,0,0
reached,gemm,complex<double>,AUTO,2310,512,512,512,64,vendor,auto,96,1,1,,1,0,0,2,0
reached,gemm,complex<double>,AUTO,2309,512,512,512,63,vendor,auto,48,1,1,,1,0,0,2,2
reached,gemm,complex<double>,AUTO,2309,512,512,512,63,vendor,auto,48,1,1,,1,0,0,2,1
reached,gemm,complex<double>,AUTO,2309,512,512,512,63,vendor,auto,48,1,1,,1,0,0,2,0
