kernel,type,m,n,k,batch,tA,tB,beta,padA,padB,padC,reps,median_ms,min_ms,rel_sd,gflops,tag
direct,cfloat,8,8,8,8192,C,N,1,0,0,0,7,0.008691,0.008625,0.0040,3860.83,n8
tiled16,cfloat,8,8,8,8192,C,N,1,0,0,0,7,0.020523,0.020458,0.0015,1634.98,n8
direct,cdouble,8,8,8,8192,C,N,1,0,0,0,7,0.119834,0.119716,0.0007,280.01,n8
tiled16,cdouble,8,8,8,8192,C,N,1,0,0,0,7,0.380486,0.380247,0.0012,88.19,n8
direct,cfloat,16,16,16,8192,C,N,1,0,0,0,7,0.083093,0.082956,0.0009,3230.53,n16
tiled16,cfloat,16,16,16,8192,C,N,1,0,0,0,7,0.047839,0.047743,0.0045,5611.20,n16
direct,cdouble,16,16,16,8192,C,N,1,0,0,0,7,0.864267,0.864199,0.0001,310.59,n16
tiled16,cdouble,16,16,16,8192,C,N,1,0,0,0,7,0.759846,0.759690,0.0002,353.28,n16
direct,cfloat,24,24,24,8192,C,N,1,0,0,0,7,0.312731,0.312305,0.0007,2896.97,n24
tiled16,cfloat,24,24,24,8192,C,N,1,0,0,0,7,0.235487,0.234613,0.0020,3847.21,n24
direct,cdouble,24,24,24,8192,C,N,1,0,0,0,7,2.821430,2.821255,0.0001,321.10,n24
tiled16,cdouble,24,24,24,8192,C,N,1,0,0,0,7,4.297657,4.297575,0.0001,210.81,n24
direct,cfloat,32,32,32,8192,C,N,1,0,0,0,7,0.630815,0.629968,0.0020,3404.30,n32
tiled16,cfloat,32,32,32,8192,C,N,1,0,0,0,7,0.346664,0.346525,0.0018,6194.72,n32
direct,cdouble,32,32,32,8192,C,N,1,0,0,0,7,6.576159,6.575285,0.0001,326.56,n32
tiled16,cdouble,32,32,32,8192,C,N,1,0,0,0,7,5.714895,5.714476,0.0000,375.77,n32
