mode,beta,pad,k,ms,rsd,gflops
auto,0,0,128,0.764372,1.07,22475.8
auto,0,1,128,1.87353,2.71,9169.77
auto,0,2,128,1.90007,2.67,9041.69
auto,0,3,128,1.89848,2.64,9049.29
auto,0,4,128,0.786473,1.11,21844.2
auto,0,8,128,0.788878,1.05,21777.6
auto,0,16,128,0.801595,1.07,21432.1
auto,0,32,128,0.902846,1.04,19028.6
auto,0,64,128,1.11976,3.7,15342.4
auto,0,128,128,1.2627,3.29,13605.7
auto,0,384,128,1.37701,3.21,12476.2
force128,0,0,128,0.762405,1.03,22533.8
force128,0,1,128,0.782785,1.11,21947.1
force128,0,128,128,1.26692,3.22,13560.4
auto,1,0,128,0.984261,0.88,17454.6
auto,1,1,128,1.8737,2.58,9168.95
auto,1,2,128,1.89571,2.55,9062.52
auto,1,3,128,1.88815,2.46,9098.8
auto,1,4,128,1.04358,3.69,16462.4
auto,1,5,128,1.91894,2.71,8952.81
auto,1,6,128,1.93084,2.6,8897.61
auto,1,7,128,1.93595,2.55,8874.13
auto,1,8,128,1.03343,3.46,16624.1
auto,1,10,128,1.88898,2.67,9094.78
auto,1,12,128,1.07321,3.75,16008.0
auto,1,16,128,1.04918,3.61,16374.6
auto,1,20,128,1.09784,3.69,15648.9
auto,1,24,128,1.11141,3.62,15457.8
auto,1,32,128,1.12732,3.63,15239.5
auto,1,48,128,1.23307,3.49,13932.6
auto,1,64,128,1.22474,3.54,14027.3
auto,1,96,128,1.34721,3.25,12752.2
auto,1,128,128,1.46548,3.11,11723.1
auto,1,129,128,1.89183,2.52,9081.06
auto,1,130,128,1.88974,2.72,9091.13
auto,1,132,128,1.50433,3.07,11420.3
auto,1,192,128,1.41552,3.2,12136.8
auto,1,256,128,1.52371,2.87,11275.0
auto,1,384,128,1.54742,3.08,11102.2
auto,1,512,128,1.64363,2.87,10452.4
force128,1,0,128,0.986926,0.9,17407.5
force128,1,1,128,1.00258,0.97,17135.7
force128,1,2,128,1.00157,3.78,17153.0
force128,1,3,128,1.03493,3.94,16600.0
force128,1,4,128,1.04881,3.8,16380.4
force128,1,8,128,1.03535,3.74,16593.3
force128,1,16,128,1.04252,3.45,16479.1
force128,1,32,128,1.12188,3.32,15313.5
force128,1,64,128,1.22797,3.17,13990.5
force128,1,128,128,1.46098,2.85,11759.1
force128,1,129,128,1.5268,2.95,11252.2
force128,1,192,128,1.42024,2.98,12096.4
force128,1,256,128,1.54287,2.85,11135.0
force128,1,384,128,1.55007,2.92,11083.3
force128,1,512,128,1.63537,2.68,10505.2
auto,0,0,256,2.19474,3.72,15655.5
auto,0,1,256,2.99019,3.71,11490.8
auto,0,2,256,3.00736,3.64,11425.2
auto,0,3,256,2.99421,3.37,11475.4
auto,0,4,256,1.96869,2.4,17453.1
auto,0,8,256,2.10499,2.95,16323.0
auto,0,16,256,2.08246,2.43,16499.6
auto,0,32,256,2.03792,2.35,16860.2
auto,0,64,256,2.12329,2.97,16182.3
auto,0,128,256,2.37158,4.0,14488.1
auto,0,384,256,2.56119,3.26,13415.5
force128,0,0,256,2.20303,3.92,15596.6
force128,0,1,256,1.91894,2.41,17905.6
force128,0,128,256,2.37707,3.45,14454.7
auto,1,0,256,2.38319,3.21,14417.5
auto,1,1,256,2.97504,3.17,11549.3
auto,1,2,256,3.00442,3.73,11436.4
auto,1,3,256,2.99513,3.43,11471.9
auto,1,4,256,2.24221,3.89,15324.1
auto,1,5,256,3.01893,3.49,11381.4
auto,1,6,256,3.04759,4.14,11274.4
auto,1,7,256,3.03886,3.86,11306.8
auto,1,8,256,2.34651,3.63,14642.9
auto,1,10,256,2.98742,3.75,11501.5
auto,1,12,256,2.26318,4.36,15182.1
auto,1,16,256,2.3358,4.7,14710.0
auto,1,20,256,2.27411,3.56,15109.1
auto,1,24,256,2.30159,4.21,14928.7
auto,1,32,256,2.24305,3.81,15318.3
auto,1,48,256,2.39575,4.59,14342.0
auto,1,64,256,2.3144,3.95,14846.0
auto,1,96,256,2.46714,4.04,13927.0
auto,1,128,256,2.55779,3.39,13433.4
auto,1,129,256,2.95728,4.3,11618.7
auto,1,130,256,2.93887,3.62,11691.5
auto,1,132,256,2.57627,4.24,13337.0
auto,1,192,256,2.42907,4.59,14145.2
auto,1,256,256,2.6044,3.83,13193.0
auto,1,384,256,2.74668,3.87,12509.5
auto,1,512,256,2.75349,3.73,12478.6
force128,1,0,256,2.38166,4.03,14426.8
force128,1,1,256,2.18945,4.08,15693.3
force128,1,2,256,2.17681,3.59,15784.4
force128,1,3,256,2.05728,2.59,16701.5
force128,1,4,256,2.22576,4.18,15437.3
force128,1,8,256,2.35783,3.38,14572.6
force128,1,16,256,2.31909,3.55,14816.0
force128,1,32,256,2.25711,4.14,15222.9
force128,1,64,256,2.29618,3.56,14963.9
force128,1,128,256,2.55511,2.86,13447.5
force128,1,129,256,2.64456,4.05,12992.6
force128,1,192,256,2.38959,3.93,14378.9
force128,1,256,256,2.60757,2.96,13176.9
force128,1,384,256,2.7406,3.62,12537.3
force128,1,512,256,2.73083,2.99,12582.2
